LOC124905335_1	XR_007068557.1_1	1	1	15080	21429	LOC124905335
TNFRSF18	XM_017002722.3	1	-1	631965	635049	TNFRSF18
TNFRSF4	XM_011542077.3	1	-1	639797	641515	TNFRSF4
TNFRSF4	XM_011542074.3	1	-1	639797	642207	TNFRSF4
TNFRSF4	XM_011542076.3	1	-1	639797	642207	TNFRSF4
TNFRSF4	NM_003327.4	1	-1	639797	642610	TNFRSF4
TNFRSF4	XM_011542075.3	1	-1	639797	642610	TNFRSF4
TNFRSF4	XR_007063145.1	1	-1	640513	642610	TNFRSF4
SDF4	NM_016176.6	1	-1	645388	660458	SDF4
SDF4	NM_016547.3	1	-1	645388	660458	SDF4
SDF4	XM_047422111.1	1	-1	645388	660458	SDF4
SDF4	XM_047422112.1	1	-1	645388	660458	SDF4
SDF4	XM_011541556.2	1	-1	647391	660458	SDF4
B3GALT6	NM_080605.4	1	1	660694	663498	B3GALT6
C1QTNF12	NM_001014980.3	1	-1	670953	675655	C1QTNF12
C1QTNF12	XM_011541435.3	1	-1	670953	675655	C1QTNF12
C1QTNF12	XM_011541436.3	1	-1	670953	675655	C1QTNF12
C1QTNF12	XM_024446907.2	1	-1	670953	675655	C1QTNF12
C1QTNF12	XM_011541437.2	1	-1	670953	676151	C1QTNF12
C1QTNF12	XM_047419982.1	1	-1	670953	676213	C1QTNF12
UBE2J2	XM_017000239.3	1	-1	682910	694589	UBE2J2
UBE2J2	XM_011540613.4	1	-1	682910	696912	UBE2J2
UBE2J2	XM_047444326.1	1	-1	682910	696912	UBE2J2
UBE2J2	XM_047444356.1	1	-1	682910	696912	UBE2J2
UBE2J2	XM_047444358.1	1	-1	682910	696912	UBE2J2
UBE2J2	NM_058167.3	1	-1	682910	702861	UBE2J2
UBE2J2	NM_194315.2	1	-1	682910	702861	UBE2J2
UBE2J2	NM_194457.2	1	-1	682910	702861	UBE2J2
UBE2J2	NM_194458.2	1	-1	682910	702861	UBE2J2
UBE2J2	XM_005244718.4	1	-1	682910	702861	UBE2J2
UBE2J2	XM_005244719.5	1	-1	682910	702861	UBE2J2
UBE2J2	XM_006710333.4	1	-1	682910	702861	UBE2J2
UBE2J2	XM_011540614.3	1	-1	682910	702861	UBE2J2
UBE2J2	XM_047444339.1	1	-1	682910	702861	UBE2J2
SCNN1D	NM_001130413.4	1	1	709443	723551	SCNN1D
SCNN1D	NR_037668.3	1	1	709443	723551	SCNN1D
ACAP3	XM_005244717.4	1	-1	723917	729659	ACAP3
ACAP3	XM_011540607.2	1	-1	723917	736341	ACAP3
ACAP3	XM_024452993.2	1	-1	723917	736341	ACAP3
ACAP3	NM_030649.3	1	-1	723917	739479	ACAP3
ACAP3	XM_005244715.3	1	-1	723917	739479	ACAP3
ACAP3	XM_011540606.3	1	-1	723917	739479	ACAP3
ACAP3	XM_011540608.3	1	-1	723917	739479	ACAP3
ACAP3	XM_011540609.3	1	-1	723917	739479	ACAP3
MIR6726	unassigned_transcript_10	1	-1	727656	727675	MIR6726
MIR6726	NR_106784.1	1	-1	727656	727716	MIR6726
MIR6726	unassigned_transcript_11	1	-1	727691	727711	MIR6726
SNORD167	NR_145806.1	1	-1	736278	736361	SNORD167
PUSL1	XM_005244720.5	1	1	740148	742404	PUSL1
PUSL1	XM_047444716.1	1	1	740148	742567	PUSL1
PUSL1	XM_047444722.1	1	1	740148	742622	PUSL1
PUSL1	NM_001346116.2	1	1	740148	743228	PUSL1
PUSL1	NM_153339.3	1	1	740148	743228	PUSL1
PUSL1	NR_144369.2	1	1	740148	743228	PUSL1
PUSL1	XM_024453057.2	1	1	740148	743228	PUSL1
INTS11	XM_011541650.3	1	-1	743151	752586	INTS11
INTS11	NM_001256456.2	1	-1	743151	756245	INTS11
INTS11	NM_001256460.2	1	-1	743151	756245	INTS11
INTS11	NM_001256462.2	1	-1	743151	756245	INTS11
INTS11	NM_001256463.2	1	-1	743151	756245	INTS11
INTS11	NM_017871.6	1	-1	743151	756245	INTS11
INTS11	XM_011541647.2	1	-1	743151	756245	INTS11
INTS11	XM_011541648.2	1	-1	743151	756245	INTS11
MIR6727	unassigned_transcript_12	1	-1	744058	744077	MIR6727
MIR6727	NR_106785.1	1	-1	744058	744122	MIR6727
MIR6727	unassigned_transcript_13	1	-1	744095	744117	MIR6727
CPTP	NM_001029885.2	1	1	756387	760481	CPTP
CPTP	XM_005244801.5	1	1	756387	760481	CPTP
CPTP	XM_011542200.3	1	1	756387	760481	CPTP
TAS1R3	NM_152228.3	1	1	762865	766899	TAS1R3
TAS1R3	XM_017002435.2	1	1	762865	766899	TAS1R3
TAS1R3	XM_017002436.2	1	1	762865	766899	TAS1R3
TAS1R3	XM_047431571.1	1	1	762865	766899	TAS1R3
DVL1	XM_047448090.1	1	-1	766863	771802	DVL1
DVL1	NM_001330311.2	1	-1	766863	781044	DVL1
DVL1	NM_004421.3	1	-1	766863	781044	DVL1
DVL1	XM_005244732.5	1	-1	766863	781044	DVL1
DVL1	XM_005244733.5	1	-1	766863	781044	DVL1
MIR6808	unassigned_transcript_14	1	-1	771235	771255	MIR6808
MIR6808	NR_106866.1	1	-1	771235	771293	MIR6808
MIR6808	unassigned_transcript_15	1	-1	771267	771288	MIR6808
MXRA8	NM_001282585.1	1	-1	783235	789090	MXRA8
MXRA8	NM_001282584.2	1	-1	783237	789098	MXRA8
MXRA8	NM_032348.4	1	-1	783237	789098	MXRA8
MXRA8	XM_017001516.3	1	-1	783237	789098	MXRA8
MXRA8	XM_017001517.2	1	-1	783237	789098	MXRA8
MXRA8	NM_001282583.2	1	-1	783237	792356	MXRA8
MXRA8	NM_001282582.2	1	-1	783237	794097	MXRA8
AURKAIP1	NM_001127229.2	1	-1	804285	805756	AURKAIP1
AURKAIP1	NM_001127230.2	1	-1	804285	805756	AURKAIP1
AURKAIP1	NM_017900.3	1	-1	804285	805756	AURKAIP1
CCNL2	XM_047431297.1	1	-1	817645	824735	CCNL2
CCNL2	NM_001350497.1	1	-1	817645	830272	CCNL2
CCNL2	NM_001320153.3	1	-1	817645	831265	CCNL2
CCNL2	NM_001320155.3	1	-1	817645	831265	CCNL2
CCNL2	NM_001350498.2	1	-1	817645	831265	CCNL2
CCNL2	NM_001350499.2	1	-1	817645	831265	CCNL2
CCNL2	NM_001350500.2	1	-1	817645	831265	CCNL2
CCNL2	NM_030937.6	1	-1	817645	831265	CCNL2
CCNL2	NR_135154.2	1	-1	817645	831265	CCNL2
CCNL2	NR_146722.2	1	-1	817645	831265	CCNL2
CCNL2	NR_146723.2	1	-1	817645	831265	CCNL2
CCNL2	XM_011542216.4	1	-1	817645	831265	CCNL2
CCNL2	XM_047431301.1	1	-1	823060	831265	CCNL2
CCNL2	NM_001039577.5	1	-1	824224	831265	CCNL2
MRPL20-AS1	NR_015434.1	1	1	831460	833976	MRPL20-AS1
MRPL20	NM_001318485.2	1	-1	833839	839223	MRPL20
MRPL20	NM_017971.4	1	-1	833839	839223	MRPL20
MRPL20-DT	NR_170330.2	1	1	840278	842614	MRPL20-DT
ANKRD65	NM_001145210.3	1	-1	850350	853206	ANKRD65
ANKRD65	NM_001243535.2	1	-1	850350	853206	ANKRD65
ANKRD65	NM_001243536.2	1	-1	850350	853206	ANKRD65
ANKRD65	NM_001375659.1	1	-1	850350	853206	ANKRD65
ANKRD65	NM_001375660.1	1	-1	850350	853206	ANKRD65
ANKRD65	XM_005244752.5	1	-1	850350	853206	ANKRD65
ANKRD65	XM_006710647.4	1	-1	850350	853206	ANKRD65
ANKRD65-AS1	XR_946814.2	1	1	852096	855217	ANKRD65-AS1
TMEM88B	NM_001146685.2	1	1	857800	864615	TMEM88B
LINC01770	NR_125994.1	1	-1	864517	868933	LINC01770
LINC01770	NR_125995.1	1	-1	864517	868933	LINC01770
LINC01770	NR_125996.1	1	-1	864517	868933	LINC01770
LOC107985729	XM_017003066.2	1	1	867593	869909	LOC107985729
VWA1	NM_022834.5	1	1	870050	877242	VWA1
VWA1	NM_199121.3	1	1	870050	877242	VWA1
ATAD3C	NM_001039211.3	1	1	884061	904534	ATAD3C
ATAD3B	XM_047431599.1	1	1	906136	924289	ATAD3B
ATAD3B	XM_011542241.4	1	1	906136	924826	ATAD3B
ATAD3B	XM_047431588.1	1	1	906136	924841	ATAD3B
ATAD3B	XM_047431583.1	1	1	906136	924853	ATAD3B
ATAD3B	XM_047431596.1	1	1	906136	924888	ATAD3B
ATAD3B	NM_031921.6	1	1	906136	932352	ATAD3B
ATAD3B	XM_011542244.2	1	1	906136	932352	ATAD3B
ATAD3B	XM_005244806.4	1	1	906136	943970	ATAD3B
ATAD3B	NM_001317238.2	1	1	912220	932352	ATAD3B
ATAD3B	XM_047431593.1	1	1	912709	932352	ATAD3B
ATAD3A	XM_047424290.1	1	1	946666	962186	ATAD3A
ATAD3A	XM_047424289.1	1	1	946666	963804	ATAD3A
ATAD3A	NM_001170535.3	1	1	946666	969189	ATAD3A
ATAD3A	NM_018188.5	1	1	946666	969189	ATAD3A
ATAD3A	XM_047424288.1	1	1	946666	969189	ATAD3A
ATAD3A	NM_001170536.3	1	1	947034	969189	ATAD3A
TMEM240	NM_001114748.2	1	-1	969282	975128	TMEM240
SSU72	NM_014188.3	1	-1	976177	1009369	SSU72
FNDC10	NM_001242659.2	1	-1	1032518	1034641	FNDC10
LOC105378586	NR_147951.1	1	1	1033939	1041716	LOC105378586
MIB2	XM_047446594.1	1	1	1048236	1065110	MIB2
MIB2	XM_047446668.1	1	1	1048236	1065110	MIB2
MIB2	XM_047446677.1	1	1	1048236	1065110	MIB2
MIB2	XM_047446726.1	1	1	1048236	1065110	MIB2
MIB2	XM_047446727.1	1	1	1048236	1065110	MIB2
MIB2	XM_047446729.1	1	1	1048236	1065110	MIB2
MIB2	NM_001170686.4	1	1	1050005	1065110	MIB2
MIB2	NM_001170687.4	1	1	1050005	1065110	MIB2
MIB2	NM_001170688.2	1	1	1050005	1065110	MIB2
MIB2	NM_080875.5	1	1	1050005	1065110	MIB2
MIB2	NR_033183.2	1	1	1050005	1065110	MIB2
MIB2	XM_006710372.2	1	1	1050005	1065110	MIB2
MIB2	XM_047446731.1	1	1	1050005	1065110	MIB2
MIB2	XM_047446735.1	1	1	1050005	1065110	MIB2
MIB2	XM_047446736.1	1	1	1050005	1065110	MIB2
MIB2	XM_047446737.1	1	1	1050005	1065110	MIB2
MIB2	XM_047446738.1	1	1	1050005	1065110	MIB2
MIB2	XM_047446741.1	1	1	1050005	1065110	MIB2
MIB2	XM_047446742.1	1	1	1050005	1065110	MIB2
MIB2	XM_047446743.1	1	1	1050005	1065110	MIB2
MIB2	XM_047446744.1	1	1	1050005	1065110	MIB2
MIB2	XM_047446745.1	1	1	1050005	1065110	MIB2
MIB2	XM_047446746.1	1	1	1050005	1065110	MIB2
MIB2	NR_146324.2	1	1	1050360	1051828	MIB2
MIB2	NM_001170689.2	1	1	1050360	1065110	MIB2
MIB2	XM_011540737.4	1	1	1050360	1065110	MIB2
MIB2	XM_011540741.4	1	1	1050360	1065110	MIB2
MIB2	XM_011540742.4	1	1	1050360	1065110	MIB2
MIB2	XM_047446672.1	1	1	1050360	1065110	MIB2
MIB2	XM_047446728.1	1	1	1050360	1065110	MIB2
MIB2	XM_047446747.1	1	1	1053818	1065110	MIB2
LOC124903821	XR_007065352.1	1	-1	1059262	1066290	LOC124903821
MMP23B	NM_006983.2	1	1	1066677	1069155	MMP23B
MMP23B	XM_047432837.1	1	1	1066677	1069155	MMP23B
MMP23B	XM_047432838.1	1	1	1066677	1069155	MMP23B
CDK11B	XM_024451190.2	1	-1	1069726	1076237	CDK11B
CDK11B	XM_047435367.1	1	-1	1069726	1084128	CDK11B
CDK11B	XM_011542494.4	1	-1	1069726	1091931	CDK11B
CDK11B	XM_017002928.3	1	-1	1069726	1091931	CDK11B
CDK11B	XM_047435355.1	1	-1	1069726	1091931	CDK11B
CDK11B	XM_047435360.1	1	-1	1069726	1091931	CDK11B
CDK11B	XM_047435362.1	1	-1	1069726	1093286	CDK11B
CDK11B	NM_001291345.2	1	-1	1069726	1093466	CDK11B
CDK11B	NM_001787.3	1	-1	1069726	1093466	CDK11B
CDK11B	NM_033486.3	1	-1	1069726	1093466	CDK11B
CDK11B	NM_033487.3	1	-1	1069726	1093466	CDK11B
CDK11B	NM_033489.3	1	-1	1069726	1093466	CDK11B
CDK11B	NM_033490.3	1	-1	1069726	1093466	CDK11B
CDK11B	XM_006711065.5	1	-1	1069726	1093466	CDK11B
CDK11B	XM_011542490.4	1	-1	1069726	1093466	CDK11B
CDK11B	XM_011542491.3	1	-1	1069726	1093466	CDK11B
CDK11B	XM_011542492.3	1	-1	1069726	1093466	CDK11B
CDK11B	XM_011542493.4	1	-1	1069726	1093466	CDK11B
CDK11B	XM_017002925.3	1	-1	1069726	1093466	CDK11B
CDK11B	XM_017002926.3	1	-1	1069726	1093466	CDK11B
CDK11B	XM_047435328.1	1	-1	1069726	1093466	CDK11B
CDK11B	XM_047435330.1	1	-1	1069726	1093466	CDK11B
CDK11B	XM_047435361.1	1	-1	1069726	1093466	CDK11B
CDK11B	XM_047435363.1	1	-1	1070820	1093466	CDK11B
CDK11B	XM_047435368.1	1	-1	1072266	1093466	CDK11B
CDK11B	XM_047435369.1	1	-1	1072266	1093466	CDK11B
CDK11B	XM_047435371.1	1	-1	1072266	1093466	CDK11B
SLC35E2B	NM_001110781.3	1	-1	1095940	1127231	SLC35E2B
SLC35E2B	NM_001290264.2	1	-1	1095940	1127231	SLC35E2B
LOC112268218_1	XR_002958243.2_1	1	1	1126980	1133564	LOC112268218
MMP23A	NR_002946.1	1	1	1134371	1136240	MMP23A
CDK11A	NM_001313896.2	1	-1	1136811	1158725	CDK11A
CDK11A	NM_001313982.2	1	-1	1136811	1158725	CDK11A
CDK11A	NM_024011.4	1	-1	1136811	1158725	CDK11A
CDK11A	NM_033529.4	1	-1	1136811	1158725	CDK11A
CDK11A	NR_132739.2	1	-1	1136811	1158725	CDK11A
CDK11A	NR_132740.2	1	-1	1136811	1158725	CDK11A
SLC35E2A	NR_173244.1	1	-1	1161752	1180438	SLC35E2A
SLC35E2A	NR_173245.1	1	-1	1167293	1180438	SLC35E2A
LOC112268218	XR_002958243.2	1	1	1180187	1186160	LOC112268218
NADK	XM_047428647.1	1	-1	1185650	1191281	NADK
NADK	XM_017002144.3	1	-1	1185650	1192533	NADK
NADK	NM_001198995.1	1	-1	1185650	1193041	NADK
NADK	NM_001353642.2	1	-1	1185650	1212848	NADK
NADK	NM_023018.5	1	-1	1185650	1212848	NADK
NADK	XM_047428656.1	1	-1	1185650	1212848	NADK
NADK	XR_946747.3	1	-1	1185650	1212848	NADK
NADK	NM_001198993.2	1	-1	1185650	1213194	NADK
NADK	NM_001198994.2	1	-1	1185650	1214409	NADK
NADK	NM_001353641.2	1	-1	1185650	1214409	NADK
NADK	XM_011542009.3	1	-1	1185650	1214409	NADK
NADK	XM_047428631.1	1	-1	1185650	1214892	NADK
GNB1	XM_017001059.3	1	-1	1219664	1266679	GNB1
GNB1	XM_047418067.1	1	-1	1219664	1324778	GNB1
GNB1	XM_047418060.1	1	-1	1219664	1324792	GNB1
GNB1	XM_047418063.1	1	-1	1219664	1324804	GNB1
GNB1	XM_047418069.1	1	-1	1219664	1324815	GNB1
GNB1	XM_047418043.1	1	-1	1219664	1324819	GNB1
GNB1	XM_047418062.1	1	-1	1219664	1324819	GNB1
GNB1	XM_047418055.1	1	-1	1219664	1324834	GNB1
GNB1	XM_047418074.1	1	-1	1219664	1324834	GNB1
GNB1	XM_047418056.1	1	-1	1219664	1324843	GNB1
GNB1	XM_047418068.1	1	-1	1219664	1324857	GNB1
GNB1	XM_047418058.1	1	-1	1219664	1324876	GNB1
GNB1	XM_024446495.2	1	-1	1219664	1324881	GNB1
GNB1	NM_001282538.2	1	-1	1219664	1325475	GNB1
GNB1	NM_001282539.2	1	-1	1219664	1325475	GNB1
GNB1	NM_002074.5	1	-1	1219664	1325475	GNB1
GNB1	XM_017001060.3	1	-1	1219664	1325475	GNB1
GNB1	XM_017001061.3	1	-1	1219664	1325475	GNB1
GNB1	XM_047418042.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418044.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418045.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418046.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418049.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418050.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418054.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418057.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418059.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418061.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418070.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418071.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418072.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418073.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418076.1	1	-1	1219664	1325475	GNB1
GNB1	XM_047418078.1	1	-1	1219664	1325475	GNB1
GNB1-DT	NR_168263.1	1	1	1325568	1327117	GNB1-DT
GNB1-DT	NR_168264.1	1	1	1325568	1327117	GNB1-DT
LOC124903822	XR_007065353.1	1	-1	1340425	1343549	LOC124903822
CALML6	NM_001330313.2	1	1	1349682	1351718	CALML6
CALML6	NM_138705.4	1	1	1349682	1351718	CALML6
CALML6	XM_005244729.4	1	1	1349682	1351718	CALML6
TMEM52	NM_178545.4	1	-1	1352013	1353692	TMEM52
TMEM52	XM_047419236.1	1	-1	1352013	1353692	TMEM52
TMEM52	XM_047419237.1	1	-1	1352013	1353692	TMEM52
TMEM52	XM_047419240.1	1	-1	1352013	1353692	TMEM52
CFAP74	NM_001304360.2	1	-1	1356370	1439078	CFAP74
LOC107984872	XR_007065354.1	1	1	1392442	1394104	LOC107984872
LOC105378589	XR_001737843.3	1	-1	1448505	1453395	LOC105378589
LOC105378589	XR_001737844.3	1	-1	1448505	1453395	LOC105378589
GABRD	NM_000815.5	1	1	1454897	1466310	GABRD
GABRD	XM_011541194.4	1	1	1455411	1466310	GABRD
GABRD	XM_017000936.2	1	1	1455412	1466310	GABRD
LOC105378590	XR_001737845.3	1	-1	1471283	1482966	LOC105378590
LOC105378590	XR_007065356.1	1	-1	1471283	1482966	LOC105378590
LOC105378590	XR_007065357.1	1	-1	1471283	1482966	LOC105378590
PRKCZ	XM_047425255.1	1	1	1484023	1620370	PRKCZ
PRKCZ-DT	NR_135509.1	1	-1	1484720	1485589	PRKCZ-DT
PRKCZ	XM_017001803.3	1	1	1485930	1592288	PRKCZ
PRKCZ	XM_011541775.4	1	1	1485930	1604415	PRKCZ
PRKCZ	XM_011541773.2	1	1	1485930	1616883	PRKCZ
PRKCZ	XM_017001789.2	1	1	1485930	1616883	PRKCZ
PRKCZ	XR_007061965.1	1	1	1485930	1619641	PRKCZ
PRKCZ	XR_007061966.1	1	1	1485930	1619641	PRKCZ
PRKCZ	NM_002744.6	1	1	1485930	1620370	PRKCZ
PRKCZ	XM_017001790.2	1	1	1485930	1620370	PRKCZ
PRKCZ	XM_047425260.1	1	1	1486275	1615878	PRKCZ
PRKCZ	XM_047425262.1	1	1	1486275	1620370	PRKCZ
PRKCZ	XM_011541776.2	1	1	1509183	1615878	PRKCZ
PRKCZ	XM_017001792.2	1	1	1509183	1615878	PRKCZ
PRKCZ	NM_001033581.3	1	1	1509183	1620370	PRKCZ
PRKCZ	NM_001350803.2	1	1	1509183	1620370	PRKCZ
PRKCZ	NM_001350804.2	1	1	1509183	1620370	PRKCZ
PRKCZ	NM_001350806.2	1	1	1509183	1620370	PRKCZ
PRKCZ	NR_146911.2	1	1	1509183	1620370	PRKCZ
PRKCZ	XM_011541774.2	1	1	1509590	1615878	PRKCZ
PRKCZ	NM_001242874.3	1	1	1509590	1620370	PRKCZ
PRKCZ	NM_001350805.2	1	1	1509590	1620370	PRKCZ
PRKCZ	XM_047425283.1	1	1	1510152	1620370	PRKCZ
PRKCZ	XM_024448391.2	1	1	1540242	1615878	PRKCZ
PRKCZ	XM_024448396.2	1	1	1540242	1615878	PRKCZ
PRKCZ	NM_001033582.3	1	1	1540242	1620370	PRKCZ
PRKCZ	XM_047425323.1	1	1	1540242	1620370	PRKCZ
PRKCZ	XM_047425304.1	1	1	1546913	1615878	PRKCZ
PRKCZ	XM_047425340.1	1	1	1546913	1615878	PRKCZ
PRKCZ	XM_047425348.1	1	1	1546913	1620370	PRKCZ
PRKCZ	XM_047425273.1	1	1	1560466	1615878	PRKCZ
PRKCZ	XM_017001793.2	1	1	1568497	1615878	PRKCZ
PRKCZ	XM_047425307.1	1	1	1569726	1615878	PRKCZ
PRKCZ	XM_017001797.2	1	1	1580187	1615878	PRKCZ
PRKCZ	XM_024448397.2	1	1	1580999	1615878	PRKCZ
PRKCZ	XM_017001802.2	1	1	1581000	1615878	PRKCZ
