SEPTIN14P6	NR_109817.1	6	-1	2935	3070	SEPTIN14P6	transcript
LOC107986556	XR_007076448.1	6	-1	2971258	2986686	LOC107986556	lnc_RNA
BPHL	NR_026648.2	6	1	2986415	3020418	BPHL	transcript
BPHL	NR_026649.2	6	1	2986415	3020418	BPHL	transcript
BPHL	NM_001302777.1	6	1	2986415	3020418	BPHL	mRNA
BPHL	XM_054356264.1	6	1	2986415	3017364	BPHL	mRNA
BPHL	XM_054356265.1	6	1	2986415	3008546	BPHL	mRNA
BPHL	NM_004332.4	6	1	2986750	3020798	BPHL	mRNA
TUBB2A	NM_001069.3	6	-1	3020886	3024765	TUBB2A	mRNA
TUBB2A	NM_001310315.2	6	-1	3020886	3024765	TUBB2A	mRNA
LOC105374889	XR_007076449.1	6	1	3024884	3025914	LOC105374889	lnc_RNA
LINC02525	NR_038296.1	6	-1	3050039	3062993	LINC02525	lnc_RNA
LINC02525	NR_038295.1	6	-1	3050039	3062993	LINC02525	lnc_RNA
TUBB2B	NM_178012.5	6	-1	3092680	3096055	TUBB2B	mRNA
LOC100422781	NR_147505.1	6	1	3099803	3108382	LOC100422781	lnc_RNA
PSMG4	XM_054355411.1	6	1	3123453	3136452	PSMG4	mRNA
PSMG4	NM_001135750.2	6	1	3127334	3136452	PSMG4	mRNA
PSMG4	NM_001128592.2	6	1	3127334	3136452	PSMG4	mRNA
PSMG4	NM_001128591.2	6	1	3127334	3136452	PSMG4	mRNA
PSMG4	XM_054355412.1	6	1	3127334	3132720	PSMG4	mRNA
SLC22A23	NR_168069.1	6	-1	3137376	3325795	SLC22A23	transcript
SLC22A23	NR_104448.2	6	-1	3137376	3313779	SLC22A23	transcript
SLC22A23	NM_015482.2	6	-1	3137376	3325795	SLC22A23	mRNA
SLC22A23	XM_054356201.1	6	-1	3137376	3325795	SLC22A23	mRNA
SLC22A23	XM_054356200.1	6	-1	3137376	3325795	SLC22A23	mRNA
SLC22A23	XM_054356199.1	6	-1	3137376	3325795	SLC22A23	mRNA
SLC22A23	NM_001286455.1	6	-1	3137376	3313779	SLC22A23	mRNA
SLC22A23	NM_021945.6	6	-1	3137376	3313779	SLC22A23	mRNA
SLC22A23	NM_001382318.1	6	-1	3137376	3192506	SLC22A23	mRNA
SLC22A23	XM_054356202.1	6	-1	3137376	3192506	SLC22A23	mRNA
SLC22A23	NM_001382317.1	6	-1	3151222	3325795	SLC22A23	mRNA
SLC22A23	NM_001382319.1	6	-1	3151222	3192506	SLC22A23	mRNA
SLC22A23	NM_001382320.1	6	-1	3191698	3325795	SLC22A23	mRNA
SLC22A23	NM_001286456.2	6	-1	3191698	3325795	SLC22A23	mRNA
SLC22A23	NM_001382321.1	6	-1	3191698	3192506	SLC22A23	mRNA
SLC22A23	XM_054356204.1	6	-1	3224817	3325795	SLC22A23	mRNA
SLC22A23	XR_008487423.1	6	-1	3224892	3325795	SLC22A23	transcript
SLC22A23	XM_054356203.1	6	-1	3224989	3325795	SLC22A23	mRNA
SLC22A23	XR_008487424.1	6	-1	3231836	3325795	SLC22A23	transcript
LOC105374890	XR_007076450.1	6	1	3279483	3286763	LOC105374890	lnc_RNA
SLC22A23	XM_054356205.1	6	-1	3298785	3325795	SLC22A23	mRNA
LOC643327	NR_147844.1	6	1	3324448	3337760	LOC643327	lnc_RNA
LOC100507336	NR_187644.1	6	-1	3462496	3589023	LOC100507336	lnc_RNA
LOC100507336	NR_187647.1	6	-1	3462496	3589023	LOC100507336	lnc_RNA
LOC100507336	NR_187642.1	6	-1	3462496	3589023	LOC100507336	lnc_RNA
LOC100507336	NR_187643.1	6	-1	3462496	3589023	LOC100507336	lnc_RNA
LOC100507336	NR_187649.1	6	-1	3462496	3589023	LOC100507336	lnc_RNA
LOC100507336	NR_187645.1	6	-1	3462496	3589023	LOC100507336	lnc_RNA
LOC100507336	NR_187648.1	6	-1	3462496	3589023	LOC100507336	lnc_RNA
LOC100507336	NR_187646.1	6	-1	3462496	3589023	LOC100507336	lnc_RNA
LOC100507336	NR_187650.1	6	-1	3462496	3589023	LOC100507336	lnc_RNA
LOC100507336	NR_187641.1	6	-1	3462673	3588917	LOC100507336	lnc_RNA
LOC100507336	NR_187651.1	6	-1	3521396	3589023	LOC100507336	lnc_RNA
PXDC1	NM_183373.4	6	-1	3591565	3620651	PXDC1	mRNA
PXDC1	XM_054354641.1	6	-1	3591565	3608103	PXDC1	mRNA
PXDC1	XM_054354640.1	6	-1	3591565	3608103	PXDC1	mRNA
PXDC1	XR_008487280.1	6	-1	3606052	3620651	PXDC1	transcript
FAM50B	XR_007076453.1	6	1	3701518	3703533	FAM50B	transcript
FAM50B	XM_054355142.1	6	1	3701544	3720954	FAM50B	mRNA
LOC107986557	XR_007076454.1	6	-1	3714325	3719003	LOC107986557	lnc_RNA
FAM50B	NM_012135.3	6	1	3719010	3720954	FAM50B	mRNA
TGILR	NR_198974.1	6	-1	3774767	3781628	TGILR	lnc_RNA
LOC124901245	XR_007076457.1	6	-1	3880786	3889949	LOC124901245	lnc_RNA
LOC124901245	XR_007076456.1	6	-1	3880786	3889949	LOC124901245	lnc_RNA
PRP4K	XR_008487457.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487458.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487459.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487460.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487461.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487462.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487465.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487476.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487479.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487463.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487464.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487468.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487466.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487475.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487473.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487469.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487474.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487472.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487481.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487480.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487467.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487477.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487478.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487470.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487471.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487485.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487486.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487484.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487482.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487488.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487490.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487483.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487487.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	NR_146785.2	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487495.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	NR_146783.2	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487491.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487492.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487494.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487489.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487499.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487496.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487501.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487493.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487498.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487497.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487500.1	6	1	3890936	3934285	PRP4K	transcript
PRP4K	NR_146784.2	6	1	3890936	3934285	PRP4K	transcript
PRP4K	XR_008487502.1	6	1	3890936	3926409	PRP4K	transcript
PRP4K	NM_003913.5	6	1	3890936	3934285	PRP4K	mRNA
FAM217A	XM_054354673.1	6	-1	3937669	3956636	FAM217A	mRNA
FAM217A	XM_054354678.1	6	-1	3937669	3954000	FAM217A	mRNA
FAM217A	XM_054354669.1	6	-1	3937669	3948439	FAM217A	mRNA
FAM217A	XM_054354677.1	6	-1	3937669	3948439	FAM217A	mRNA
FAM217A	XM_054354675.1	6	-1	3937669	3948439	FAM217A	mRNA
FAM217A	XM_054354668.1	6	-1	3937669	3948439	FAM217A	mRNA
FAM217A	XM_054354671.1	6	-1	3937669	3948439	FAM217A	mRNA
FAM217A	NM_173563.3	6	-1	3937669	3948439	FAM217A	mRNA
FAM217A	XM_054354674.1	6	-1	3937669	3947357	FAM217A	mRNA
FAM217A	XM_054354676.1	6	-1	3937669	3947357	FAM217A	mRNA
FAM217A	XM_054354672.1	6	-1	3937669	3947357	FAM217A	mRNA
FAM217A	XM_054354670.1	6	-1	3937669	3947357	FAM217A	mRNA
TEX56P	NR_104463.3	6	1	3948511	4000053	TEX56P	transcript
TEX56P	NR_172627.1	6	1	3948511	4000053	TEX56P	transcript
TEX56P	NR_104464.3	6	1	3948511	4000053	TEX56P	transcript
TEX56P	NR_172628.1	6	1	3948511	4000053	TEX56P	transcript
ECI2	NR_028588.2	6	-1	3984995	4004863	ECI2	transcript
ECI2	NM_006117.3	6	-1	3984995	4004863	ECI2	mRNA
ECI2	NM_206836.3	6	-1	3984995	4004863	ECI2	mRNA
ECI2	NM_001166010.2	6	-1	3984995	4004756	ECI2	mRNA
ECI2-DT	NR_103764.1	6	1	4005360	4026675	ECI2-DT	lnc_RNA
LOC107986559	XR_007076458.1	6	-1	4009622	4011090	LOC107986559	lnc_RNA
LOC124901246	XR_007076459.1	6	1	4012998	4049366	LOC124901246	lnc_RNA
LOC102724096	NR_125874.1	6	-1	4055601	4059313	LOC102724096	lnc_RNA
LOC101927888	NR_187665.1	6	-1	4210734	4216142	LOC101927888	lnc_RNA
LOC101927888	NR_187664.1	6	-1	4210734	4216142	LOC101927888	lnc_RNA
LOC101927888	NR_187663.1	6	-1	4210734	4216142	LOC101927888	lnc_RNA
LOC107986560	XR_007076470.1	6	1	4284373	4311735	LOC107986560	lnc_RNA
LOC105374894	XR_007076466.1	6	-1	4297820	4452810	LOC105374894	lnc_RNA
LOC107986561	XR_007076469.1	6	1	4315951	4333732	LOC107986561	lnc_RNA
LOC105374894	XR_007076464.1	6	-1	4330307	4452810	LOC105374894	lnc_RNA
LOC124901247	XR_007076468.1	6	1	4333766	4335880	LOC124901247	lnc_RNA
LOC105374894	XR_007076467.1	6	-1	4334719	4452827	LOC105374894	lnc_RNA
LINC02533	NR_149117.1	6	1	4357719	4364687	LINC02533	lnc_RNA
LOC105374894	XR_007076465.1	6	-1	4366300	4452810	LOC105374894	lnc_RNA
LOC105374894	XR_007076463.1	6	-1	4436494	4452767	LOC105374894	lnc_RNA
KU-MEL-3	NR_122107.1	6	1	4479482	4480836	KU-MEL-3	lnc_RNA
CDYL	NM_001368125.1	6	1	4575080	4824553	CDYL	mRNA
CDYL-AS1	NR_183279.1	6	-1	4643470	4644370	CDYL-AS1	lnc_RNA
CDYL	NM_004824.4	6	1	4645347	4824553	CDYL	mRNA
CDYL	NM_001368126.1	6	1	4645347	4824553	CDYL	mRNA
CDYL	NM_001368127.1	6	1	4645347	4824553	CDYL	mRNA
CDYL	NM_001143970.2	6	1	4705050	4824553	CDYL	mRNA
CDYL	XM_054356825.1	6	1	4736365	4824553	CDYL	mRNA
CDYL	NM_001143971.2	6	1	4758991	4824553	CDYL	mRNA
CDYL	XM_054356826.1	6	1	4759377	4824553	CDYL	mRNA
LOC105374897	XR_007076473.1	6	1	4761337	4778238	LOC105374897	lnc_RNA
RPP40	XR_008487243.1	6	-1	4855789	4873023	RPP40	transcript
RPP40	XR_008487242.1	6	-1	4855791	4873023	RPP40	transcript
RPP40	XM_054354064.1	6	-1	4862553	4873023	RPP40	mRNA
RPP40	XM_054354065.1	6	-1	4862553	4873023	RPP40	mRNA
RPP40	XM_054354062.1	6	-1	4862553	4873023	RPP40	mRNA
RPP40	XM_054354063.1	6	-1	4863716	4873023	RPP40	mRNA
RPP40	NM_001286132.2	6	-1	4863716	4873023	RPP40	mRNA
RPP40	NM_001286133.2	6	-1	4863716	4873023	RPP40	mRNA
RPP40	NM_006638.4	6	-1	4863716	4873023	RPP40	mRNA
LYRM4-AS1	NR_126015.1	6	1	4872802	5109711	LYRM4-AS1	lnc_RNA
LYRM4-AS1	NR_126016.1	6	1	4872802	4912805	LYRM4-AS1	lnc_RNA
LYRM4-AS1	NR_126017.1	6	1	4872802	4912805	LYRM4-AS1	lnc_RNA
LOC124901248	XR_007076475.1	6	-1	4883327	4894972	LOC124901248	lnc_RNA
LOC124901248	XR_007076474.1	6	-1	4883327	4894972	LOC124901248	lnc_RNA
LYRM4-AS1	NR_126019.1	6	1	4898961	4912805	LYRM4-AS1	lnc_RNA
LYRM4-AS1	NR_126018.1	6	1	4898961	4912805	LYRM4-AS1	lnc_RNA
LYRM4	XM_054355978.1	6	-1	4900453	5130157	LYRM4	mRNA
LYRM4	XM_054355979.1	6	-1	4916367	5130157	LYRM4	mRNA
LYRM4	NR_134856.1	6	-1	4937542	5130157	LYRM4	transcript
LYRM4	NM_001318783.1	6	-1	4937542	5130157	LYRM4	mRNA
