LOC128966666	XR_008485321.1	20	-1	10925	71751	LOC128966666	transcript
C20orf96	XM_054322990.1	20	-1	313408	333932	C20orf96	mRNA
C20orf96	XM_054322991.1	20	-1	313408	333932	C20orf96	mRNA
C20orf96	NM_153269.3	20	-1	313408	333932	C20orf96	mRNA
C20orf96	NM_080571.2	20	-1	313408	333932	C20orf96	mRNA
C20orf96	XM_054322989.1	20	-1	318521	333486	C20orf96	mRNA
C20orf96	XM_054322992.1	20	-1	318528	333932	C20orf96	mRNA
ZCCHC3	NM_033089.7	20	1	340752	343503	ZCCHC3	mRNA
NRSN2-AS1	NR_109990.1	20	-1	363048	368613	NRSN2-AS1	lnc_RNA
SOX12	NM_006943.4	20	1	368913	373584	SOX12	mRNA
LOC101929937	XM_047446958.1	20	-1	389099	392056	LOC101929937	mRNA
NRSN2	NR_136649.2	20	1	390459	398227	NRSN2	transcript
NRSN2	NM_001323684.2	20	1	390459	398227	NRSN2	mRNA
NRSN2	NM_001323682.2	20	1	390459	398227	NRSN2	mRNA
NRSN2	NM_001323683.2	20	1	390459	398227	NRSN2	mRNA
NRSN2	NM_001323679.2	20	1	390459	398227	NRSN2	mRNA
NRSN2	NM_001323681.2	20	1	390459	398227	NRSN2	mRNA
NRSN2	NM_001323680.2	20	1	390459	398227	NRSN2	mRNA
NRSN2	NM_024958.3	20	1	390459	398227	NRSN2	mRNA
NRSN2	NM_001323685.2	20	1	391253	398227	NRSN2	mRNA
TRIB3	NM_021158.5	20	1	424107	440963	TRIB3	mRNA
TRIB3	NM_001301201.1	20	1	424708	440963	TRIB3	mRNA
TRIB3	NM_001301196.1	20	1	424708	440963	TRIB3	mRNA
TRIB3	NM_001301188.1	20	1	424719	440963	TRIB3	mRNA
TRIB3	NM_001301193.1	20	1	424756	440963	TRIB3	mRNA
TRIB3	NM_001301190.1	20	1	424756	440963	TRIB3	mRNA
RBCK1	NR_136659.2	20	1	451838	475908	RBCK1	transcript
RBCK1	XM_054322844.1	20	1	451838	475908	RBCK1	mRNA
RBCK1	NM_001410770.1	20	1	451838	475908	RBCK1	mRNA
RBCK1	XM_054322845.1	20	1	451838	475908	RBCK1	mRNA
RBCK1	NM_031229.4	20	1	451838	475908	RBCK1	mRNA
RBCK1	NM_001323956.2	20	1	451838	475908	RBCK1	mRNA
RBCK1	NM_006462.6	20	1	451838	475908	RBCK1	mRNA
RBCK1	NM_001323958.2	20	1	451838	475908	RBCK1	mRNA
RBCK1	XM_054322846.1	20	1	451838	472797	RBCK1	mRNA
RBCK1	XM_054322848.1	20	1	451838	466007	RBCK1	mRNA
RBCK1	XM_054322850.1	20	1	451838	466007	RBCK1	mRNA
RBCK1	XM_054322847.1	20	1	451838	464216	RBCK1	mRNA
RBCK1	XM_054322849.1	20	1	451838	464216	RBCK1	mRNA
RBCK1	NM_001323960.2	20	1	451838	454303	RBCK1	mRNA
TBC1D20	NR_111901.2	20	-1	479231	506260	TBC1D20	transcript
TBC1D20	NM_144628.4	20	-1	479231	506260	TBC1D20	mRNA
CSNK2A1	NM_177560.3	20	-1	516232	587494	CSNK2A1	mRNA
CSNK2A1	NM_001362771.2	20	-1	516232	587494	CSNK2A1	mRNA
CSNK2A1	NM_001895.4	20	-1	516232	587494	CSNK2A1	mRNA
CSNK2A1	NM_001362770.2	20	-1	516232	587494	CSNK2A1	mRNA
CSNK2A1	NM_177559.3	20	-1	516232	587494	CSNK2A1	mRNA
TCF15	NM_004609.4	20	-1	647994	654046	TCF15	mRNA
SRXN1	NM_080725.3	20	-1	690889	697474	SRXN1	mRNA
LOC107985423	XR_007089331.1	20	1	697227	703114	LOC107985423	lnc_RNA
SCRT2	NM_033129.4	20	-1	705869	720058	SCRT2	mRNA
SLC52A3	XM_054322921.1	20	-1	804408	824432	SLC52A3	mRNA
SLC52A3	NM_001370085.1	20	-1	804408	820382	SLC52A3	mRNA
SLC52A3	NM_001370086.1	20	-1	804408	820382	SLC52A3	mRNA
SLC52A3	XM_054322919.1	20	-1	804408	819360	SLC52A3	mRNA
SLC52A3	XM_054322920.1	20	-1	804408	817745	SLC52A3	mRNA
SLC52A3	NM_033409.4	20	-1	804408	812910	SLC52A3	mRNA
FAM110A	XM_054324097.1	20	1	880828	893378	FAM110A	mRNA
FAM110A	NM_001289145.2	20	1	880828	893378	FAM110A	mRNA
FAM110A	NM_001042353.3	20	1	880828	893378	FAM110A	mRNA
FAM110A	NM_001289146.2	20	1	880828	893378	FAM110A	mRNA
FAM110A	NM_207121.5	20	1	883164	893378	FAM110A	mRNA
FAM110A	NM_001289147.2	20	1	888395	893378	FAM110A	mRNA
FAM110A	XM_054324098.1	20	1	888422	893378	FAM110A	mRNA
FAM110A	NM_031424.6	20	1	891747	893378	FAM110A	mRNA
ANGPT4	XM_054323480.1	20	-1	917002	963415	ANGPT4	mRNA
ANGPT4	NM_001322809.2	20	-1	917002	963415	ANGPT4	mRNA
ANGPT4	NM_015985.4	20	-1	917002	963415	ANGPT4	mRNA
LOC124908096	XR_007089332.1	20	1	922101	933542	LOC124908096	lnc_RNA
LOC105372492	XR_007089333.1	20	1	960520	985293	LOC105372492	lnc_RNA
RSPO4	NM_001040007.3	20	-1	1005419	1049278	RSPO4	mRNA
RSPO4	NM_001029871.4	20	-1	1005419	1049278	RSPO4	mRNA
RSPO4	XM_054323406.1	20	-1	1008958	1049278	RSPO4	mRNA
PSMF1	NM_178578.4	20	1	1160211	1219464	PSMF1	mRNA
PSMF1	NM_001323407.2	20	1	1160211	1219464	PSMF1	mRNA
LOC105372493	NR_136535.1	20	-1	1164886	1165482	LOC105372493	lnc_RNA
PSMF1	NM_001323409.2	20	1	1165636	1219464	PSMF1	mRNA
PSMF1	NM_001323410.2	20	1	1165636	1219464	PSMF1	mRNA
PSMF1	NM_006814.5	20	1	1165636	1219464	PSMF1	mRNA
PSMF1	NM_001323408.2	20	1	1165636	1219464	PSMF1	mRNA
LOC124904855	XR_007089335.1	20	1	1222006	1227170	LOC124904855	lnc_RNA
TMEM74B	XM_054323618.1	20	-1	1227788	1236631	TMEM74B	mRNA
TMEM74B	XM_054323619.1	20	-1	1227788	1233903	TMEM74B	mRNA
TMEM74B	XM_054323620.1	20	-1	1227788	1233682	TMEM74B	mRNA
TMEM74B	XM_054323621.1	20	-1	1227788	1233436	TMEM74B	mRNA
TMEM74B	NM_001387329.1	20	-1	1227788	1233142	TMEM74B	mRNA
TMEM74B	NM_001387332.1	20	-1	1227788	1233142	TMEM74B	mRNA
TMEM74B	NM_001387333.1	20	-1	1227788	1233142	TMEM74B	mRNA
TMEM74B	NM_001304749.2	20	-1	1227788	1233142	TMEM74B	mRNA
TMEM74B	XM_054323623.1	20	-1	1227788	1233142	TMEM74B	mRNA
TMEM74B	NM_001387334.1	20	-1	1227788	1233142	TMEM74B	mRNA
TMEM74B	NM_001387331.1	20	-1	1227788	1233142	TMEM74B	mRNA
TMEM74B	NM_001387330.1	20	-1	1227788	1233142	TMEM74B	mRNA
TMEM74B	XM_054323622.1	20	-1	1227788	1232292	TMEM74B	mRNA
TMEM74B	XM_054323624.1	20	-1	1227788	1232203	TMEM74B	mRNA
TMEM74B	NM_001304748.2	20	-1	1227788	1232203	TMEM74B	mRNA
TMEM74B	NM_018354.3	20	-1	1227788	1232203	TMEM74B	mRNA
LOC124908097	XR_007089334.1	20	1	1232950	1239552	LOC124908097	lnc_RNA
C20orf202	NM_001394958.1	20	1	1250656	1256277	C20orf202	mRNA
RAD21L1	XR_008485292.1	20	1	1273334	1290005	RAD21L1	transcript
RAD21L1	NM_001136566.3	20	1	1273334	1303183	RAD21L1	mRNA
RAD21L1	XM_054323833.1	20	1	1273334	1303183	RAD21L1	mRNA
RAD21L1	XM_054323836.1	20	1	1273334	1303183	RAD21L1	mRNA
RAD21L1	XM_054323837.1	20	1	1273334	1303183	RAD21L1	mRNA
RAD21L1	NM_001384355.1	20	1	1273334	1303183	RAD21L1	mRNA
RAD21L1	NM_001384356.1	20	1	1273334	1303183	RAD21L1	mRNA
RAD21L1	NM_001384357.1	20	1	1273334	1303183	RAD21L1	mRNA
RAD21L1	XM_054323834.1	20	1	1273438	1303183	RAD21L1	mRNA
RAD21L1	XM_054323838.1	20	1	1273438	1303183	RAD21L1	mRNA
RAD21L1	XM_054323835.1	20	1	1273926	1303183	RAD21L1	mRNA
RAD21L1	XM_054323840.1	20	1	1277803	1303183	RAD21L1	mRNA
RAD21L1	XM_054323839.1	20	1	1277876	1303183	RAD21L1	mRNA
RAD21L1	NM_001384358.1	20	1	1280274	1303183	RAD21L1	mRNA
SNPH	NM_001439261.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	NM_001439264.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	XM_054324263.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	XM_054324268.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	NM_001439257.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	NM_001318234.2	20	1	1314355	1358530	SNPH	mRNA
SNPH	XM_054324272.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	NM_001439263.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	NM_001439262.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	NM_001439265.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	NM_001439258.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	NM_001439259.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	NM_001439260.1	20	1	1314355	1358530	SNPH	mRNA
SNPH	NM_014723.4	20	1	1314355	1358530	SNPH	mRNA
FKBP1A-SDCBP2	NR_037661.1	20	-1	1359112	1442359	FKBP1A-SDCBP2	lnc_RNA
SDCBP2	NM_080489.5	20	-1	1359112	1378345	SDCBP2	mRNA
SDCBP2	NM_001199784.2	20	-1	1359112	1375075	SDCBP2	mRNA
SDCBP2	NM_015685.6	20	-1	1359112	1362880	SDCBP2	mRNA
LOC124904856	XR_007089336.1	20	1	1369641	1373575	LOC124904856	lnc_RNA
SDCBP2-AS1	NR_040047.1	20	1	1374549	1427917	SDCBP2-AS1	lnc_RNA
SDCBP2-AS1	NR_040048.1	20	1	1374549	1427917	SDCBP2-AS1	lnc_RNA
SDCBP2-AS1	NR_040049.1	20	1	1374549	1427917	SDCBP2-AS1	lnc_RNA
FKBP1A	NM_001199786.2	20	-1	1418161	1442241	FKBP1A	mRNA
FKBP1A	NM_000801.5	20	-1	1418161	1442241	FKBP1A	mRNA
FKBP1A	NM_054014.4	20	-1	1420898	1442241	FKBP1A	mRNA
MIR6869	NR_106929.1	20	-1	1442087	1442148	MIR6869	primary_transcript
MIR6869	unassigned_transcript_3484	20	-1	1442091	1442111	MIR6869	miRNA
MIR6869	unassigned_transcript_3485	20	-1	1442127	1442148	MIR6869	miRNA
LOC105372497	XR_007089340.1	20	-1	1454333	1474148	LOC105372497	lnc_RNA
LOC105372497	XR_007089339.1	20	-1	1454333	1474148	LOC105372497	lnc_RNA
LOC105372497	XR_007089341.1	20	-1	1454333	1474148	LOC105372497	lnc_RNA
LOC105372497	XR_007089338.1	20	-1	1454333	1474148	LOC105372497	lnc_RNA
LOC105372497	XR_007089337.1	20	-1	1454333	1474148	LOC105372497	lnc_RNA
NSFL1C	NR_038164.2	20	-1	1491358	1516046	NSFL1C	transcript
NSFL1C	XM_054323718.1	20	-1	1491358	1516046	NSFL1C	mRNA
NSFL1C	NM_018839.5	20	-1	1491358	1516046	NSFL1C	mRNA
NSFL1C	NM_016143.5	20	-1	1491358	1516046	NSFL1C	mRNA
NSFL1C	NM_001206736.2	20	-1	1491358	1516046	NSFL1C	mRNA
NSFL1C	XM_054323710.1	20	-1	1491358	1516046	NSFL1C	mRNA
NSFL1C	XM_054323709.1	20	-1	1491358	1516046	NSFL1C	mRNA
NSFL1C	XM_054323720.1	20	-1	1491358	1513570	NSFL1C	mRNA
NSFL1C	XM_054323717.1	20	-1	1491358	1513570	NSFL1C	mRNA
NSFL1C	XM_054323714.1	20	-1	1491358	1512587	NSFL1C	mRNA
NSFL1C	XM_054323712.1	20	-1	1491358	1512587	NSFL1C	mRNA
NSFL1C	XM_054323719.1	20	-1	1491358	1512546	NSFL1C	mRNA
NSFL1C	XM_054323711.1	20	-1	1491358	1512512	NSFL1C	mRNA
NSFL1C	XM_054323713.1	20	-1	1491358	1512511	NSFL1C	mRNA
NSFL1C	XM_054323715.1	20	-1	1491358	1507365	NSFL1C	mRNA
NSFL1C	XM_054323716.1	20	-1	1494926	1516046	NSFL1C	mRNA
SIRPB2	XR_008485256.1	20	-1	1519882	1540613	SIRPB2	transcript
SIRPB2	XR_008485255.1	20	-1	1519884	1540613	SIRPB2	transcript
SIRPB2	XR_008485254.1	20	-1	1519884	1540613	SIRPB2	transcript
SIRPB2	XM_054323392.1	20	-1	1522642	1540613	SIRPB2	mRNA
SIRPB2	NM_001134836.2	20	-1	1523776	1540613	SIRPB2	mRNA
SIRPB2	NM_001122962.2	20	-1	1523776	1540613	SIRPB2	mRNA
SIRPB2	XM_054323394.1	20	-1	1525440	1540613	SIRPB2	mRNA
SIRPB2	XM_054323390.1	20	-1	1525440	1540613	SIRPB2	mRNA
SIRPB2	XM_054323393.1	20	-1	1527110	1540613	SIRPB2	mRNA
SIRPB2	XM_054323389.1	20	-1	1527110	1540613	SIRPB2	mRNA
SIRPB2	XM_054323391.1	20	-1	1527110	1540613	SIRPB2	mRNA
LOC105372499	XR_007089345.1	20	1	1561754	1599375	LOC105372499	lnc_RNA
LOC105372498	XR_007089346.1	20	-1	1564780	1570813	LOC105372498	lnc_RNA
SIRPD	NM_178460.3	20	-1	1583429	1606887	SIRPD	mRNA
SIRPD	NM_001410802.1	20	-1	1583429	1606887	SIRPD	mRNA
SIRPD	XM_054322961.1	20	-1	1583429	1606887	SIRPD	mRNA
SIRPD	XM_054322963.1	20	-1	1589336	1606887	SIRPD	mRNA
SIRPD	XM_054322962.1	20	-1	1594490	1606887	SIRPD	mRNA
SIRPD	XM_054322964.1	20	-1	1598910	1606887	SIRPD	mRNA
LOC107985409	XR_007089343.1	20	1	1607189	1610721	LOC107985409	lnc_RNA
LOC107985409	XR_007089344.1	20	1	1607189	1610721	LOC107985409	lnc_RNA
LOC107985409	XR_007089342.1	20	1	1608091	1610721	LOC107985409	lnc_RNA
SIRPB1	NM_001083910.4	20	-1	1610569	1636143	SIRPB1	mRNA
SIRPB1	NM_001330639.2	20	-1	1610569	1636143	SIRPB1	mRNA
SIRPB1	NM_006065.5	20	-1	1610569	1636143	SIRPB1	mRNA
SIRPB1	NM_001329157.2	20	-1	1614217	1636143	SIRPB1	mRNA
SIRPB1	NM_001135844.4	20	-1	1614217	1636143	SIRPB1	mRNA
SIRPG	XM_054323627.1	20	-1	1645286	1702598	SIRPG	mRNA
SIRPG	NM_080816.3	20	-1	1645286	1673916	SIRPG	mRNA
SIRPG	XM_054323625.1	20	-1	1645286	1673916	SIRPG	mRNA
SIRPG	NM_001039508.2	20	-1	1645286	1673916	SIRPG	mRNA
SIRPG	NM_018556.4	20	-1	1645286	1673916	SIRPG	mRNA
SIRPG-AS1	NR_110090.1	20	1	1649642	1664607	SIRPG-AS1	lnc_RNA
SIRPG	XM_054323626.1	20	-1	1651644	1673916	SIRPG	mRNA
SIRPB3P	NR_164369.1	20	-1	1710467	1738406	SIRPB3P	transcript
LOC100289473	NR_037142.1	20	-1	1789514	1796090	LOC100289473	transcript
LOC124908098	XR_007089348.1	20	-1	1804215	1856200	LOC124908098	lnc_RNA
LOC124908098	XR_007089347.1	20	-1	1804215	1834879	LOC124908098	lnc_RNA
LOC124908098	XR_007089350.1	20	-1	1822833	1834879	LOC124908098	lnc_RNA
LOC124908098	XR_007089352.1	20	-1	1822833	1834879	LOC124908098	lnc_RNA
LOC124908098	XR_007089354.1	20	-1	1822833	1827485	LOC124908098	lnc_RNA
LOC124908098	XR_007089355.1	20	-1	1822833	1827461	LOC124908098	lnc_RNA
LOC124908098	XR_007089353.1	20	-1	1827578	1834879	LOC124908098	lnc_RNA
LOC105372501	XR_007089356.1	20	1	1846312	1852997	LOC105372501	lnc_RNA
LOC124908098	XR_007089351.1	20	-1	1880361	1885887	LOC124908098	lnc_RNA
LOC124908098	XR_007089349.1	20	-1	1880361	1885887	LOC124908098	lnc_RNA
LOC102724545	NR_186374.1	20	-1	1918313	1924441	LOC102724545	lnc_RNA
LOC102724545	NR_186373.1	20	-1	1920266	1924441	LOC102724545	lnc_RNA
SIRPA	XM_054323051.1	20	1	1924358	1970769	SIRPA	mRNA
SIRPA	XM_054323053.1	20	1	1924358	1970769	SIRPA	mRNA
SIRPA	NM_001330728.1	20	1	1924358	1970071	SIRPA	mRNA
SIRPA	NM_001040022.1	20	1	1924358	1970071	SIRPA	mRNA
SIRPA	XM_054323047.1	20	1	1924933	1970769	SIRPA	mRNA
SIRPA	NM_080792.3	20	1	1924933	1970769	SIRPA	mRNA
SIRPA	XM_054323052.1	20	1	1925081	1970769	SIRPA	mRNA
SIRPA	XM_054323048.1	20	1	1925091	1970769	SIRPA	mRNA
SIRPA	XM_054323050.1	20	1	1925103	1970769	SIRPA	mRNA
SIRPA	XM_054323054.1	20	1	1925103	1970769	SIRPA	mRNA
SIRPA	NM_001040023.2	20	1	1925598	1970769	SIRPA	mRNA
SIRPA	XM_054323049.1	20	1	1944468	1970769	SIRPA	mRNA
PDYN-AS1	NR_134520.1	20	1	1977387	2037656	PDYN-AS1	lnc_RNA
PDYN	NM_001190899.2	20	-1	2008889	2024418	PDYN	mRNA
PDYN	NM_001190900.1	20	-1	2008889	2023881	PDYN	mRNA
PDYN	NM_001190892.1	20	-1	2008889	2022939	PDYN	mRNA
PDYN	XM_054323505.1	20	-1	2008889	2017085	PDYN	mRNA
PDYN	XM_054323503.1	20	-1	2008889	2016232	PDYN	mRNA
PDYN	XM_054323504.1	20	-1	2008889	2016232	PDYN	mRNA
PDYN	XM_054323501.1	20	-1	2008889	2014549	PDYN	mRNA
PDYN	XM_054323500.1	20	-1	2008889	2014461	PDYN	mRNA
PDYN	XM_054323499.1	20	-1	2008889	2014451	PDYN	mRNA
PDYN	XM_054323502.1	20	-1	2008889	2014414	PDYN	mRNA
PDYN	XM_054323506.1	20	-1	2008889	2013822	PDYN	mRNA
PDYN	NM_001190898.3	20	-1	2008892	2024191	PDYN	mRNA
PDYN	NM_024411.5	20	-1	2008892	2024191	PDYN	mRNA
STK35	NM_080836.4	20	1	2131852	2178591	STK35	mRNA
STK35	XM_054323069.1	20	1	2131852	2178591	STK35	mRNA
LOC124900458	XR_007089359.1	20	1	2147712	2171617	LOC124900458	lnc_RNA
LOC105372502	XR_007089360.1	20	1	2224043	2231417	LOC105372502	lnc_RNA
LINC03086	NR_161305.1	20	1	2236948	2243175	LINC03086	lnc_RNA
LOC124904860	XR_007089361.1	20	1	2255221	2266694	LOC124904860	lnc_RNA
LOC105372503	XR_007089362.1	20	-1	2325961	2331672	LOC105372503	lnc_RNA
TGM3	NM_003245.4	20	1	2326141	2371231	TGM3	mRNA
TGM6	NM_198994.3	20	1	2411268	2463114	TGM6	mRNA
TGM6	NM_001254734.2	20	1	2411268	2463114	TGM6	mRNA
SNRPB	NM_198216.2	20	-1	2492015	2501159	SNRPB	mRNA
SNRPB	NM_003091.4	20	-1	2492015	2501159	SNRPB	mRNA
SNORD119	NR_003684.1	20	-1	2493325	2493420	SNORD119	snoRNA
ZNF343	XM_054323987.1	20	-1	2512210	2555388	ZNF343	mRNA
ZNF343	XM_054323985.1	20	-1	2512210	2555388	ZNF343	mRNA
ZNF343	NM_001282495.1	20	-1	2512210	2554911	ZNF343	mRNA
ZNF343	NM_001282498.2	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	NM_001282496.2	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	NM_001321805.2	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	NM_024325.6	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	NM_001321802.2	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	NM_001282497.2	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	XM_054323991.1	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	XM_054323989.1	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	XM_054323986.1	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	XM_054323988.1	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	NM_001321800.2	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	NM_001321803.2	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	NM_001321801.2	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	XM_054323990.1	20	-1	2512210	2539308	ZNF343	mRNA
ZNF343	NM_001282499.3	20	-1	2522242	2539308	ZNF343	mRNA
LOC105372504	XR_007089363.1	20	-1	2564919	2574002	LOC105372504	lnc_RNA
TMC2	NM_080751.3	20	1	2566964	2674040	TMC2	mRNA
TMC2	XR_008485230.1	20	1	2588554	2646646	TMC2	transcript
TMC2	XM_054322937.1	20	1	2588554	2674609	TMC2	mRNA
LOC124908099	XR_007089367.1	20	-1	2673932	2682981	LOC124908099	lnc_RNA
NOP56	NR_027700.3	20	1	2683093	2688860	NOP56	transcript
NOP56	NR_145428.2	20	1	2683093	2688860	NOP56	transcript
NOP56	NM_006392.4	20	1	2683093	2688860	NOP56	mRNA
MIR1292	NR_031699.1	20	1	2683244	2683309	MIR1292	primary_transcript
MIR1292	unassigned_transcript_3486	20	1	2683246	2683270	MIR1292	miRNA
MIR1292	unassigned_transcript_3487	20	1	2683286	2683305	MIR1292	miRNA
SNORD110	NR_003078.1	20	1	2684679	2684753	SNORD110	snoRNA
SNORA51	NR_002981.1	20	1	2685534	2685665	SNORA51	snoRNA
SNORD86	NR_004399.1	20	1	2686564	2686649	SNORD86	snoRNA
SNORD56	NR_002739.1	20	1	2687091	2687161	SNORD56	snoRNA
SNORD57	NR_002738.1	20	1	2687406	2687477	SNORD57	snoRNA
IDH3B	XR_008485261.1	20	-1	2688862	2694697	IDH3B	transcript
IDH3B	NR_136344.2	20	-1	2688862	2694697	IDH3B	transcript
IDH3B	NM_174855.4	20	-1	2688862	2694697	IDH3B	mRNA
IDH3B	NM_001330763.2	20	-1	2688862	2694697	IDH3B	mRNA
IDH3B	NM_006899.5	20	-1	2688862	2694697	IDH3B	mRNA
IDH3B	NM_001258384.3	20	-1	2689482	2694697	IDH3B	mRNA
IDH3B-DT	NR_186432.1	20	1	2694755	2699935	IDH3B-DT	lnc_RNA
LOC105372507	XR_007089365.1	20	-1	2700759	2723069	LOC105372507	lnc_RNA
LOC105372507	XR_007089366.1	20	-1	2700929	2723069	LOC105372507	lnc_RNA
LOC105372507	XR_007089364.1	20	-1	2720327	2723080	LOC105372507	lnc_RNA
EBF4	XM_054323774.1	20	1	2723172	2790570	EBF4	mRNA
EBF4	NR_138537.2	20	1	2723237	2790570	EBF4	transcript
EBF4	NM_001395167.1	20	1	2723237	2790570	EBF4	mRNA
EBF4	NM_001395168.1	20	1	2723237	2790570	EBF4	mRNA
EBF4	NM_001110514.2	20	1	2723237	2790570	EBF4	mRNA
EBF4	XM_054323773.1	20	1	2723332	2790570	EBF4	mRNA
EBF4	XM_054323776.1	20	1	2724094	2786187	EBF4	mRNA
EBF4	XM_054323775.1	20	1	2738447	2790570	EBF4	mRNA
CPXM1	NM_001184699.2	20	-1	2824548	2831102	CPXM1	mRNA
CPXM1	NM_019609.5	20	-1	2824548	2831102	CPXM1	mRNA
C20orf141	NM_001256538.2	20	1	2845457	2846300	C20orf141	mRNA
C20orf141	NM_080739.2	20	1	2845481	2846300	C20orf141	mRNA
TMEM239	XM_054322814.1	20	1	2846368	2848534	TMEM239	mRNA
TMEM239	NM_001318207.1	20	1	2846777	2850756	TMEM239	mRNA
TMEM239	NM_001167670.3	20	1	2846839	2848534	TMEM239	mRNA
PCED1A	NM_001271168.2	20	-1	2865988	2871825	PCED1A	mRNA
PCED1A	XM_054323861.1	20	-1	2865988	2871825	PCED1A	mRNA
PCED1A	XM_054323860.1	20	-1	2865988	2871369	PCED1A	mRNA
PCED1A	XM_054323862.1	20	-1	2865988	2871329	PCED1A	mRNA
PCED1A	XM_054323863.1	20	-1	2865988	2871329	PCED1A	mRNA
PCED1A	NM_022760.6	20	-1	2865988	2871329	PCED1A	mRNA
PCED1A	XM_054323864.1	20	-1	2866862	2871329	PCED1A	mRNA
VPS16	NM_022575.4	20	1	2871419	2897578	VPS16	mRNA
VPS16	NM_080413.3	20	1	2871419	2897578	VPS16	mRNA
PTPRA	NM_002836.4	20	1	2895030	3069415	PTPRA	mRNA
PTPRA	NR_170936.1	20	1	2904326	3069415	PTPRA	transcript
PTPRA	NM_001388321.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001385306.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001385320.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001385302.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001388320.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_080841.3	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001388324.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001385305.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001385314.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001385319.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001388323.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_080840.3	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001385312.1	20	1	2904326	3069415	PTPRA	mRNA
PTPRA	NM_001385315.1	20	1	2904326	3069415	PTPRA	mRNA
