LOC124908428	XM_047447054.1	22	1	50815	76929	LOC124908428	mRNA
LOC124908497	XR_007090855.1	22	1	4935689	4940759	LOC124908497	rRNA
LOC124908471	XR_007090829.1	22	1	4974795	4976663	LOC124908471	rRNA
LOC124908504	XR_007090862.1	22	1	4977739	4977891	LOC124908504	rRNA
LOC124908498	XR_007090856.1	22	1	4979065	4984135	LOC124908498	rRNA
LOC124908472	XR_007090830.1	22	1	5018171	5020039	LOC124908472	rRNA
LOC124908512	XR_007090870.1	22	1	5021115	5021267	LOC124908512	rRNA
LOC124908499	XR_007090857.1	22	1	5022441	5027511	LOC124908499	rRNA
LOC124908473	XR_007090831.1	22	1	5061547	5063415	LOC124908473	rRNA
LOC124908513	XR_007090871.1	22	1	5064491	5064643	LOC124908513	rRNA
LOC124908500	XR_007090858.1	22	1	5065817	5070887	LOC124908500	rRNA
LOC124908475	XR_007090833.1	22	1	5104923	5106791	LOC124908475	rRNA
LOC124908514	XR_007090872.1	22	1	5107867	5108019	LOC124908514	rRNA
LOC124908501	XR_007090859.1	22	1	5109193	5114263	LOC124908501	rRNA
LOC124908476	XR_007090834.1	22	1	5148299	5150167	LOC124908476	rRNA
LOC124908515	XR_007090873.1	22	1	5151243	5151395	LOC124908515	rRNA
LOC124908502	XR_007090860.1	22	1	5152569	5157639	LOC124908502	rRNA
LOC124908477	XR_007090835.1	22	1	5191675	5193543	LOC124908477	rRNA
LOC124908516	XR_007090874.1	22	1	5194619	5194771	LOC124908516	rRNA
LOC124908503	XR_007090861.1	22	1	5195945	5201015	LOC124908503	rRNA
LOC124908395	XR_007090411.1	22	1	5201912	5204048	LOC124908395	lnc_RNA
LOC124908395	XR_007090410.1	22	1	5202029	5204270	LOC124908395	lnc_RNA
LOC124908478	XR_007090836.1	22	1	5235051	5236919	LOC124908478	rRNA
LOC124908517	XR_007090875.1	22	1	5237995	5238147	LOC124908517	rRNA
LOC124908505	XR_007090863.1	22	1	5239321	5244391	LOC124908505	rRNA
LOC124908479	XR_007090837.1	22	1	5278427	5280295	LOC124908479	rRNA
LOC124908518	XR_007090876.1	22	1	5281371	5281523	LOC124908518	rRNA
LOC124908506	XR_007090864.1	22	1	5282697	5287767	LOC124908506	rRNA
LOC124908480	XR_007090838.1	22	1	5321803	5323671	LOC124908480	rRNA
LOC124908519	XR_007090877.1	22	1	5324747	5324899	LOC124908519	rRNA
LOC124908507	XR_007090865.1	22	1	5326073	5331143	LOC124908507	rRNA
LOC124908481	XR_007090839.1	22	1	5365179	5367047	LOC124908481	rRNA
LOC124908520	XR_007090878.1	22	1	5368123	5368275	LOC124908520	rRNA
LOC124908508	XR_007090866.1	22	1	5369449	5374519	LOC124908508	rRNA
LOC124908482	XR_007090840.1	22	1	5408555	5410423	LOC124908482	rRNA
LOC124908521	XR_007090879.1	22	1	5411499	5411651	LOC124908521	rRNA
LOC124908509	XR_007090867.1	22	1	5412825	5417895	LOC124908509	rRNA
LOC124908483	XR_007090841.1	22	1	5451931	5453799	LOC124908483	rRNA
LOC124908522	XR_007090880.1	22	1	5454875	5455027	LOC124908522	rRNA
LOC124908510	XR_007090868.1	22	1	5456201	5461271	LOC124908510	rRNA
LOC124908401	XR_007090421.1	22	1	5461821	5468602	LOC124908401	lnc_RNA
LOC124908484	XR_007090842.1	22	1	5495307	5497175	LOC124908484	rRNA
LOC124908523	XR_007090881.1	22	1	5498251	5498403	LOC124908523	rRNA
LOC124908511	XR_007090869.1	22	1	5499577	5504647	LOC124908511	rRNA
LOC124908397	XR_007090415.1	22	1	5505197	5510570	LOC124908397	lnc_RNA
LOC124908485	XR_007090843.1	22	1	5538661	5540529	LOC124908485	rRNA
LOC124908524	XR_007090882.1	22	1	5541605	5541757	LOC124908524	rRNA
LOC124908493	XR_007090851.1	22	1	5542931	5548001	LOC124908493	rRNA
LOC124908399	XR_007090417.1	22	1	5549793	5552026	LOC124908399	lnc_RNA
LOC124908403	XR_007090423.1	22	1	5552354	5555501	LOC124908403	lnc_RNA
LOC124908525	XR_007090883.1	22	1	5585684	5585836	LOC124908525	rRNA
LOC124908492	XR_007090850.1	22	1	5587010	5592071	LOC124908492	rRNA
RNA18SN4	NR_146119.1	22	1	5627359	5629227	RNA18SN4	rRNA
RNA5-8SN5	NR_003285.3	22	1	5630294	5630450	RNA5-8SN5	rRNA
LOC124908490	XR_007090848.1	22	1	5631621	5636656	LOC124908490	rRNA
LOC124908430	XR_009530058.1	22	-1	5666621	5672684	LOC124908430	lnc_RNA
LOC124908488	XR_007090846.1	22	1	5672659	5674527	LOC124908488	rRNA
LOC124908527	XR_007090885.1	22	1	5675596	5675748	LOC124908527	rRNA
LOC124908491	XR_007090849.1	22	1	5676922	5681977	LOC124908491	rRNA
LOC124908402	XR_007090422.1	22	1	5684466	5685982	LOC124908402	lnc_RNA
LOC124908489	XR_007090847.1	22	1	5717997	5719865	LOC124908489	rRNA
LOC128966690	XR_009530057.1	22	-1	5800962	5802101	LOC128966690	transcript
LOC128966658	XR_008485441.1	22	-1	5853975	5862417	LOC128966658	lnc_RNA
LOC124908433	XM_047447056.1	22	-1	6418343	6421292	LOC124908433	mRNA
LOC124908448	XR_007090770.1	22	1	6555258	6557176	LOC124908448	lnc_RNA
LOC124908434	XM_047447057.1	22	1	6557222	6597713	LOC124908434	mRNA
LOC124908447	XR_007090769.1	22	1	6573865	6576207	LOC124908447	lnc_RNA
LOC124908446	XR_007090767.1	22	1	6578820	6588148	LOC124908446	lnc_RNA
LOC124908446	XR_007090768.1	22	1	6578820	6587830	LOC124908446	lnc_RNA
LOC124908444	XM_047447059.1	22	-1	6602755	6621394	LOC124908444	mRNA
LOC124908445	XM_047447060.1	22	-1	6619682	6640855	LOC124908445	mRNA
LOC128966699	XR_008485442.1	22	1	7584681	7591788	LOC128966699	lnc_RNA
LOC102723769	NR_110761.1	22	1	7599766	7670883	LOC102723769	lnc_RNA
LOC124908450	XR_007090774.1	22	-1	7634876	7682115	LOC124908450	lnc_RNA
LOC124908450	XR_007090773.1	22	-1	7635011	7682115	LOC124908450	lnc_RNA
LOC124908450	XR_007090771.1	22	-1	7673577	7681991	LOC124908450	lnc_RNA
LOC124908450	XR_007090772.1	22	-1	7676338	7681991	LOC124908450	lnc_RNA
LOC124908464	XR_007090809.1	22	1	9125502	9130173	LOC124908464	lnc_RNA
LOC124908465	XR_007090810.1	22	1	9169863	9170469	LOC124908465	lnc_RNA
LOC124908468	XR_007090815.1	22	1	9222231	9250874	LOC124908468	lnc_RNA
LOC107987323	XR_007090755.1	22	-1	9871356	9876623	LOC107987323	lnc_RNA
LOC124908439	XR_007090761.1	22	1	10500819	10586611	LOC124908439	lnc_RNA
LOC124908439	XR_007090762.1	22	1	10500819	10582368	LOC124908439	lnc_RNA
LOC124908439	XR_007090758.1	22	1	10500819	10543683	LOC124908439	lnc_RNA
LOC124908439	XR_007090759.1	22	1	10500819	10509425	LOC124908439	lnc_RNA
LOC124908439	XR_007090760.1	22	1	10500819	10509403	LOC124908439	lnc_RNA
LOC124908438	XR_007090756.1	22	-1	10564036	10582916	LOC124908438	lnc_RNA
LOC124908438	XR_007090757.1	22	-1	10564036	10582916	LOC124908438	lnc_RNA
LOC124908441	XR_007090764.1	22	-1	10665173	10712143	LOC124908441	lnc_RNA
LOC124908441	XR_007090763.1	22	-1	10705876	10712143	LOC124908441	lnc_RNA
LOC124908442	XR_007090765.1	22	1	10707871	10710285	LOC124908442	lnc_RNA
LOC124908443	XR_007090766.1	22	-1	10996659	10999063	LOC124908443	lnc_RNA
LOC124908467	XR_007090812.1	22	1	11099957	11153737	LOC124908467	transcript
LOC124908467	XR_007090813.1	22	1	11099961	11157306	LOC124908467	transcript
LOC124908467	XM_047447084.1	22	1	11099961	11157306	LOC124908467	mRNA
LOC105379418	XR_007090814.1	22	-1	11152092	11190519	LOC105379418	lnc_RNA
LOC124908528	XR_007090886.1	22	-1	12557504	12557654	LOC124908528	rRNA
LOC124908466	XM_047447083.1	22	-1	12671079	12673092	LOC124908466	mRNA
FRG1FP	NR_132320.1	22	-1	12704650	12725582	FRG1FP	transcript
LOC124905168	XR_007090887.1	22	1	15848944	15849050	LOC124905168	snRNA
OR11H1	NM_001005239.2	22	1	16102207	16103154	OR11H1	mRNA
POTEH	NM_001136213.1	22	1	16263953	16295528	POTEH	mRNA
POTEH-AS1	NR_046571.1	22	-1	16274290	16277258	POTEH-AS1	lnc_RNA
PSLNR	NR_132385.2	22	1	16314791	16352180	PSLNR	lnc_RNA
DUXAP8	NR_122113.1	22	1	16358848	16401349	DUXAP8	transcript
BMS1P22	NR_133911.1	22	-1	16379604	16394790	BMS1P22	transcript
LOC124905169	XR_007090888.1	22	1	16717916	16718021	LOC124905169	snRNA
CCT8L2	NM_014406.5	22	-1	17267300	17269359	CCT8L2	mRNA
TPTEP1	NR_001591.1	22	1	17278454	17325406	TPTEP1	transcript
ANKRD62P1-PARP4P3	NR_040115.1	22	-1	17330281	17352093	ANKRD62P1-PARP4P3	transcript
LINC01665	NR_134584.1	22	-1	17423569	17425137	LINC01665	lnc_RNA
XKR3	NM_001386956.1	22	-1	17460159	17502102	XKR3	mRNA
XKR3	NM_001386957.1	22	-1	17460159	17502102	XKR3	mRNA
XKR3	NM_001386955.1	22	-1	17460159	17502102	XKR3	mRNA
XKR3	NM_175878.5	22	-1	17460159	17498391	XKR3	mRNA
XKR3	NM_001318251.3	22	-1	17460159	17498391	XKR3	mRNA
XKR3	XM_054325121.1	22	-1	17460159	17478184	XKR3	mRNA
HSFY1P1	NR_003607.1	22	1	17504161	17506023	HSFY1P1	transcript
GAB4	NR_159481.1	22	-1	17638610	17684901	GAB4	transcript
GAB4	NM_001366857.1	22	-1	17638610	17684901	GAB4	mRNA
GAB4	NM_001037814.1	22	-1	17638610	17684901	GAB4	mRNA
CECR7	NR_015352.2	22	1	17713261	17736791	CECR7	lnc_RNA
CECR7	NR_152825.1	22	1	17713261	17736791	CECR7	lnc_RNA
CECR7	NR_152826.1	22	1	17713261	17736791	CECR7	lnc_RNA
IL17RA	NM_014339.7	22	1	17761784	17792571	IL17RA	mRNA
IL17RA	NM_001289905.2	22	1	17761784	17792571	IL17RA	mRNA
TMEM121B	NM_001163079.2	22	-1	17793180	17798243	TMEM121B	mRNA
TMEM121B	NM_031890.4	22	-1	17793180	17798243	TMEM121B	mRNA
TMEM121B	XM_054325561.1	22	-1	17793182	17798128	TMEM121B	mRNA
LINC01664	NR_103793.1	22	1	17798478	17809002	LINC01664	lnc_RNA
HDHD5	NM_017829.6	22	-1	17814107	17841872	HDHD5	mRNA
HDHD5	XM_054325562.1	22	-1	17814107	17835857	HDHD5	mRNA
HDHD5	NM_033070.3	22	-1	17814107	17835857	HDHD5	mRNA
HDHD5	XM_054325563.1	22	-1	17814107	17835624	HDHD5	mRNA
HDHD5	XM_054325564.1	22	-1	17814107	17825125	HDHD5	mRNA
HDHD5	XM_054325566.1	22	-1	17814107	17818756	HDHD5	mRNA
HDHD5	XM_054325565.1	22	-1	17818316	17835857	HDHD5	mRNA
HDHD5-AS1	NR_024483.1	22	1	17835971	17842030	HDHD5-AS1	lnc_RNA
HDHD5-AS1	NR_024482.1	22	1	17835971	17842030	HDHD5-AS1	lnc_RNA
ADA2	XM_054325692.1	22	-1	17855301	17898324	ADA2	mRNA
ADA2	NM_001282227.2	22	-1	17855301	17898317	ADA2	mRNA
ADA2	NM_001282229.2	22	-1	17855301	17895904	ADA2	mRNA
ADA2	NM_001282228.2	22	-1	17855301	17895904	ADA2	mRNA
ADA2	NM_001282226.2	22	-1	17855301	17895904	ADA2	mRNA
ADA2	NM_001282225.2	22	-1	17855301	17895904	ADA2	mRNA
ADA2	XM_054325694.1	22	-1	17855301	17883760	ADA2	mRNA
ADA2	NM_177405.3	22	-1	17855301	17876147	ADA2	mRNA
ADA2	XM_054325693.1	22	-1	17868167	17895904	ADA2	mRNA
LOC107985573	XR_007090424.1	22	-1	17874553	17876034	LOC107985573	lnc_RNA
CECR3	NR_038398.2	22	-1	17933325	17943191	CECR3	lnc_RNA
CECR2	NM_001290046.2	22	1	18027656	18225897	CECR2	mRNA
CECR2	XR_008485385.1	22	1	18037176	18208173	CECR2	transcript
CECR2	XR_008485386.1	22	1	18037176	18208172	CECR2	transcript
CECR2	NM_001290047.2	22	1	18037176	18225897	CECR2	mRNA
CECR2	XM_054325567.1	22	1	18037176	18225897	CECR2	mRNA
CECR2	XM_054325571.1	22	1	18037176	18225897	CECR2	mRNA
CECR2	XM_054325569.1	22	1	18037176	18225897	CECR2	mRNA
CECR2	XM_054325574.1	22	1	18037176	18225897	CECR2	mRNA
CECR2	XM_054325568.1	22	1	18037176	18225897	CECR2	mRNA
CECR2	XM_054325573.1	22	1	18037176	18225897	CECR2	mRNA
CECR2	XM_054325572.1	22	1	18037176	18225897	CECR2	mRNA
CECR2	XM_054325570.1	22	1	18136333	18225897	CECR2	mRNA
CECR2	XM_054325575.1	22	1	18136334	18225897	CECR2	mRNA
CECR2	XM_054325576.1	22	1	18206902	18225897	CECR2	mRNA
SLC25A18	NM_031481.3	22	1	18231243	18258739	SLC25A18	mRNA
SLC25A18	NM_001303484.2	22	1	18231243	18258739	SLC25A18	mRNA
LOC105372850	XR_007090425.1	22	-1	18231371	18237897	LOC105372850	lnc_RNA
LOC101929372	NR_171783.1	22	-1	18247899	18256936	LOC101929372	lnc_RNA
ATP6V1E1	NM_001039366.1	22	-1	18259880	18296566	ATP6V1E1	mRNA
ATP6V1E1	NM_001039367.1	22	-1	18259880	18296566	ATP6V1E1	mRNA
ATP6V1E1	NM_001696.4	22	-1	18259880	18296493	ATP6V1E1	mRNA
BCL2L13	XM_054325435.1	22	1	18296592	18398588	BCL2L13	mRNA
BCL2L13	XM_054325445.1	22	1	18296593	18363948	BCL2L13	mRNA
BCL2L13	XM_054325437.1	22	1	18296597	18398588	BCL2L13	mRNA
BCL2L13	XM_054325438.1	22	1	18296597	18398588	BCL2L13	mRNA
BCL2L13	XM_054325442.1	22	1	18296597	18398588	BCL2L13	mRNA
BCL2L13	XM_054325444.1	22	1	18296597	18370166	BCL2L13	mRNA
BCL2L13	XM_054325443.1	22	1	18296597	18361069	BCL2L13	mRNA
BCL2L13	XM_054325436.1	22	1	18296624	18398588	BCL2L13	mRNA
BCL2L13	XM_054325441.1	22	1	18296665	18370166	BCL2L13	mRNA
BCL2L13	NM_001270726.1	22	1	18306342	18398588	BCL2L13	mRNA
BCL2L13	NM_001270727.1	22	1	18306342	18398588	BCL2L13	mRNA
BCL2L13	NM_001363824.1	22	1	18306342	18371522	BCL2L13	mRNA
BCL2L13	NM_015367.4	22	1	18306515	18398588	BCL2L13	mRNA
BCL2L13	NM_001270731.2	22	1	18306515	18398588	BCL2L13	mRNA
BCL2L13	NM_001270734.2	22	1	18306515	18398588	BCL2L13	mRNA
BCL2L13	NM_001270729.2	22	1	18306515	18398588	BCL2L13	mRNA
BCL2L13	NM_001270732.2	22	1	18306515	18398588	BCL2L13	mRNA
BCL2L13	NM_001270735.2	22	1	18306515	18398588	BCL2L13	mRNA
BCL2L13	NM_001270728.2	22	1	18306515	18398588	BCL2L13	mRNA
BCL2L13	NM_001270730.2	22	1	18306515	18398588	BCL2L13	mRNA
BCL2L13	NR_073068.1	22	1	18323418	18398588	BCL2L13	transcript
BCL2L13	NR_073069.1	22	1	18323418	18398588	BCL2L13	transcript
BCL2L13	XM_054325439.1	22	1	18323418	18398588	BCL2L13	mRNA
BCL2L13	XM_054325440.1	22	1	18323418	18398588	BCL2L13	mRNA
BCL2L13	NM_001270733.2	22	1	18374520	18398588	BCL2L13	mRNA
BID	NM_001196.4	22	-1	18401873	18442154	BID	mRNA
BID	NM_197966.3	22	-1	18401873	18441668	BID	mRNA
BID	NM_001244567.1	22	-1	18401875	18442340	BID	mRNA
BID	NM_001244570.1	22	-1	18401875	18442180	BID	mRNA
BID	NM_197967.2	22	-1	18401875	18442180	BID	mRNA
BID	NM_001244569.1	22	-1	18401875	18442180	BID	mRNA
BID	NM_001244572.1	22	-1	18401875	18441727	BID	mRNA
MIR3198-1	NR_036168.1	22	-1	18431864	18431943	MIR3198-1	primary_transcript
MIR3198-1	unassigned_transcript_3594	22	-1	18431874	18431895	MIR3198-1	miRNA
LINC00528	NR_103718.1	22	1	18444966	18447157	LINC00528	lnc_RNA
MICAL3	NM_015241.3	22	-1	18455325	18695978	MICAL3	mRNA
MICAL3	NM_001122731.2	22	-1	18502011	18578305	MICAL3	mRNA
MICAL3	NM_001136004.3	22	-1	18527826	18578305	MICAL3	mRNA
LOC124905075	XR_007090426.1	22	1	18534417	18534983	LOC124905075	lnc_RNA
MIR648	NR_030378.1	22	-1	18652266	18652359	MIR648	primary_transcript
MIR648	unassigned_transcript_3595	22	-1	18652326	18652344	MIR648	miRNA
LINC01634	NR_024417.1	22	1	18700802	18709398	LINC01634	lnc_RNA
LOC124908404	XR_007090427.1	22	1	18727761	18734661	LOC124908404	lnc_RNA
PEX26	NM_001127649.3	22	1	18749413	18776925	PEX26	mRNA
PEX26	NM_017929.6	22	1	18749413	18776925	PEX26	mRNA
PEX26	NM_001199319.2	22	1	18749413	18776925	PEX26	mRNA
TUBA8	NM_018943.3	22	1	18782719	18803642	TUBA8	mRNA
TUBA8	NM_001193414.2	22	1	18782719	18803642	TUBA8	mRNA
USP18	NM_017414.4	22	1	18822080	18849307	USP18	mRNA
USP18	XM_054325052.1	22	1	18829683	18849307	USP18	mRNA
FAM230D	NR_136570.2	22	-1	18849936	18878111	FAM230D	lnc_RNA
LOC105372858	XR_007090428.1	22	1	18881524	18884293	LOC105372858	lnc_RNA
LOC105379518	XR_007090431.1	22	1	18905205	18907598	LOC105379518	lnc_RNA
LOC105379518	XR_007090430.1	22	1	18906081	18907598	LOC105379518	lnc_RNA
FAM230F	NR_136571.2	22	1	18909380	18934658	FAM230F	lnc_RNA
FAM230F	NR_165500.3	22	1	18910209	18934658	FAM230F	lnc_RNA
FAM230E	NR_165635.1	22	1	18910225	19131343	FAM230E	lnc_RNA
FAM230E	NR_136561.2	22	1	18910225	18934657	FAM230E	lnc_RNA
FAM230F	NR_165501.3	22	1	18910236	18934658	FAM230F	lnc_RNA
LOC128966677	XM_054326258.1	22	-1	18938638	18947943	LOC128966677	mRNA
LOC128966677	XM_054326257.1	22	-1	18938638	18947193	LOC128966677	mRNA
LOC128966677	XM_054326259.1	22	-1	18938638	18947185	LOC128966677	mRNA
LOC102724751	NR_171775.2	22	1	18941058	18947410	LOC102724751	transcript
LOC128966641	XM_054326255.1	22	-1	18943833	18953248	LOC128966641	mRNA
GGTLC3	NM_001355479.1	22	1	19025865	19027668	GGTLC3	mRNA
FAM247B	NR_186690.1	22	1	19031588	19042798	FAM247B	lnc_RNA
LOC128966590	XM_054326256.1	22	-1	19043428	19067393	LOC128966590	mRNA
LOC128966691	XM_054326260.1	22	-1	19049551	19050544	LOC128966691	mRNA
FAM230J	NR_136569.2	22	1	19105022	19131344	FAM230J	lnc_RNA
GGT3P	NR_003267.1	22	-1	19147114	19165401	GGT3P	transcript
POM121L15P	NR_170942.1	22	1	19221344	19236119	POM121L15P	transcript
LOC102724728	NR_136575.1	22	1	19221606	19223487	LOC102724728	transcript
POM121L15P	NR_135922.1	22	1	19225174	19236119	POM121L15P	transcript
LOC128966596	XM_054326262.1	22	-1	19240098	19272121	LOC128966596	mRNA
LOC128966596	XM_054326261.1	22	-1	19240098	19268132	LOC128966596	mRNA
LOC128966692	XM_054326264.1	22	-1	19246089	19247250	LOC128966692	mRNA
LOC128966596	XM_054326263.1	22	-1	19247625	19268132	LOC128966596	mRNA
DGCR6	XM_054325952.1	22	1	19281581	19285629	DGCR6	mRNA
DGCR6	NM_005675.6	22	1	19281678	19287480	DGCR6	mRNA
DGCR6	XM_054325953.1	22	1	19281997	19287480	DGCR6	mRNA
PRODH	NM_001195226.2	22	-1	19288173	19311947	PRODH	mRNA
PRODH	NM_001368250.2	22	-1	19288173	19311682	PRODH	mRNA
PRODH	NM_016335.6	22	-1	19288173	19311682	PRODH	mRNA
LOC122455341	NR_173080.2	22	1	19311817	19323157	LOC122455341	lnc_RNA
LOC122455341	NR_173081.1	22	1	19314863	19323091	LOC122455341	lnc_RNA
DGCR5	NR_110533.2	22	1	19345862	19406582	DGCR5	lnc_RNA
DGCR5	NR_026651.2	22	1	19345862	19398928	DGCR5	lnc_RNA
DGCR5	NR_024159.2	22	1	19345862	19395697	DGCR5	lnc_RNA
DGCR5	NR_002733.3	22	1	19345862	19370024	DGCR5	lnc_RNA
DGCR5	NR_045121.2	22	1	19345862	19370024	DGCR5	lnc_RNA
FAM246C	NR_173148.1	22	1	19404891	19405586	FAM246C	transcript
FAM246C	NM_001396027.1	22	1	19404891	19405586	FAM246C	mRNA
DGCR2	NR_033674.2	22	-1	19411609	19497031	DGCR2	transcript
DGCR2	NM_001173534.2	22	-1	19411609	19497031	DGCR2	mRNA
DGCR2	NM_001173533.2	22	-1	19411609	19497031	DGCR2	mRNA
DGCR2	NM_001184781.2	22	-1	19411609	19497031	DGCR2	mRNA
DGCR2	NM_005137.3	22	-1	19411609	19497031	DGCR2	mRNA
DGCR11	NR_024157.1	22	-1	19421486	19423698	DGCR11	lnc_RNA
ESS2	NR_134304.2	22	-1	19504893	19519192	ESS2	transcript
ESS2	NM_022719.3	22	-1	19504893	19519192	ESS2	mRNA
ESS2	XM_054325973.1	22	-1	19504893	19519192	ESS2	mRNA
ESS2	XM_054325974.1	22	-1	19504893	19519033	ESS2	mRNA
TSSK2	NM_053006.5	22	1	19505922	19507236	TSSK2	mRNA
ESS2	XM_054325977.1	22	-1	19511868	19519192	ESS2	mRNA
ESS2	XM_054325976.1	22	-1	19511868	19519192	ESS2	mRNA
ESS2	XM_054325975.1	22	-1	19512863	19519192	ESS2	mRNA
GSC2	NM_005315.2	22	-1	19521533	19524832	GSC2	mRNA
LINC01311	NR_103767.1	22	1	19547639	19548765	LINC01311	lnc_RNA
SLC25A1	NR_046298.3	22	-1	19551495	19554686	SLC25A1	transcript
SLC25A1	NM_005984.5	22	-1	19551495	19554686	SLC25A1	mRNA
SLC25A1	NM_001287387.2	22	-1	19551495	19554455	SLC25A1	mRNA
SLC25A1	NM_001256534.2	22	-1	19551495	19554455	SLC25A1	mRNA
CLTCL1	XM_054325964.1	22	-1	19555423	19668426	CLTCL1	mRNA
CLTCL1	XM_054325962.1	22	-1	19555423	19668426	CLTCL1	mRNA
CLTCL1	XM_054325955.1	22	-1	19555423	19668426	CLTCL1	mRNA
CLTCL1	XM_054325965.1	22	-1	19555423	19668426	CLTCL1	mRNA
CLTCL1	XM_054325963.1	22	-1	19555423	19668426	CLTCL1	mRNA
