LINC01986	NR_110824.1	3	1	3392	16126	LINC01986	lnc_RNA
CNTN6	NM_001349352.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349358.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349350.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349355.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349353.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001289080.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349356.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349360.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349357.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001289081.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349359.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	XM_054346188.1	3	1	1086756	1368030	CNTN6	mRNA
CNTN6	XM_054346187.1	3	1	1086756	1354805	CNTN6	mRNA
CNTN6	XM_054346184.1	3	1	1086839	1398549	CNTN6	mRNA
CNTN6	XM_054346181.1	3	1	1127174	1398549	CNTN6	mRNA
CNTN6	XM_054346186.1	3	1	1142192	1398549	CNTN6	mRNA
LOC105376924	XR_007073124.1	3	1	1157353	1171614	LOC105376924	lnc_RNA
LOC105376923	XR_007073123.1	3	-1	1176623	1188749	LOC105376923	lnc_RNA
CNTN6	XM_054346185.1	3	1	1197657	1398549	CNTN6	mRNA
CNTN4	XM_054345401.1	3	1	2092772	3052283	CNTN4	mRNA
CNTN4	NM_001350095.2	3	1	2092772	3052283	CNTN4	mRNA
CNTN4	XM_054345417.1	3	1	2092772	3052283	CNTN4	mRNA
CNTN4	XM_054345402.1	3	1	2092772	3052283	CNTN4	mRNA
CNTN4	NM_175607.3	3	1	2092772	3052283	CNTN4	mRNA
CNTN4	XM_054345416.1	3	1	2092772	3052283	CNTN4	mRNA
CNTN4	XM_054345400.1	3	1	2092772	3052283	CNTN4	mRNA
CNTN4	XM_054345399.1	3	1	2092772	3052283	CNTN4	mRNA
CNTN4	XM_054345420.1	3	1	2092772	3052283	CNTN4	mRNA
CNTN4	XM_054345406.1	3	1	2093587	3052283	CNTN4	mRNA
CNTN4-AS2	NR_046555.1	3	-1	2104313	2138119	CNTN4-AS2	lnc_RNA
CNTN4	XM_054345410.1	3	1	2119243	3052283	CNTN4	mRNA
CNTN4	XM_054345412.1	3	1	2119243	3052283	CNTN4	mRNA
CNTN4	XM_054345413.1	3	1	2119243	3052283	CNTN4	mRNA
CNTN4	XM_054345407.1	3	1	2150653	3052283	CNTN4	mRNA
CNTN4	XM_054345409.1	3	1	2150653	3052283	CNTN4	mRNA
CNTN4	XM_054345408.1	3	1	2150653	3052283	CNTN4	mRNA
CNTN4	XM_054345411.1	3	1	2150653	3052283	CNTN4	mRNA
CNTN4	NM_001206955.2	3	1	2232729	3052283	CNTN4	mRNA
CNTN4	XM_054345405.1	3	1	2312720	3052283	CNTN4	mRNA
CNTN4	XM_054345414.1	3	1	2319251	3052283	CNTN4	mRNA
CNTN4	XM_054345423.1	3	1	2333051	3031651	CNTN4	mRNA
CNTN4	XM_054345404.1	3	1	2501407	3052283	CNTN4	mRNA
CNTN4	XM_054345419.1	3	1	2501407	3052283	CNTN4	mRNA
CNTN4	XM_054345403.1	3	1	2501407	3052283	CNTN4	mRNA
CNTN4	XM_054345418.1	3	1	2501407	3052283	CNTN4	mRNA
CNTN4	XM_054345415.1	3	1	2535863	3052283	CNTN4	mRNA
CNTN4	XM_054345421.1	3	1	2646648	3052283	CNTN4	mRNA
LOC105376926	XR_007073268.1	3	-1	2806953	2845850	LOC105376926	lnc_RNA
CNTN4	XM_054345422.1	3	1	2860423	3052283	CNTN4	mRNA
CNTN4	NM_175613.3	3	1	2886217	3052283	CNTN4	mRNA
CNTN4	NM_001206956.2	3	1	2886217	3052283	CNTN4	mRNA
CNTN4-AS1	NR_046554.1	3	-1	3033976	3055464	CNTN4-AS1	lnc_RNA
IL5RA	XM_054346456.1	3	-1	3060643	3104729	IL5RA	mRNA
IL5RA	NM_001243099.2	3	-1	3060643	3104711	IL5RA	mRNA
IL5RA	NM_175726.4	3	-1	3060643	3104711	IL5RA	mRNA
IL5RA	XM_054346455.1	3	-1	3060643	3104711	IL5RA	mRNA
IL5RA	NM_000564.5	3	-1	3060643	3104711	IL5RA	mRNA
IL5RA	NM_175728.3	3	-1	3084498	3104711	IL5RA	mRNA
IL5RA	NM_175725.3	3	-1	3084498	3104711	IL5RA	mRNA
IL5RA	NM_175727.2	3	-1	3086130	3104711	IL5RA	mRNA
IL5RA	NM_175724.2	3	-1	3086130	3104711	IL5RA	mRNA
TRNT1	NR_159937.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	XR_008486721.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	XR_008486724.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	XR_008486726.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	XR_008486722.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	XR_008486725.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	XR_008486727.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	XR_008486720.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	XR_008486723.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	NR_159934.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	NR_159935.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	NR_159936.1	3	1	3121237	3147781	TRNT1	transcript
TRNT1	NR_159941.1	3	1	3121237	3143346	TRNT1	transcript
TRNT1	NR_159938.1	3	1	3121237	3143346	TRNT1	transcript
TRNT1	NR_159940.1	3	1	3121237	3143346	TRNT1	transcript
TRNT1	NR_159939.1	3	1	3121237	3143346	TRNT1	transcript
TRNT1	NR_159943.3	3	1	3121237	3124988	TRNT1	transcript
TRNT1	NR_159944.3	3	1	3121237	3124988	TRNT1	transcript
TRNT1	NR_159942.3	3	1	3121237	3124988	TRNT1	transcript
TRNT1	XM_054346717.1	3	1	3121237	3147781	TRNT1	mRNA
TRNT1	XM_054346718.1	3	1	3121237	3147781	TRNT1	mRNA
TRNT1	NM_001367321.1	3	1	3121237	3147781	TRNT1	mRNA
TRNT1	NM_001367323.1	3	1	3121237	3143346	TRNT1	mRNA
TRNT1	NM_001367322.1	3	1	3121237	3143346	TRNT1	mRNA
TRNT1	NM_182916.3	3	1	3121237	3143346	TRNT1	mRNA
TRNT1	NM_001302946.2	3	1	3121237	3143346	TRNT1	mRNA
CRBN	NM_001173482.1	3	-1	3143956	3174065	CRBN	mRNA
CRBN	XM_054346738.1	3	-1	3144334	3174039	CRBN	mRNA
CRBN	XM_054346737.1	3	-1	3144334	3174039	CRBN	mRNA
CRBN	NM_016302.4	3	-1	3144334	3174039	CRBN	mRNA
CRBN	XM_054346740.1	3	-1	3144334	3166987	CRBN	mRNA
CRBN	XM_054346739.1	3	-1	3146742	3174039	CRBN	mRNA
LOC100130207	NR_149025.1	3	-1	3696988	3797158	LOC100130207	lnc_RNA
LRRN1	NM_001324188.2	3	1	3795791	3845800	LRRN1	mRNA
LRRN1	NM_001324189.2	3	1	3795791	3845800	LRRN1	mRNA
LRRN1	NM_020873.7	3	1	3795791	3845800	LRRN1	mRNA
LRRN1	XM_054347405.1	3	1	3797544	3845800	LRRN1	mRNA
SUMF1	XM_054346329.1	3	-1	4027797	4461277	SUMF1	mRNA
SUMF1	XM_054346328.1	3	-1	4033370	4461277	SUMF1	mRNA
SUMF1	XM_054346327.1	3	-1	4033370	4461277	SUMF1	mRNA
SUMF1	XM_054346326.1	3	-1	4033370	4461277	SUMF1	mRNA
SUMF1	XR_008486702.1	3	-1	4262182	4461277	SUMF1	transcript
SUMF1	XR_008486703.1	3	-1	4276022	4461277	SUMF1	transcript
SUMF1	XM_054346332.1	3	-1	4276022	4461277	SUMF1	mRNA
SUMF1	XM_054346330.1	3	-1	4276022	4461277	SUMF1	mRNA
SETMAR	NM_006515.4	3	1	4297118	4311014	SETMAR	mRNA
SETMAR	NM_001243723.2	3	1	4297118	4311014	SETMAR	mRNA
SETMAR	NM_001320677.2	3	1	4297118	4311014	SETMAR	mRNA
SETMAR	NM_001320676.2	3	1	4297118	4311014	SETMAR	mRNA
SETMAR	XM_054347537.1	3	1	4297118	4311014	SETMAR	mRNA
SETMAR	NM_001320678.2	3	1	4297118	4311014	SETMAR	mRNA
SETMAR	XM_054347535.1	3	1	4297118	4309316	SETMAR	mRNA
SETMAR	XM_054347536.1	3	1	4297118	4309316	SETMAR	mRNA
SETMAR	NM_001276325.2	3	1	4297118	4308144	SETMAR	mRNA
SETMAR	XM_054347534.1	3	1	4297421	4311014	SETMAR	mRNA
SUMF1	XM_054346331.1	3	-1	4343740	4461277	SUMF1	mRNA
SUMF1	XM_054346333.1	3	-1	4354885	4461277	SUMF1	mRNA
SUMF1	NM_001164674.2	3	-1	4354885	4461277	SUMF1	mRNA
SUMF1	NM_001164675.2	3	-1	4354885	4461277	SUMF1	mRNA
SUMF1	NM_182760.4	3	-1	4354885	4461277	SUMF1	mRNA
SUMF1	XM_054346334.1	3	-1	4437534	4461277	SUMF1	mRNA
ITPR1-DT	NR_108075.1	3	-1	4484323	4487169	ITPR1-DT	lnc_RNA
ITPR1	NM_001378452.1	3	1	4487354	4841309	ITPR1	mRNA
ITPR1	NM_001099952.4	3	1	4487354	4841309	ITPR1	mRNA
ITPR1	NM_001168272.2	3	1	4487354	4841309	ITPR1	mRNA
ITPR1	NM_002222.7	3	1	4487354	4841309	ITPR1	mRNA
LOC105376933	XR_007073277.1	3	-1	4575943	4578242	LOC105376933	lnc_RNA
LOC105376933	XR_007073278.1	3	-1	4575943	4578067	LOC105376933	lnc_RNA
LOC124906210	XR_007073276.1	3	-1	4699116	4704244	LOC124906210	lnc_RNA
EGOT	NR_004428.1	3	-1	4743052	4745450	EGOT	lnc_RNA
LOC124906209	XR_007073269.1	3	-1	4808087	4863068	LOC124906209	lnc_RNA
LOC124906209	XR_007073274.1	3	-1	4808087	4862321	LOC124906209	lnc_RNA
LOC124906209	XR_007073275.1	3	-1	4808087	4830572	LOC124906209	lnc_RNA
LOC124906209	XR_007073273.1	3	-1	4808087	4826267	LOC124906209	lnc_RNA
LOC124906209	XR_007073272.1	3	-1	4808087	4826267	LOC124906209	lnc_RNA
LOC124906209	XR_007073271.1	3	-1	4808087	4826267	LOC124906209	lnc_RNA
LOC124906209	XR_007073270.1	3	-1	4808087	4826267	LOC124906209	lnc_RNA
LOC124906358	XR_007074181.1	3	-1	4872412	4872515	LOC124906358	snoRNA
BHLHE40-AS1	NR_125916.1	3	-1	4890629	4973743	BHLHE40-AS1	lnc_RNA
BHLHE40-AS1	NR_037903.3	3	-1	4890629	4973743	BHLHE40-AS1	lnc_RNA
BHLHE40-AS1	NR_125915.1	3	-1	4890629	4973743	BHLHE40-AS1	lnc_RNA
BHLHE40-AS1	NR_125914.1	3	-1	4890629	4900320	BHLHE40-AS1	lnc_RNA
BHLHE40	XM_054348161.1	3	1	4970406	4979102	BHLHE40	mRNA
BHLHE40	XM_054348162.1	3	1	4970406	4979102	BHLHE40	mRNA
BHLHE40	XM_054348160.1	3	1	4971357	4979102	BHLHE40	mRNA
BHLHE40	NM_003670.3	3	1	4973219	4979102	BHLHE40	mRNA
LOC124906211	XR_007073281.1	3	-1	4979388	5020890	LOC124906211	lnc_RNA
LOC124906211	XR_007073279.1	3	-1	4979388	5020849	LOC124906211	lnc_RNA
LOC124906211	XR_007073280.1	3	-1	4979388	5019553	LOC124906211	lnc_RNA
LOC124906211	XR_007073282.1	3	-1	5004501	5019553	LOC124906211	lnc_RNA
ARL8B	NM_018184.3	3	1	5116223	5174843	ARL8B	mRNA
LOC124906212	XR_007073283.1	3	1	5116526	5125316	LOC124906212	lnc_RNA
EDEM1	XR_008486860.1	3	1	5181638	5207335	EDEM1	transcript
EDEM1	XM_054348510.1	3	1	5181638	5213889	EDEM1	mRNA
EDEM1	NM_014674.3	3	1	5181638	5213889	EDEM1	mRNA
EDEM1	XM_054348508.1	3	1	5181638	5207453	EDEM1	mRNA
EDEM1	XM_054348509.1	3	1	5181638	5207339	EDEM1	mRNA
EDEM1	XM_054348512.1	3	1	5182252	5213889	EDEM1	mRNA
EDEM1	XM_054348511.1	3	1	5182252	5213889	EDEM1	mRNA
MIR4790	NR_039953.1	3	-1	5243890	5243968	MIR4790	primary_transcript
MIR4790	unassigned_transcript_663	3	-1	5243893	5243914	MIR4790	miRNA
MIR4790	unassigned_transcript_664	3	-1	5243940	5243959	MIR4790	miRNA
LOC105376936	XR_007073284.1	3	-1	5431354	5435230	LOC105376936	lnc_RNA
LOC105376939	XR_007073286.1	3	1	5678044	5694258	LOC105376939	lnc_RNA
LOC105376938	XR_007073285.1	3	-1	5684805	5693186	LOC105376938	lnc_RNA
LOC105376940	XR_007073287.1	3	1	5734343	5749705	LOC105376940	lnc_RNA
LOC105376941	XR_007073289.1	3	1	5808796	5836493	LOC105376941	lnc_RNA
LOC105376941	XR_007073290.1	3	1	5808796	5836493	LOC105376941	lnc_RNA
LOC105376941	XR_007073292.1	3	1	5808796	5836493	LOC105376941	lnc_RNA
LOC105376941	XR_007073291.1	3	1	5808796	5836493	LOC105376941	lnc_RNA
LOC102723596	XR_007073294.1	3	1	5956262	5982230	LOC102723596	lnc_RNA
LOC102723596	XR_007073293.1	3	1	5956262	5957331	LOC102723596	lnc_RNA
LOC105376942	XR_007073296.1	3	1	6061073	6211227	LOC105376942	lnc_RNA
LOC105376942	XR_007073295.1	3	1	6061073	6120952	LOC105376942	lnc_RNA
LOC105376944	NR_188700.1	3	1	6485700	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188699.1	3	1	6485700	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188696.1	3	1	6485700	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188698.1	3	1	6485700	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188697.1	3	1	6485700	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188701.1	3	1	6485700	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188709.1	3	1	6502720	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188702.1	3	1	6502720	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188711.1	3	1	6502720	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188704.1	3	1	6502720	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188706.1	3	1	6502720	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188707.1	3	1	6502720	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188705.1	3	1	6502720	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188708.1	3	1	6502720	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188703.1	3	1	6502720	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188710.1	3	1	6502720	6727327	LOC105376944	lnc_RNA
GRM7-AS3	NR_110123.1	3	-1	6622736	6796027	GRM7-AS3	lnc_RNA
LOC105376944	NR_188695.1	3	1	6685391	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188694.1	3	1	6685391	6727327	LOC105376944	lnc_RNA
LOC105376944	NR_188693.1	3	1	6685437	6727327	LOC105376944	lnc_RNA
GRM7-AS3	NR_110125.1	3	-1	6721760	6796027	GRM7-AS3	lnc_RNA
LOC105376943	XR_007073310.1	3	1	6771030	6774839	LOC105376943	lnc_RNA
LOC105376945	XR_007073312.1	3	1	6819209	6823904	LOC105376945	lnc_RNA
LOC105376945	XR_007073311.1	3	1	6819211	6838407	LOC105376945	lnc_RNA
GRM7	XR_008486710.1	3	1	6851699	7684619	GRM7	transcript
GRM7	NM_181874.3	3	1	6851699	7732437	GRM7	mRNA
GRM7	NM_000844.4	3	1	6851699	7732437	GRM7	mRNA
GRM7	XM_054346378.1	3	1	6851699	7682600	GRM7	mRNA
GRM7	XM_054346379.1	3	1	6851699	7682030	GRM7	mRNA
GRM7	XM_054346380.1	3	1	6851699	7671234	GRM7	mRNA
GRM7	XM_054346381.1	3	1	6853292	7732437	GRM7	mRNA
GRM7-AS2	NR_131906.1	3	-1	6883243	6884623	GRM7-AS2	lnc_RNA
GRM7	XM_054346383.1	3	1	7332407	7682603	GRM7	mRNA
GRM7	XM_054346382.1	3	1	7442627	7682606	GRM7	mRNA
GRM7-AS1	NR_046606.1	3	-1	7510711	7526257	GRM7-AS1	lnc_RNA
LOC101927394	NR_110131.1	3	-1	7943713	8007235	LOC101927394	lnc_RNA
LMCD1-AS1	NR_033378.1	3	-1	8212306	8492802	LMCD1-AS1	lnc_RNA
LOC107986010	XR_007073314.1	3	-1	8355103	8363472	LOC107986010	lnc_RNA
LMCD1	NM_014583.4	3	1	8492967	8566009	LMCD1	mRNA
LMCD1	NM_001278234.2	3	1	8492967	8566009	LMCD1	mRNA
LMCD1	NM_001278233.2	3	1	8492967	8566009	LMCD1	mRNA
LMCD1	NM_001278235.2	3	1	8492967	8542613	LMCD1	mRNA
LINC00312	NR_024065.3	3	1	8563123	8566009	LINC00312	lnc_RNA
LOC107986009	XR_007073313.1	3	-1	8565135	8603310	LOC107986009	lnc_RNA
SSUH2	NR_046358.3	3	-1	8610753	8636183	SSUH2	transcript
SSUH2	XM_054346694.1	3	-1	8610753	8673128	SSUH2	mRNA
SSUH2	XM_054346693.1	3	-1	8610753	8671811	SSUH2	mRNA
SSUH2	XM_054346710.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346704.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346690.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346688.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346705.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346703.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346702.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346691.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346689.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346706.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346708.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346687.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346712.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346711.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346699.1	3	-1	8610753	8670992	SSUH2	mRNA
SSUH2	XM_054346696.1	3	-1	8610753	8670931	SSUH2	mRNA
SSUH2	XM_054346692.1	3	-1	8610753	8670931	SSUH2	mRNA
SSUH2	XM_054346695.1	3	-1	8610753	8669881	SSUH2	mRNA
SSUH2	XM_054346707.1	3	-1	8610753	8645483	SSUH2	mRNA
SSUH2	XM_054346698.1	3	-1	8610753	8645470	SSUH2	mRNA
SSUH2	XM_054346701.1	3	-1	8610753	8643780	SSUH2	mRNA
SSUH2	NM_001256749.3	3	-1	8610753	8643469	SSUH2	mRNA
SSUH2	NM_015931.4	3	-1	8610753	8643469	SSUH2	mRNA
SSUH2	XM_054346709.1	3	-1	8610753	8643469	SSUH2	mRNA
SSUH2	NM_001256748.3	3	-1	8610753	8636183	SSUH2	mRNA
SSUH2	XM_054346700.1	3	-1	8610753	8636183	SSUH2	mRNA
SSUH2	XM_054346686.1	3	-1	8610753	8636183	SSUH2	mRNA
SSUH2	XM_054346697.1	3	-1	8610753	8636183	SSUH2	mRNA
SSUH2	XM_054346714.1	3	-1	8610753	8625824	SSUH2	mRNA
SSUH2	XM_054346713.1	3	-1	8610753	8625823	SSUH2	mRNA
CAV3	NM_033337.3	3	1	8724971	8737928	CAV3	mRNA
CAV3	NM_001234.5	3	1	8724971	8737928	CAV3	mRNA
OXTR	NM_001354653.2	3	-1	8741551	8760789	OXTR	mRNA
OXTR	NM_001354654.2	3	-1	8741551	8760789	OXTR	mRNA
OXTR	NM_000916.4	3	-1	8741551	8760789	OXTR	mRNA
OXTR	NM_001354655.2	3	-1	8741551	8760408	OXTR	mRNA
OXTR	NM_001354656.3	3	-1	8741551	8759907	OXTR	mRNA
LOC107986061	XR_007073315.1	3	-1	8809316	8817724	LOC107986061	lnc_RNA
LOC107984112	XR_007073317.1	3	-1	8826038	8852452	LOC107984112	lnc_RNA
LOC107984112	XR_007073316.1	3	-1	8826038	8852452	LOC107984112	lnc_RNA
RAD18	XM_054347265.1	3	-1	8868283	8960543	RAD18	mRNA
RAD18	NM_020165.4	3	-1	8868283	8954654	RAD18	mRNA
RAD18	XM_054347266.1	3	-1	8868283	8939705	RAD18	mRNA
LOC124900561	XR_007074165.1	3	1	8922669	8922806	LOC124900561	snoRNA
SRGAP3	XM_054348602.1	3	-1	8971761	9354865	SRGAP3	mRNA
SRGAP3	XM_054348606.1	3	-1	8971761	9240846	SRGAP3	mRNA
SRGAP3	XM_054348601.1	3	-1	8971761	9240846	SRGAP3	mRNA
SRGAP3	XM_054348600.1	3	-1	8971761	9240846	SRGAP3	mRNA
SRGAP3	XM_054348607.1	3	-1	8971761	9240846	SRGAP3	mRNA
SRGAP3	NM_001033117.3	3	-1	8971761	9240846	SRGAP3	mRNA
SRGAP3	XM_054348605.1	3	-1	8971761	9240846	SRGAP3	mRNA
SRGAP3	NM_014850.4	3	-1	8971761	9240846	SRGAP3	mRNA
SRGAP3	XM_054348597.1	3	-1	8971761	9240846	SRGAP3	mRNA
SRGAP3	XM_054348599.1	3	-1	8971761	9227471	SRGAP3	mRNA
SRGAP3	XM_054348598.1	3	-1	8971761	9173083	SRGAP3	mRNA
SRGAP3	XM_054348596.1	3	-1	8971761	9173082	SRGAP3	mRNA
SRGAP3	XM_054348604.1	3	-1	8971761	9173079	SRGAP3	mRNA
SRGAP3	XM_054348603.1	3	-1	8971761	9067808	SRGAP3	mRNA
SRGAP3	XM_054348608.1	3	-1	8971761	9038648	SRGAP3	mRNA
SRGAP3	XM_054348609.1	3	-1	9016435	9173079	SRGAP3	mRNA
SRGAP3-AS2	NR_121663.1	3	1	9183689	9185649	SRGAP3-AS2	lnc_RNA
SRGAP3-AS2	NR_121664.1	3	1	9183689	9185649	SRGAP3-AS2	lnc_RNA
SRGAP3-AS3	NR_103443.1	3	1	9208096	9210705	SRGAP3-AS3	lnc_RNA
SRGAP3-AS4	NR_146969.1	3	1	9240956	9248708	SRGAP3-AS4	lnc_RNA
THUMPD3	XM_054346091.1	3	1	9354825	9378730	THUMPD3	mRNA
THUMPD3	XM_054346094.1	3	1	9354977	9378730	THUMPD3	mRNA
THUMPD3	XM_054346093.1	3	1	9354988	9378730	THUMPD3	mRNA
THUMPD3	XM_054346092.1	3	1	9354994	9378730	THUMPD3	mRNA
THUMPD3	NM_015453.3	3	1	9355000	9378730	THUMPD3	mRNA
THUMPD3	XM_054346098.1	3	1	9355000	9378730	THUMPD3	mRNA
THUMPD3	NM_001114092.2	3	1	9355000	9378730	THUMPD3	mRNA
THUMPD3	XM_054346099.1	3	1	9355000	9378730	THUMPD3	mRNA
THUMPD3	XM_054346100.1	3	1	9355010	9378730	THUMPD3	mRNA
THUMPD3	XM_054346097.1	3	1	9355037	9378730	THUMPD3	mRNA
THUMPD3	XM_054346096.1	3	1	9355365	9378730	THUMPD3	mRNA
THUMPD3	XM_054346095.1	3	1	9355471	9378730	THUMPD3	mRNA
THUMPD3-AS1	NR_132781.1	3	-1	9377203	9388561	THUMPD3-AS1	lnc_RNA
THUMPD3-AS1	NR_027007.3	3	-1	9380784	9389432	THUMPD3-AS1	lnc_RNA
THUMPD3-AS1	NR_132780.1	3	-1	9380784	9389432	THUMPD3-AS1	lnc_RNA
SETD5	XM_054347108.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347114.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347125.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347115.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347124.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347121.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347133.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347135.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347143.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347107.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347118.1	3	1	9389553	9470070	SETD5	mRNA
SETD5	XM_054347127.1	3	1	9389553	9470070	SETD5	mRNA
