LOC124905300_1	XM_047442785.1_1	X	-1	103469	105172	LOC124905300
CSF2RA	NM_001379155.1	X	1	1116126	1155344	CSF2RA
CSF2RA	NM_001161529.2	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001161530.2	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001161532.2	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001379153.1	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001379154.1	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001379156.1	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001379158.1	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001379160.1	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001379166.1	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001379167.1	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001379168.1	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_001379169.1	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_006140.6	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_172245.4	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_172246.4	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_172247.3	X	1	1116126	1159654	CSF2RA
CSF2RA	NM_172249.4	X	1	1116126	1159654	CSF2RA
CSF2RA	NR_027760.3	X	1	1116126	1159654	CSF2RA
CSF2RA	XM_047441849.1	X	1	1116126	1172254	CSF2RA
CSF2RA	XM_047441845.1	X	1	1116126	1172431	CSF2RA
CSF2RA	XM_047441846.1	X	1	1116126	1172431	CSF2RA
CSF2RA	XM_047441847.1	X	1	1116126	1172431	CSF2RA
CSF2RA	NM_001379161.1	X	1	1116126	1172713	CSF2RA
CSF2RA	NM_001379164.1	X	1	1116126	1172713	CSF2RA
CSF2RA	NM_001379165.1	X	1	1116126	1172713	CSF2RA
CSF2RA	XM_011546167.3	X	1	1116126	1172713	CSF2RA
CSF2RA	XM_011546174.4	X	1	1116126	1172713	CSF2RA
CSF2RA	XM_047441850.1	X	1	1116126	1172713	CSF2RA
CSF2RA	XM_047441853.1	X	1	1116126	1172713	CSF2RA
CSF2RA	NM_001379159.1	X	1	1116126	1174802	CSF2RA
CSF2RA	NM_001379162.1	X	1	1116126	1174802	CSF2RA
CSF2RA	NM_001379163.1	X	1	1116126	1174802	CSF2RA
CSF2RA	XM_011546175.3	X	1	1116126	1174802	CSF2RA
CSF2RA	XM_047441851.1	X	1	1116126	1174802	CSF2RA
CSF2RA	XM_047441848.1	X	1	1131418	1172431	CSF2RA
CSF2RA	XM_047441852.1	X	1	1131985	1172435	CSF2RA
LOC124905238	XR_007068370.1	X	-1	1142667	1143119	LOC124905238
MIR3690_1	NR_037461.1_1	X	1	1142736	1142810	MIR3690
MIR3690_1	unassigned_transcript_3697_1	X	1	1142745	1142767	MIR3690
MIR3690	NR_037461.1	X	1	1143039	1143113	MIR3690
MIR3690	unassigned_transcript_3697	X	1	1143048	1143070	MIR3690
IL3RA	NM_001267713.2	X	1	1187106	1226335	IL3RA
IL3RA	NM_002183.4	X	1	1187106	1226335	IL3RA
IL3RA	XM_005274431.6	X	1	1187106	1226335	IL3RA
IL3RA	XM_005274432.2	X	1	1187106	1226335	IL3RA
IL3RA	XM_017029491.3	X	1	1187106	1226335	IL3RA
LOC101928032	XR_007068376.1	X	-1	1187595	1222132	LOC101928032
LOC101928032	XR_001755760.3	X	-1	1188017	1209811	LOC101928032
LOC101928032	XR_001755761.2	X	-1	1188017	1209811	LOC101928032
LOC101928032	XR_001755748.2	X	-1	1188017	1222132	LOC101928032
LOC101928032	XR_001755749.2	X	-1	1188017	1222132	LOC101928032
LOC101928032	XR_001755753.2	X	-1	1188017	1222132	LOC101928032
LOC101928032	XR_001755757.2	X	-1	1188017	1222132	LOC101928032
LOC101928032	XR_001755758.2	X	-1	1188017	1222132	LOC101928032
LOC101928032	XR_001755759.2	X	-1	1188017	1222132	LOC101928032
LOC101928032	XR_007068371.1	X	-1	1188017	1222132	LOC101928032
LOC101928032	XR_007068372.1	X	-1	1188017	1222132	LOC101928032
LOC101928032	XR_007068373.1	X	-1	1188017	1222132	LOC101928032
LOC101928032	XR_007068374.1	X	-1	1188017	1222132	LOC101928032
LOC101928032	XR_007068375.1	X	-1	1188017	1222132	LOC101928032
IL3RA	XM_047442090.1	X	1	1191900	1226335	IL3RA
IL3RA	XM_047442091.1	X	1	1191900	1226335	IL3RA
LOC101928032	XR_001755754.2	X	-1	1200348	1222132	LOC101928032
LOC101928032	XR_001755750.2	X	-1	1201093	1222132	LOC101928032
LOC101928032	XR_007068377.1	X	-1	1201093	1222132	LOC101928032
LOC101928032	XR_001755751.1	X	-1	1201479	1222132	LOC101928032
SLC25A6	NM_001636.4	X	-1	1229798	1235760	SLC25A6
LOC124900597	XM_011546186.2	X	1	1235655	1242511	LOC124900597
LINC00106	NR_130733.1	X	1	1240675	1243062	LINC00106
ASMTL-AS1	NR_026710.1	X	1	1244177	1255180	ASMTL-AS1
ASMTL-AS1	NR_026711.1	X	1	1244177	1257037	ASMTL-AS1
ASMTL	XM_011546185.2	X	-1	1246707	1278310	ASMTL
ASMTL	XM_017029919.3	X	-1	1246707	1281653	ASMTL
ASMTL	NM_001173474.2	X	-1	1246707	1294817	ASMTL
ASMTL	NM_004192.4	X	-1	1246707	1294817	ASMTL
ASMTL	XM_047442603.1	X	-1	1246707	1294817	ASMTL
ASMTL	NM_001173473.2	X	-1	1246707	1295665	ASMTL
ASMTL	XM_005274434.4	X	-1	1246707	1295665	ASMTL
ASMTL	XM_047442602.1	X	-1	1246707	1295665	ASMTL
P2RY8	XM_005274429.4	X	-1	1304499	1307344	P2RY8
P2RY8	XM_011546179.3	X	-1	1304499	1307344	P2RY8
P2RY8	XM_047442031.1	X	-1	1304499	1307344	P2RY8
P2RY8	NM_178129.5	X	-1	1304499	1338509	P2RY8
P2RY8	XM_006724443.4	X	-1	1304499	1338509	P2RY8
AKAP17A	NM_005088.3	X	1	1393022	1403889	AKAP17A
AKAP17A	NR_027383.2	X	1	1393022	1403889	AKAP17A
ASMT	NM_004043.3	X	1	1396845	1441907	ASMT
ASMT	NM_001171038.2	X	1	1416353	1441907	ASMT
ASMT	NM_001171039.1	X	1	1416427	1441907	ASMT
LINC02968	XR_001755766.2	X	1	1529195	1552835	LINC02968
LINC02968	XR_007068380.1	X	1	1529249	1552835	LINC02968
LINC02968	XR_001755765.2	X	1	1529332	1552835	LINC02968
LINC02968	XR_007068378.1	X	1	1529332	1552835	LINC02968
LINC02968	XR_007068379.1	X	1	1529332	1552835	LINC02968
LINC02968	XR_951292.2	X	1	1529332	1552835	LINC02968
LOC105379413	XR_001755770.2	X	1	1566958	1580254	LOC105379413
LOC105379413	XR_001755773.2	X	1	1566958	1580254	LOC105379413
LOC107985677	XR_007068381.1	X	-1	1675343	1681651	LOC107985677
DHRSX	NM_145177.3	X	-1	1829953	2113734	DHRSX
LOC124905239	XR_007068382.1	X	1	1933767	1950429	LOC124905239
ZBED1	NM_001171135.2	X	-1	2099191	2113383	ZBED1
ZBED1	NM_001171136.2	X	-1	2099191	2113734	ZBED1
ZBED1	NM_004729.4	X	-1	2099191	2113734	ZBED1
LOC101928092	XR_001755776.2	X	-1	2178774	2187340	LOC101928092
LOC101928092	XR_950503.3	X	-1	2178774	2187340	LOC101928092
LOC101928092	XR_001755777.2	X	-1	2178774	2222273	LOC101928092
LOC101928092	XR_001755778.2	X	-1	2178774	2222273	LOC101928092
LOC101928092	XR_001755779.3	X	-1	2178774	2222273	LOC101928092
MIR6089	NR_106737.1	X	1	2222297	2222360	MIR6089
MIR6089	unassigned_transcript_3698	X	1	2222335	2222358	MIR6089
CD99P1	NR_033381.1	X	1	2222371	2251701	CD99P1
CD99P1	NR_033380.1	X	1	2222371	2270615	CD99P1
LINC00102	NR_037842.1	X	-1	2226077	2228433	LINC00102
CD99	NM_001321367.2	X	1	2304268	2349424	CD99
CD99	NM_001122898.3	X	1	2304268	2354297	CD99
CD99	NM_001321368.2	X	1	2304268	2354297	CD99
CD99	NM_001321369.2	X	1	2304268	2354297	CD99
CD99	NM_001321370.2	X	1	2304268	2354297	CD99
CD99	NM_002414.5	X	1	2304268	2354297	CD99
CD99	NR_135623.2	X	1	2304268	2354297	CD99
XG	NM_001141919.2	X	1	2365029	2429443	XG
XG	NM_001141920.2	X	1	2365029	2429443	XG
XG	NM_175569.3	X	1	2365029	2429443	XG
XG	XM_005274587.5	X	1	2365029	2429443	XG
XG	XM_011545575.4	X	1	2365029	2429443	XG
XG	XM_017029787.3	X	1	2365029	2429443	XG
GYG2	NM_001079855.2	X	1	2441931	2495327	GYG2
GYG2	NM_001184702.2	X	1	2441931	2495327	GYG2
GYG2	NM_001184703.2	X	1	2441931	2495327	GYG2
GYG2	NM_001184704.2	X	1	2441931	2495327	GYG2
GYG2	NM_003918.3	X	1	2441931	2495327	GYG2
GYG2	XM_017029928.2	X	1	2441931	2495327	GYG2
GYG2	XM_017029929.2	X	1	2441931	2495327	GYG2
GYG2	XM_017029930.2	X	1	2441931	2495327	GYG2
GYG2	XM_047442608.1	X	1	2441931	2495327	GYG2
GYG2	XM_047442609.1	X	1	2441931	2495327	GYG2
GYG2	XM_047442610.1	X	1	2441931	2495327	GYG2
GYG2	XM_047442613.1	X	1	2441931	2495327	GYG2
GYG2	XM_011545600.3	X	1	2442270	2495327	GYG2
GYG2	XM_017029927.2	X	1	2442270	2495327	GYG2
GYG2	XM_017029931.2	X	1	2442270	2495327	GYG2
GYG2	XM_047442611.1	X	1	2442270	2495327	GYG2
GYG2	XM_047442612.1	X	1	2442270	2495327	GYG2
ARSD	XM_047442108.1	X	-1	2516466	2538355	ARSD
ARSD	NM_001669.4	X	-1	2516466	2541817	ARSD
ARSD	XM_005274514.3	X	-1	2516466	2541817	ARSD
ARSD	XM_005274515.3	X	-1	2516466	2541817	ARSD
ARSD-AS1	NR_144459.1	X	1	2517398	2518616	ARSD-AS1
ARSD	NM_009589.5	X	-1	2526143	2541817	ARSD
ARSL	XM_047442109.1	X	-1	2547019	2572288	ARSL
ARSL	NM_000047.3	X	-1	2547019	2576807	ARSL
ARSL	NM_001282628.2	X	-1	2547019	2576807	ARSL
ARSL	XM_005274519.5	X	-1	2547019	2576807	ARSL
ARSL	XM_005274521.5	X	-1	2547019	2576807	ARSL
ARSL	XM_011545521.2	X	-1	2547019	2576807	ARSL
ARSL	XM_047442110.1	X	-1	2547019	2580711	ARSL
ARSL	NM_001282631.2	X	-1	2547308	2580711	ARSL
ARSL	NM_001369079.1	X	-1	2547308	2580711	ARSL
ARSL	NM_001369080.1	X	-1	2547308	2580711	ARSL
ARSH	NM_001011719.2	X	1	2619025	2646585	ARSH
ARSF	NM_001201538.2	X	1	2653638	2726133	ARSF
ARSF	NM_001201539.2	X	1	2654875	2726133	ARSF
ARSF	NM_004042.5	X	1	2680203	2726133	ARSF
ARSF	XM_017029528.1	X	1	2680384	2714596	ARSF
ARSF	XM_011545522.2	X	1	2680384	2726133	ARSF
ARSF	XM_011545523.2	X	1	2680384	2726133	ARSF
ARSF	XM_011545524.2	X	1	2680384	2726133	ARSF
LINC01546	NR_038428.1	X	1	2885432	2898262	LINC01546
MXRA5	NM_015419.4	X	-1	2922161	2960959	MXRA5
SNORA48B	NR_145722.1	X	-1	3146319	3146453	SNORA48B
PRKX	NM_005044.5	X	-1	3218669	3333048	PRKX
PRKX-AS1	NR_046643.1	X	1	3278877	3287594	PRKX-AS1
LOC124900487	XR_007068383.1	X	-1	3440067	3445867	LOC124900487
LOC124900487	XR_007068384.1	X	-1	3440067	3446062	LOC124900487
TRI-GAT1-3	unassigned_transcript_3701	X	-1	3457769	3457842	TRI-GAT1-3
FAM239C	XR_001755780.2	X	-1	3471913	3480413	FAM239C
LOC101928201	NR_110390.1	X	-1	4171767	4178139	LOC101928201
LOC124900497	XR_007068427.1	X	1	4962495	4962624	LOC124900497
LOC101928228	XR_247295.4	X	-1	5271293	5278332	LOC101928228
NLGN4X	XM_006724504.3	X	-1	5442298	5739274	NLGN4X
NLGN4X	XM_047442282.1	X	-1	5442298	5739365	NLGN4X
NLGN4X	XM_005274566.5	X	-1	5442298	5779000	NLGN4X
NLGN4X	XM_017029693.2	X	-1	5442298	5779000	NLGN4X
NLGN4X	NM_001282146.2	X	-1	5442298	5779383	NLGN4X
NLGN4X	XM_005274565.3	X	-1	5442298	5779383	NLGN4X
NLGN4X	XM_011545547.3	X	-1	5442298	5779383	NLGN4X
NLGN4X	XM_017029691.2	X	-1	5442298	5779383	NLGN4X
NLGN4X	XM_017029692.2	X	-1	5442298	5779383	NLGN4X
NLGN4X	NM_020742.4	X	-1	5442298	5780143	NLGN4X
NLGN4X	XM_047442281.1	X	-1	5442298	5780755	NLGN4X
NLGN4X	XM_011545548.3	X	-1	5442298	5780758	NLGN4X
NLGN4X	NM_001282145.2	X	-1	5442298	5781161	NLGN4X
NLGN4X	NM_181332.3	X	-1	5442298	5781161	NLGN4X
NLGN4X	XM_005274564.4	X	-1	5442298	5781161	NLGN4X
LOC105373156	NR_136577.1	X	1	5778654	5782585	LOC105373156
MIR4770	NR_039927.1	X	-1	5936186	5936243	MIR4770
MIR4770	unassigned_transcript_3702	X	-1	5936187	5936204	MIR4770
VCX3B	NM_001001888.4	X	-1	6086887	6088477	VCX3B
LOC124905240	XR_007068385.1	X	-1	6165914	6168877	LOC124905240
PUDP	XR_007068202.1	X	-1	6259733	6701938	PUDP
PUDP	XR_001755734.2	X	-1	6322734	6701938	PUDP
LOC107987331	XR_001755781.2	X	1	6566265	6580655	LOC107987331
PUDP	NM_001135565.2	X	-1	6602705	6701938	PUDP
PUDP	NM_001178136.2	X	-1	6602705	6701938	PUDP
PUDP	NM_012080.5	X	-1	6602705	6701938	PUDP
PUDP	NM_001178135.2	X	-1	6611371	6701938	PUDP
STS	NM_001320750.3	X	1	6701075	6908316	STS
STS	NM_001320751.2	X	1	6701497	6908316	STS
STS	NM_001320752.2	X	1	6701497	6908316	STS
MIR4767	NR_039924.1	X	1	6701645	6701722	MIR4767
MIR4767	unassigned_transcript_3703	X	1	6701654	6701676	MIR4767
STS	NM_000351.7	X	1	6773233	6908316	STS
STS	NM_001320753.2	X	1	6805994	6908316	STS
STS	XM_047442107.1	X	1	6805994	6908316	STS
STS	NM_001320754.2	X	1	6806223	6908316	STS
LOC124905241	XR_007068386.1	X	1	7147354	7168936	LOC124905241
VCX	NM_013452.3	X	1	7395939	7397760	VCX
VCX	XM_011545490.4	X	1	7396735	7397760	VCX
VCX	NM_001393662.1	X	1	7396848	7397760	VCX
PNPLA4	NM_004650.3	X	-1	7451884	7481047	PNPLA4
PNPLA4	NM_001142389.2	X	-1	7451884	7481358	PNPLA4
PNPLA4	NM_001172672.2	X	-1	7451884	7481358	PNPLA4
PNPLA4	XM_011545588.2	X	-1	7451884	7481358	PNPLA4
LOC107985675	XR_007068387.1	X	1	7481134	7798175	LOC107985675
LOC107985675	XR_001755782.2	X	1	7481134	8022972	LOC107985675
LOC107985675	XR_001755783.2	X	1	7481134	8022972	LOC107985675
LOC107985675	XR_001755784.2	X	1	7481134	8022972	LOC107985675
MIR651	NR_030380.1	X	1	7680609	7680705	MIR651
MIR651	unassigned_transcript_3704	X	1	7680624	7680645	MIR651
MIR651	unassigned_transcript_3705	X	1	7680662	7680683	MIR651
VCX2	NM_016378.3	X	-1	7734626	7735949	VCX2
LOC107985676	XR_001755791.3	X	1	7736502	7745920	LOC107985676
VCX3A	NM_016379.4	X	1	8031418	8032978	VCX3A
LOC107985715	XR_001755792.2	X	-1	8056754	8071643	LOC107985715
LOC107985715	XR_001755793.2	X	-1	8056754	8071643	LOC107985715
ANOS1	NM_000216.4	X	-1	8095953	8299248	ANOS1
ANOS1	XM_005274501.5	X	-1	8132885	8299248	ANOS1
FAM9A	NM_001171186.1	X	-1	8357896	8368438	FAM9A
FAM9A	NM_174951.3	X	-1	8357896	8368484	FAM9A
LOC105373125	XR_950505.3	X	-1	8490790	8494308	LOC105373125
LOC105373125	XR_950506.3	X	-1	8490790	8494308	LOC105373125
FAM9B	NM_205849.3	X	-1	8591248	8601142	FAM9B
FAM9B	XM_047441882.1	X	-1	8597291	8600298	FAM9B
LOC124905242	XR_007068388.1	X	1	8816956	8842176	LOC124905242
LOC107985634	XR_001755796.1	X	-1	8989528	9021353	LOC107985634
LOC107985634	XR_001755795.1	X	-1	8989528	9026121	LOC107985634
TBL1X	NM_001139466.1	X	1	9045885	9302376	TBL1X
TBL1X	NM_001139467.1	X	1	9045885	9302376	TBL1X
TBL1X	NM_001139468.1	X	1	9045885	9302376	TBL1X
TBL1X	NM_005647.4	X	1	9047648	9302376	TBL1X
GPR143	NM_000273.3	X	-1	9307982	9348469	GPR143
GPR143	XM_024452388.2	X	-1	9307982	9361208	GPR143
GPR143	XM_005274541.4	X	-1	9308049	9348469	GPR143
LOC105373126	XR_950507.2	X	1	9319735	9323688	LOC105373126
SHROOM2	NM_001649.4	X	1	9369053	9532050	SHROOM2
SHROOM2	XM_005274500.5	X	1	9369053	9532050	SHROOM2
SHROOM2	XM_011545506.1	X	1	9492089	9532050	SHROOM2
SHROOM2	XM_017029492.1	X	1	9492089	9532050	SHROOM2
SHROOM2	NM_001320663.2	X	1	9495107	9532050	SHROOM2
SHROOM2	NM_001320664.2	X	1	9495107	9532050	SHROOM2
CLDN34	NM_001195081.2	X	1	9549941	9550935	CLDN34
WWC3	NM_015691.5	X	1	9597786	9727019	WWC3
CLCN4	NM_001256944.2	X	1	9739532	9820250	CLCN4
CLCN4	NM_001830.4	X	1	9739532	9820250	CLCN4
MID1	NM_001193277.1	X	-1	10027869	10159440	MID1
MID1	NM_001347733.2	X	-1	10027869	10172483	MID1
MID1	NM_033289.2	X	-1	10027869	10203113	MID1
MID1	NM_001098624.2	X	-1	10027869	10260264	MID1
MID1	NM_033290.4	X	-1	10027869	10416213	MID1
MID1	NM_000381.4	X	-1	10028115	10203113	MID1
MID1	NM_001193278.1	X	-1	10051818	10150126	MID1
MID1	NM_001193279.1	X	-1	10051818	10150126	MID1
MID1	NM_001193280.1	X	-1	10051818	10150126	MID1
LOC124905245	XR_007068391.1	X	1	10202229	10205452	LOC124905245
LOC124905244	XR_007068390.1	X	1	10483450	10511968	LOC124905244
LOC124905243	XR_007068389.1	X	1	10532285	10547184	LOC124905243
HCCS	NM_001122608.3	X	1	10693810	10705564	HCCS
HCCS	NM_001171991.3	X	1	10693810	10705564	HCCS
HCCS	NM_005333.5	X	1	10693810	10705564	HCCS
ARHGAP6	NM_013423.3	X	-1	10720022	10848494	ARHGAP6
ARHGAP6	NM_001287242.2	X	-1	10720022	11010325	ARHGAP6
ARHGAP6	NM_013427.3	X	-1	10720022	11248464	ARHGAP6
ARHGAP6	NR_109776.2	X	-1	10720022	11248464	ARHGAP6
ARHGAP6	NM_006125.3	X	-1	10725875	11248464	ARHGAP6
AMELX	NM_001142.2	X	1	10875912	10883260	AMELX
AMELX	NM_182680.1	X	1	10875912	10883260	AMELX
AMELX	NM_182681.1	X	1	10875912	10883260	AMELX
AMELX	XM_017029404.3	X	1	10877288	10892087	AMELX
MIR548AX	NR_049865.1	X	-1	10901113	10901185	MIR548AX
MIR548AX	unassigned_transcript_3706	X	-1	10901155	10901176	MIR548AX
LOC124905246	XR_007068392.1	X	1	10999719	11016397	LOC124905246
LOC105373131	XR_950513.3	X	1	11315238	11317902	LOC105373131
LOC124905247	XR_007068394.1	X	-1	11333002	11340254	LOC124905247
LOC124905247	XR_007068393.1	X	-1	11333002	11340632	LOC124905247
MSL3	NM_001282174.1	X	1	11340708	11358302	MSL3
MSL3	NM_078628.2	X	1	11340786	11350526	MSL3
MSL3	NM_078629.4	X	1	11340786	11358321	MSL3
MSL3	NM_001193270.2	X	1	11341131	11358302	MSL3
MSL3	NM_006800.4	X	1	11342196	11358321	MSL3
FRMPD4	NM_001368395.3	X	1	11404988	12305982	FRMPD4
FRMPD4	NM_001368398.3	X	1	11404988	12305982	FRMPD4
FRMPD4	NM_001368400.3	X	1	11648109	12305982	FRMPD4
FRMPD4	NM_001368402.3	X	1	11648109	12305982	FRMPD4
FRMPD4	NM_001368399.3	X	1	11719954	12305982	FRMPD4
FRMPD4	XM_017029983.2	X	1	11719954	12305982	FRMPD4
FRMPD4	XM_047442680.1	X	1	11719954	12305982	FRMPD4
FRMPD4	NM_014728.3	X	1	11721005	12305982	FRMPD4
FRMPD4	NM_001368396.3	X	1	11721012	12305982	FRMPD4
FRMPD4	NM_001368397.1	X	1	11721012	12305982	FRMPD4
FRMPD4	NM_001368401.1	X	1	11721012	12305982	FRMPD4
FRMPD4-AS1	NR_046743.1	X	-1	11954251	11958029	FRMPD4-AS1
FRMPD4	XM_005274632.4	X	1	12077645	12305982	FRMPD4
FRMPD4	XM_017029984.2	X	1	12077645	12305982	FRMPD4
FRMPD4	XM_017029985.2	X	1	12077645	12305982	FRMPD4
PRPS2	NM_001039091.3	X	1	12372896	12405716	PRPS2
PRPS2	NM_002765.5	X	1	12372896	12405716	PRPS2
TLR7	NM_016562.4	X	1	12448550	12471838	TLR7
TLR8-AS1	NR_030727.1	X	-1	12484286	12524764	TLR8-AS1
TLR8	NM_016610.4	X	1	12488083	12504631	TLR8
TLR8	NM_138636.5	X	1	12488083	12504631	TLR8
TMSB4X	NM_021109.4	X	1	12556537	12558650	TMSB4X
FAM9C	NM_174901.6	X	-1	12617034	12626037	FAM9C
FAM9C	XM_005274460.4	X	-1	12617034	12626037	FAM9C
FAM9C	XM_024452348.2	X	-1	12617034	12626037	FAM9C
LOC105373133	NR_171577.1	X	1	12626150	12677211	LOC105373133
LOC105373134	XR_001755798.2	X	-1	12737111	12746402	LOC105373134
LINC02154	NR_146309.1	X	-1	12847485	12884891	LINC02154
GS1-600G8.3	NR_046087.1	X	1	12892091	12901372	GS1-600G8.3
ATXN3L	NM_001135995.2	X	-1	12900086	12901492	ATXN3L
ATXN3L	NM_001387036.1	X	-1	12900086	12901492	ATXN3L
LINC01203	NR_045260.1	X	1	12916680	12923264	LINC01203
LOC124905248	XR_007068395.1	X	-1	12968985	13001542	LOC124905248
EGFL6	NM_001167890.2	X	1	13151011	13214962	EGFL6
EGFL6	NM_015507.4	X	1	13151011	13214962	EGFL6
MIR6086	NR_106734.1	X	1	13171679	13171733	MIR6086
MIR6086	unassigned_transcript_3707	X	1	13171680	13171699	MIR6086
LOC107985657	NR_171573.1	X	-1	13233884	13234826	LOC107985657
TCEANC	NM_001297563.2	X	1	13234528	13246800	TCEANC
TCEANC	NM_001297564.2	X	1	13234528	13246800	TCEANC
TCEANC	NM_152634.4	X	1	13234528	13246800	TCEANC
TCEANC	XM_017029316.2	X	1	13234528	13246800	TCEANC
LOC107985656	XR_002958816.2	X	1	13247446	13251905	LOC107985656
RAB9A	NM_001195328.2	X	1	13270511	13291900	RAB9A
RAB9A	NM_004251.5	X	1	13270511	13291900	RAB9A
RAB9A	XM_047442645.1	X	1	13270511	13291900	RAB9A
RAB9A	XM_047442644.1	X	1	13270790	13291900	RAB9A
TRAPPC2	XM_047442351.1	X	-1	13293643	13315619	TRAPPC2
TRAPPC2	XM_047442352.1	X	-1	13293643	13315619	TRAPPC2
TRAPPC2	NM_001011658.4	X	-1	13293643	13316052	TRAPPC2
TRAPPC2	NM_001128835.3	X	-1	13293643	13316052	TRAPPC2
TRAPPC2	NM_014563.6	X	-1	13293643	13316052	TRAPPC2
TRAPPC2	XM_011545566.3	X	-1	13293643	13316052	TRAPPC2
OFD1	XM_047442594.1	X	1	13295911	13345288	OFD1
OFD1	XM_047442591.1	X	1	13295911	13349565	OFD1
OFD1	XM_047442593.1	X	1	13295911	13349565	OFD1
OFD1	XM_047442583.1	X	1	13295911	13350791	OFD1
OFD1	XM_047442585.1	X	1	13295911	13350791	OFD1
OFD1	XM_047442586.1	X	1	13295911	13350791	OFD1
OFD1	XM_047442589.1	X	1	13295911	13350791	OFD1
OFD1	XM_047442584.1	X	1	13295911	13355174	OFD1
OFD1	XM_047442588.1	X	1	13295911	13355174	OFD1
OFD1	XM_047442597.1	X	1	13316180	13345292	OFD1
OFD1	XM_047442592.1	X	1	13316180	13349565	OFD1
OFD1	XM_047442595.1	X	1	13316180	13349565	OFD1
OFD1	XM_047442596.1	X	1	13316180	13349565	OFD1
OFD1	NM_001330209.2	X	1	13316180	13350791	OFD1
OFD1	NM_001330210.2	X	1	13316180	13350791	OFD1
OFD1	NM_003611.3	X	1	13316180	13350791	OFD1
OFD1	XM_047442587.1	X	1	13316180	13350791	OFD1
OFD1	XM_047442590.1	X	1	13316180	13350791	OFD1
OFD1	XM_017029909.2	X	1	13320476	13350791	OFD1
OFD1	XM_017029911.2	X	1	13332692	13350791	OFD1
OFD1	XM_011545598.2	X	1	13332720	13350791	OFD1
GPM6B	XM_047442009.1	X	-1	13352374	13368479	GPM6B
GPM6B	NM_001001995.3	X	-1	13352374	13398523	GPM6B
GPM6B	NM_001001996.3	X	-1	13352374	13398523	GPM6B
GPM6B	NM_005278.5	X	-1	13352374	13398523	GPM6B
GPM6B	XM_005274489.6	X	-1	13352374	13398523	GPM6B
GPM6B	XM_047442007.1	X	-1	13352374	13486144	GPM6B
GPM6B	NM_001001994.3	X	-1	13352374	13518889	GPM6B
GPM6B	NM_001318729.2	X	-1	13352374	13518889	GPM6B
