LOC107987170	XR_001748946.2	12	1	23417	30413	LOC107987170
WNK1	XM_011521003.3	12	1	748443	907208	WNK1
WNK1	XM_011521006.3	12	1	748443	907208	WNK1
WNK1	XM_011521007.3	12	1	748443	907208	WNK1
WNK1	XM_011521008.3	12	1	748443	907208	WNK1
WNK1	XM_011521009.3	12	1	748443	907208	WNK1
WNK1	XM_017019834.2	12	1	748443	907208	WNK1
WNK1	XM_017019835.2	12	1	748443	907208	WNK1
WNK1	XM_017019836.2	12	1	748443	907208	WNK1
WNK1	XM_017019837.2	12	1	748443	907208	WNK1
WNK1	XM_017019838.2	12	1	748443	907208	WNK1
WNK1	XM_047429374.1	12	1	748443	907208	WNK1
WNK1	XM_047429375.1	12	1	748443	907208	WNK1
WNK1	XM_047429376.1	12	1	748443	907208	WNK1
WNK1	XM_047429377.1	12	1	748443	907208	WNK1
WNK1	XM_047429378.1	12	1	748443	907208	WNK1
WNK1	XM_047429379.1	12	1	748443	907208	WNK1
WNK1	XM_047429380.1	12	1	748443	907208	WNK1
WNK1	XM_047429381.1	12	1	748443	907208	WNK1
WNK1	XM_047429382.1	12	1	748443	907208	WNK1
WNK1	XM_047429383.1	12	1	748443	907208	WNK1
WNK1	XM_047429384.1	12	1	748443	907208	WNK1
WNK1	XM_047429385.1	12	1	748443	907208	WNK1
WNK1	XM_047429386.1	12	1	748443	907208	WNK1
WNK1	XM_047429387.1	12	1	748443	907208	WNK1
WNK1	XM_047429388.1	12	1	748443	907208	WNK1
WNK1	XM_047429389.1	12	1	748443	907208	WNK1
WNK1	XM_047429390.1	12	1	748443	907208	WNK1
WNK1	XM_047429391.1	12	1	748443	907208	WNK1
WNK1	XM_047429392.1	12	1	748443	907208	WNK1
WNK1	XM_047429393.1	12	1	748443	907208	WNK1
WNK1	XM_047429394.1	12	1	748443	907208	WNK1
WNK1	XM_047429395.1	12	1	748443	907208	WNK1
WNK1	XM_047429396.1	12	1	748443	907208	WNK1
WNK1	XM_047429397.1	12	1	748443	907208	WNK1
WNK1	XM_047429398.1	12	1	748443	907208	WNK1
WNK1	XM_047429399.1	12	1	748443	907208	WNK1
WNK1	XM_047429400.1	12	1	748443	907208	WNK1
WNK1	XM_047429401.1	12	1	748443	907208	WNK1
WNK1	XM_047429402.1	12	1	748443	907208	WNK1
WNK1	XM_047429403.1	12	1	847128	907208	WNK1
RAD52	XM_011520995.4	12	-1	907492	925902	RAD52
RAD52	XM_047429282.1	12	-1	907492	933166	RAD52
RAD52	NM_001297421.2	12	-1	907492	945425	RAD52
RAD52	NM_134424.4	12	-1	907492	945425	RAD52
RAD52	NR_123713.2	12	-1	907492	945425	RAD52
RAD52	XM_005253721.3	12	-1	907492	945425	RAD52
RAD52	XM_011520990.3	12	-1	907492	945425	RAD52
RAD52	XM_011520991.3	12	-1	907492	945425	RAD52
RAD52	XM_017019770.2	12	-1	907492	945425	RAD52
RAD52	XM_047429283.1	12	-1	907492	945425	RAD52
RAD52	XM_047429284.1	12	-1	907492	945425	RAD52
RAD52	XM_047429285.1	12	-1	907492	945425	RAD52
RAD52	NM_001297419.1	12	-1	907492	985932	RAD52
RAD52	XM_005253720.6	12	-1	907492	987015	RAD52
RAD52	XM_017019769.2	12	-1	907492	987015	RAD52
RAD52	XM_047429286.1	12	-1	909753	945425	RAD52
RAD52	XM_047429287.1	12	-1	909781	945425	RAD52
RAD52	XM_017019771.2	12	-1	909804	945425	RAD52
RAD52	XM_047429288.1	12	-1	909804	945425	RAD52
RAD52	XM_047429290.1	12	-1	909804	945425	RAD52
RAD52	XM_047429289.1	12	-1	910202	945425	RAD52
RAD52	NM_001297422.2	12	-1	911966	945425	RAD52
RAD52	XM_047429291.1	12	-1	912480	945425	RAD52
RAD52	NM_001297420.1	12	-1	921209	928801	RAD52
LOC124902855	XR_007063155.1	12	1	927073	931593	LOC124902855
ERC1	XM_047428566.1	12	1	985850	1490192	ERC1
ERC1	XM_047428562.1	12	1	985889	1490192	ERC1
ERC1	XM_017019055.3	12	1	985908	1490192	ERC1
ERC1	XM_047428558.1	12	1	985908	1490192	ERC1
ERC1	XM_047428563.1	12	1	985908	1490192	ERC1
ERC1	XM_047428570.1	12	1	985908	1490192	ERC1
ERC1	XM_047428576.1	12	1	985908	1490192	ERC1
ERC1	XM_017019054.2	12	1	986437	1490192	ERC1
ERC1	XM_047428557.1	12	1	986437	1490192	ERC1
ERC1	XM_047428561.1	12	1	986437	1490192	ERC1
ERC1	XM_047428565.1	12	1	986437	1490192	ERC1
ERC1	XM_047428568.1	12	1	986437	1490192	ERC1
ERC1	XM_047428572.1	12	1	986437	1490192	ERC1
ERC1	XM_047428574.1	12	1	986437	1490192	ERC1
ERC1	XM_047428579.1	12	1	986437	1490192	ERC1
ERC1	XR_001748631.3	12	1	987116	1438886	ERC1
ERC1	XM_017019072.2	12	1	987116	1438908	ERC1
ERC1	XM_047428580.1	12	1	987116	1438908	ERC1
ERC1	XM_047428581.1	12	1	987116	1438908	ERC1
ERC1	XM_047428582.1	12	1	987116	1438908	ERC1
ERC1	XM_047428583.1	12	1	987116	1438908	ERC1
ERC1	XM_047428584.1	12	1	987116	1438908	ERC1
ERC1	NM_178039.4	12	1	987116	1490192	ERC1
ERC1	NM_178040.4	12	1	987116	1490192	ERC1
ERC1	NR_027946.3	12	1	987116	1490192	ERC1
ERC1	NR_027948.3	12	1	987116	1490192	ERC1
ERC1	NR_027949.3	12	1	987116	1490192	ERC1
ERC1	XM_017019052.2	12	1	987116	1490192	ERC1
ERC1	XM_017019057.2	12	1	987116	1490192	ERC1
ERC1	XM_017019059.2	12	1	987116	1490192	ERC1
ERC1	XM_017019060.2	12	1	987116	1490192	ERC1
ERC1	XM_017019061.2	12	1	987116	1490192	ERC1
ERC1	XM_017019062.2	12	1	987116	1490192	ERC1
ERC1	XM_017019063.2	12	1	987116	1490192	ERC1
ERC1	XM_017019064.2	12	1	987116	1490192	ERC1
ERC1	XM_017019065.2	12	1	987116	1490192	ERC1
ERC1	XM_017019066.2	12	1	987116	1490192	ERC1
ERC1	XM_017019067.2	12	1	987116	1490192	ERC1
ERC1	XM_017019069.2	12	1	987116	1490192	ERC1
ERC1	XM_017019070.2	12	1	987116	1490192	ERC1
ERC1	XM_047428571.1	12	1	987116	1490192	ERC1
ERC1	XM_047428578.1	12	1	987116	1490192	ERC1
ERC1	XM_017019056.2	12	1	987443	1490192	ERC1
ERC1	XM_047428556.1	12	1	987443	1490192	ERC1
ERC1	XM_047428559.1	12	1	987443	1490192	ERC1
ERC1	XM_047428560.1	12	1	987443	1490192	ERC1
ERC1	XM_047428564.1	12	1	987443	1490192	ERC1
ERC1	XM_047428567.1	12	1	987443	1490192	ERC1
ERC1	XM_047428569.1	12	1	987443	1490192	ERC1
ERC1	XM_047428573.1	12	1	987443	1490192	ERC1
ERC1	XM_047428575.1	12	1	987443	1490192	ERC1
ERC1	XM_047428577.1	12	1	987443	1490192	ERC1
ERC1	NM_001301248.1	12	1	1023615	1490194	ERC1
LOC124902857	XR_007063157.1	12	-1	1109330	1123747	LOC124902857
ERC1	XM_017019074.2	12	1	1162256	1490192	ERC1
LOC124902854	XR_007063154.1	12	1	1231214	1239673	LOC124902854
LOC107987182	XR_001749430.1	12	1	1331645	1334276	LOC107987182
LOC124902856	XR_007063156.1	12	1	1439469	1461010	LOC124902856
LINC00942	NR_028415.1	12	1	1494753	1498714	LINC00942
LOC107984507	NR_160736.1	12	-1	1522065	1526534	LOC107984507
FBXL14	NM_152441.3	12	-1	1560304	1590139	FBXL14
FBXL14	XM_017018875.3	12	-1	1560304	1590400	FBXL14
FBXL14	XM_047428391.1	12	-1	1561427	1590400	FBXL14
FBXL14	XM_017018876.3	12	-1	1582917	1590400	FBXL14
WNT5B	NM_030775.2	12	1	1612578	1643572	WNT5B
WNT5B	NM_032642.3	12	1	1625605	1643573	WNT5B
MIR3649	NR_037422.1	12	-1	1656662	1656727	MIR3649
MIR3649	unassigned_transcript_1978	12	-1	1656663	1656681	MIR3649
ADIPOR2	XM_047429547.1	12	1	1687685	1780238	ADIPOR2
ADIPOR2	XM_047429548.1	12	1	1687685	1780238	ADIPOR2
ADIPOR2	NM_001375363.1	12	1	1687685	1784807	ADIPOR2
ADIPOR2	NM_001375364.1	12	1	1687685	1784807	ADIPOR2
ADIPOR2	NM_001375365.1	12	1	1687685	1784807	ADIPOR2
ADIPOR2	NM_024551.3	12	1	1687685	1784807	ADIPOR2
ADIPOR2	XM_006719018.3	12	1	1687685	1784807	ADIPOR2
ADIPOR2	XM_011521024.2	12	1	1687685	1784807	ADIPOR2
ADIPOR2	XM_047429545.1	12	1	1741136	1784807	ADIPOR2
ADIPOR2	XM_047429546.1	12	1	1741136	1784807	ADIPOR2
CACNA2D4	NM_172364.5	12	-1	1788097	1914979	CACNA2D4
CACNA2D4	XM_011521041.3	12	-1	1791245	1914979	CACNA2D4
CACNA2D4	XM_047429897.1	12	-1	1791245	1914979	CACNA2D4
LOC105369602	XR_931548.3	12	1	1796577	1803637	LOC105369602
LOC105369602	XR_931549.3	12	1	1796577	1803637	LOC105369602
LOC105369602	XR_931547.3	12	1	1796733	1803637	LOC105369602
LOC105369602	XR_931550.3	12	1	1796733	1803637	LOC105369602
LOC105369601	XR_931546.3	12	1	1809337	1814947	LOC105369601
LRTM2	NM_001039029.3	12	1	1816705	1832896	LRTM2
LRTM2	NM_001163925.2	12	1	1816705	1832896	LRTM2
LRTM2	NM_001163926.2	12	1	1816705	1832896	LRTM2
LRTM2	XM_011521015.2	12	1	1816705	1832896	LRTM2
LRTM2	XM_047429421.1	12	1	1816705	1832896	LRTM2
CACNA2D4	XM_047429898.1	12	-1	1839267	1914979	CACNA2D4
CACNA2D4	XM_047429899.1	12	-1	1839267	1914979	CACNA2D4
LOC124902858	XR_007063158.1	12	1	1880367	1885603	LOC124902858
LINC00940	NR_036546.1	12	-1	1925317	1932690	LINC00940
DCP1B	NR_135060.2	12	-1	1937705	2000585	DCP1B
DCP1B	NM_152640.5	12	-1	1942167	2000585	DCP1B
CACNA1C	XM_006719017.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_011521020.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019926.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019927.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019928.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019929.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019930.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019931.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019932.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019933.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019934.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019935.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019939.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019943.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019944.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019945.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019946.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019947.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019948.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019949.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019950.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019953.2	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019954.2	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_017019955.3	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_047429513.1	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_047429514.1	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_047429515.1	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_047429516.1	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_047429517.1	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_047429518.1	12	1	1966894	2703402	CACNA1C
CACNA1C	XM_047429519.1	12	1	1966894	2703402	CACNA1C
DCP1B	NM_001319292.2	12	-1	1987572	2000585	DCP1B
CACNA1C-IT1	XR_001749433.2	12	1	2012800	2024964	CACNA1C-IT1
CACNA1C-IT2	NR_046768.1	12	1	2044478	2045589	CACNA1C-IT2
CACNA1C	NM_000719.7	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129827.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129829.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129830.3	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129831.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129832.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129833.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129834.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129835.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129836.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129837.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129838.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129839.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129840.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129841.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129842.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129843.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129844.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001129846.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001167623.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001167624.3	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_001167625.2	12	1	2049113	2703402	CACNA1C
CACNA1C	NM_199460.4	12	1	2049113	2703402	CACNA1C
CACNA1C	XM_011521023.4	12	1	2049113	2703402	CACNA1C
LOC107984131	XR_001749435.2	12	1	2127768	2164364	LOC107984131
CACNA1C-AS4	NR_046578.1	12	-1	2216342	2219286	CACNA1C-AS4
CACNA1C-IT3	NR_046769.1	12	1	2271010	2289963	CACNA1C-IT3
CACNA1C	XM_047429520.1	12	1	2420413	2703402	CACNA1C
CACNA1C-AS2	NR_046579.1	12	-1	2672482	2676203	CACNA1C-AS2
CACNA1C-AS1	NR_045725.1	12	-1	2679984	2696594	CACNA1C-AS1
ITFG2-AS1	NR_146317.1	12	-1	2748110	2818924	ITFG2-AS1
FKBP4	NM_002014.4	12	1	2800969	2811423	FKBP4
FKBP4	XM_047428539.1	12	1	2801940	2811423	FKBP4
ITFG2-AS1	NR_146318.1	12	-1	2811131	2818924	ITFG2-AS1
ITFG2	NM_018463.4	12	1	2818668	2831076	ITFG2
ITFG2	NR_130744.3	12	1	2818668	2838216	ITFG2
ITFG2	NR_147202.2	12	1	2818668	2865802	ITFG2
NRIP2	NM_031474.3	12	-1	2831348	2841035	NRIP2
TEX52	XM_047428053.1	12	-1	2853726	2863050	TEX52
TEX52	NM_001365174.2	12	-1	2855057	2863050	TEX52
TEX52	NM_001365175.2	12	-1	2855057	2863050	TEX52
TEX52	NR_157835.2	12	-1	2855057	2863050	TEX52
FOXM1	NM_001243088.2	12	-1	2863691	2883185	FOXM1
FOXM1	NM_001243089.2	12	-1	2863691	2883185	FOXM1
FOXM1	NM_021953.4	12	-1	2863691	2883185	FOXM1
FOXM1	NM_202002.3	12	-1	2863691	2883185	FOXM1
FOXM1	NM_202003.3	12	-1	2863691	2883185	FOXM1
FOXM1	XM_005253676.5	12	-1	2863691	2883185	FOXM1
FOXM1	XM_011520930.4	12	-1	2863691	2883185	FOXM1
FOXM1	XM_011520931.4	12	-1	2863691	2883185	FOXM1
FOXM1	XM_011520932.2	12	-1	2863691	2883185	FOXM1
FOXM1	XM_011520933.2	12	-1	2863691	2883185	FOXM1
FOXM1	XM_011520934.4	12	-1	2863691	2883185	FOXM1
FOXM1	XM_011520935.2	12	-1	2863691	2883185	FOXM1
FOXM1	XM_047428546.1	12	-1	2863691	2883185	FOXM1
FOXM1	XM_047428547.1	12	-1	2863691	2883185	FOXM1
FOXM1	XM_047428548.1	12	-1	2863691	2883185	FOXM1
FOXM1	XM_047428549.1	12	-1	2863691	2883185	FOXM1
FOXM1	XM_047428550.1	12	-1	2863691	2883185	FOXM1
FOXM1	XM_047428551.1	12	-1	2863691	2883185	FOXM1
FOXM1	XR_931507.2	12	-1	2863691	2883185	FOXM1
RHNO1	NR_046433.2	12	1	2882276	2895466	RHNO1
RHNO1	NM_001252499.3	12	1	2883234	2895466	RHNO1
RHNO1	NM_001252500.3	12	1	2883234	2895466	RHNO1
RHNO1	NM_001257097.2	12	1	2883234	2895466	RHNO1
RHNO1	NM_001257098.2	12	1	2883234	2895466	RHNO1
RHNO1	NR_027365.3	12	1	2883234	2895466	RHNO1
RHNO1	NR_046432.2	12	1	2883234	2895466	RHNO1
LOC124902860	XR_007063160.1	12	1	2891803	2892271	LOC124902860
TULP3	NM_001160408.2	12	1	2896833	2947229	TULP3
TULP3	NM_003324.5	12	1	2896833	2947229	TULP3
LOC124903097	XR_007063620.1	12	1	2934943	2935003	LOC124903097
LOC124902859	XR_007063159.1	12	-1	2963718	2966169	LOC124902859
TEAD4	NM_003213.4	12	1	2965518	3046795	TEAD4
TEAD4	NM_201441.3	12	1	2965518	3046795	TEAD4
TEAD4	NM_201443.3	12	1	2966056	3046795	TEAD4
TSPAN9	NM_001168320.2	12	1	3083510	3293033	TSPAN9
TSPAN9	NM_006675.5	12	1	3083510	3293033	TSPAN9
TSPAN9	XM_011520912.4	12	1	3083510	3293033	TSPAN9
TSPAN9	XM_047428125.1	12	1	3083510	3293033	TSPAN9
TSPAN9	XM_047428127.1	12	1	3083510	3293033	TSPAN9
TSPAN9	XM_047428128.1	12	1	3083510	3293033	TSPAN9
TSPAN9	XM_047428126.1	12	1	3110029	3293033	TSPAN9
TSPAN9	XM_047428124.1	12	1	3206846	3293033	TSPAN9
TSPAN9	XM_047428130.1	12	1	3221803	3293033	TSPAN9
LOC124902861	XR_007063161.1	12	-1	3236453	3238555	LOC124902861
TSPAN9	XM_047428129.1	12	1	3279573	3293033	TSPAN9
LOC100128253	NR_148995.1	12	-1	3304988	3372638	LOC100128253
LINC02827	XR_007063164.1	12	1	3306837	3329361	LINC02827
LINC02827	XR_007063162.1	12	1	3306837	3345155	LINC02827
LINC02827	XR_007063163.1	12	1	3306837	3345155	LINC02827
LINC02827	XR_007063165.1	12	1	3306837	3345155	LINC02827
LINC02417	NR_146865.1	12	1	3374624	3378119	LINC02417
PRMT8	NM_001256536.1	12	1	3387867	3600523	PRMT8
LOC105369607	XR_931556.3	12	1	3425615	3439566	LOC105369607
LOC124902862	XR_007063166.1	12	-1	3446363	3468009	LOC124902862
THCAT155	NR_126055.1	12	-1	3490233	3499361	THCAT155
PRMT8	XM_047429158.1	12	1	3497745	3583424	PRMT8
PRMT8	XM_047429157.1	12	1	3497745	3598896	PRMT8
PRMT8	NM_019854.5	12	1	3497745	3600523	PRMT8
PRMT8	XM_017019644.2	12	1	3497745	3600523	PRMT8
PRMT8	XM_017019645.1	12	1	3558713	3600523	PRMT8
PRMT8	XM_047429159.1	12	1	3559253	3600523	PRMT8
CRACR2A	XM_011521037.3	12	-1	3621867	3679398	CRACR2A
CRACR2A	XM_011521038.3	12	-1	3621867	3679399	CRACR2A
CRACR2A	XM_047429737.1	12	-1	3621867	3703416	CRACR2A
CRACR2A	XM_047429738.1	12	-1	3621867	3703451	CRACR2A
CRACR2A	XM_011521036.4	12	-1	3621867	3713244	CRACR2A
CRACR2A	XM_047429736.1	12	-1	3621867	3735710	CRACR2A
CRACR2A	NM_001144958.2	12	-1	3621867	3759684	CRACR2A
CRACR2A	XM_006719021.4	12	-1	3621867	3759684	CRACR2A
CRACR2A	XM_011521034.4	12	-1	3621867	3759684	CRACR2A
CRACR2A	XM_047429739.1	12	-1	3640222	3759684	CRACR2A
CRACR2A	XM_047429744.1	12	-1	3644929	3759684	CRACR2A
CRACR2A	XM_047429742.1	12	-1	3644931	3759684	CRACR2A
CRACR2A	XM_047429740.1	12	-1	3646950	3759684	CRACR2A
CRACR2A	XM_047429741.1	12	-1	3646950	3759684	CRACR2A
CRACR2A	XM_047429743.1	12	-1	3647273	3759684	CRACR2A
CRACR2A	NM_032680.4	12	-1	3654528	3759684	CRACR2A
LOC107984495	XR_001748963.2	12	1	3763149	3764751	LOC107984495
LOC107984495	XR_001748964.2	12	1	3763149	3764751	LOC107984495
PARP11	NM_001286521.2	12	-1	3815532	3880061	PARP11
PARP11	NM_001286522.2	12	-1	3815532	3880061	PARP11
PARP11	NM_020367.6	12	-1	3815532	3880061	PARP11
PARP11	NR_104461.2	12	-1	3815532	3880061	PARP11
PARP11	XM_047429175.1	12	-1	3815532	3880061	PARP11
PARP11	XM_047429176.1	12	-1	3820904	3880061	PARP11
PARP11-AS1	XR_931561.3	12	1	3870672	3917053	PARP11-AS1
PARP11-AS1	XR_007063167.1	12	1	3870672	3923255	PARP11-AS1
PARP11-AS1	XR_007063168.1	12	1	3870672	3923257	PARP11-AS1
PARP11-AS1	XR_931560.3	12	1	3905712	3917053	PARP11-AS1
PARP11-AS1	XR_931562.3	12	1	3905712	3917053	PARP11-AS1
PARP11-AS1	XR_007063169.1	12	1	3915662	3917053	PARP11-AS1
LOC105369608	XR_931557.4	12	-1	3929048	3965315	LOC105369608
LOC105369608	XR_001748965.2	12	-1	3957397	3965315	LOC105369608
LOC105369611	XR_007063170.1	12	1	4018592	4033341	LOC105369611
LOC105369611	XR_007063171.1	12	1	4018592	4033341	LOC105369611
LOC105369611	XR_931568.3	12	1	4019703	4033341	LOC105369611
LOC124900317	XR_007063172.1	12	-1	4110697	4124907	LOC124900317
LOC124900317	XR_007063173.1	12	-1	4110697	4124907	LOC124900317
LOC105369612	XR_007063174.1	12	-1	4179772	4181340	LOC105369612
LOC105369612	XR_931569.3	12	-1	4179772	4210704	LOC105369612
LOC105369612	XR_931570.3	12	-1	4179938	4181340	LOC105369612
CCND2-AS1	NR_149145.1	12	-1	4255526	4282236	CCND2-AS1
CCND2-AS1	NR_149146.1	12	-1	4255526	4282236	CCND2-AS1
CCND2-AS1	NR_125790.1	12	-1	4255526	4282943	CCND2-AS1
CCND2	NM_001759.4	12	1	4280521	4312135	CCND2
TIGAR	NM_020375.3	12	1	4327996	4366805	TIGAR
FGF23	NM_020638.3	12	-1	4375010	4386480	FGF23
FGF6	NM_020996.3	12	-1	4440927	4452599	FGF6
FGF6	XM_017018995.2	12	-1	4445661	4452599	FGF6
FGF6	XM_017018996.2	12	-1	4448531	4452599	FGF6
C12orf4	NM_001304811.2	12	-1	4494524	4545256	C12orf4
C12orf4	NM_001346153.2	12	-1	4494524	4545256	C12orf4
C12orf4	NM_001346155.2	12	-1	4494524	4545256	C12orf4
C12orf4	NM_001346156.2	12	-1	4494524	4545256	C12orf4
C12orf4	NM_001346157.2	12	-1	4494524	4545256	C12orf4
C12orf4	NM_001352962.2	12	-1	4494524	4545256	C12orf4
