RPL23AP53	NR_003572.2	8	-1	5121	29123	RPL23AP53	transcript
TDRP	NM_175075.5	8	-1	287190	342875	TDRP	mRNA
TDRP	NM_001256113.2	8	-1	287190	341929	TDRP	mRNA
TDRP	NM_001384899.1	8	-1	287190	341929	TDRP	mRNA
ERICH1	XM_054359837.1	8	-1	412067	522796	ERICH1	mRNA
ERICH1	XM_054359842.1	8	-1	412067	522796	ERICH1	mRNA
ERICH1	XM_054359841.1	8	-1	412067	522796	ERICH1	mRNA
ERICH1	XM_054359834.1	8	-1	412067	522796	ERICH1	mRNA
ERICH1	XM_054359835.1	8	-1	412067	522796	ERICH1	mRNA
ERICH1	XM_054359832.1	8	-1	412067	522796	ERICH1	mRNA
ERICH1	NM_001303100.2	8	-1	412071	522796	ERICH1	mRNA
ERICH1	XM_054359827.1	8	-1	424425	522796	ERICH1	mRNA
ERICH1	XM_054359825.1	8	-1	429847	522796	ERICH1	mRNA
ERICH1	XM_054359824.1	8	-1	429847	522796	ERICH1	mRNA
ERICH1	XM_054359823.1	8	-1	429847	522796	ERICH1	mRNA
ERICH1	XM_054359822.1	8	-1	429847	522796	ERICH1	mRNA
ERICH1	XM_054359828.1	8	-1	434901	522796	ERICH1	mRNA
ERICH1	XM_054359826.1	8	-1	435834	522796	ERICH1	mRNA
ERICH1	XM_054359830.1	8	-1	438135	522796	ERICH1	mRNA
ERICH1	XM_054359833.1	8	-1	438152	522796	ERICH1	mRNA
ERICH1	XM_054359838.1	8	-1	438154	522796	ERICH1	mRNA
ERICH1	XM_054359836.1	8	-1	443664	522796	ERICH1	mRNA
ERICH1	XM_054359829.1	8	-1	443664	522796	ERICH1	mRNA
LOC124906791	XM_047445351.1	8	-1	449219	452410	LOC124906791	mRNA
ERICH1	NR_156467.1	8	-1	456555	522796	ERICH1	transcript
ERICH1	NM_207332.3	8	-1	456555	522796	ERICH1	mRNA
ERICH1	XM_054359831.1	8	-1	456555	522796	ERICH1	mRNA
ERICH1	XM_054359840.1	8	-1	460953	522796	ERICH1	mRNA
ERICH1	XM_054359844.1	8	-1	461154	522796	ERICH1	mRNA
ERICH1	XM_054359843.1	8	-1	461154	522796	ERICH1	mRNA
ERICH1	XM_054359839.1	8	-1	461154	522796	ERICH1	mRNA
DLGAP2	NR_073397.2	8	1	529208	927169	DLGAP2	transcript
DLGAP2	NM_001346810.2	8	1	529208	1487141	DLGAP2	mRNA
LOC401442	NR_134292.1	8	1	530128	531965	LOC401442	lnc_RNA
LOC105377777	NR_160729.1	8	-1	671078	675101	LOC105377777	lnc_RNA
LOC124900249	XR_007078612.1	8	1	895041	900144	LOC124900249	lnc_RNA
LOC286083	NR_111948.1	8	-1	1084388	1090961	LOC286083	lnc_RNA
LOC105379585	XM_047445214.1	8	1	1162539	1182145	LOC105379585	mRNA
LOC105377775	XR_007078610.1	8	-1	1206255	1214238	LOC105377775	lnc_RNA
LOC105377775	XR_007078611.1	8	-1	1206255	1206903	LOC105377775	lnc_RNA
LOC105379586	XR_007078613.1	8	1	1207272	1218586	LOC105379586	lnc_RNA
DLGAP2-AS1	NR_103863.1	8	-1	1344387	1400752	DLGAP2-AS1	lnc_RNA
LOC124901870	XR_007078614.1	8	-1	1454715	1457171	LOC124901870	lnc_RNA
LOC105377778	XR_007078616.1	8	-1	1521484	1534334	LOC105377778	lnc_RNA
LOC105377778	XR_007078615.1	8	-1	1521484	1528462	LOC105377778	lnc_RNA
CLN8-AS1	NR_134303.1	8	-1	1540630	1543273	CLN8-AS1	lnc_RNA
CLN8-AS1	NR_134302.1	8	-1	1540630	1542001	CLN8-AS1	lnc_RNA
CLN8	NM_018941.4	8	1	1542478	1565133	CLN8	mRNA
MIR3674	NR_037445.1	8	1	1579251	1579318	MIR3674	primary_transcript
MIR3674	unassigned_transcript_1519	8	1	1579259	1579280	MIR3674	miRNA
LOC105377779	XR_007078617.1	8	-1	1588928	1592251	LOC105377779	lnc_RNA
MIR596	NR_030326.1	8	1	1595732	1595808	MIR596	primary_transcript
MIR596	unassigned_transcript_1520	8	1	1595747	1595767	MIR596	miRNA
ARHGEF10	XM_054361545.1	8	1	1601829	1736745	ARHGEF10	mRNA
ARHGEF10	XM_054361542.1	8	1	1601838	1736745	ARHGEF10	mRNA
ARHGEF10	XM_054361547.1	8	1	1601838	1736745	ARHGEF10	mRNA
ARHGEF10	NM_001438092.1	8	1	1601844	1736745	ARHGEF10	mRNA
ARHGEF10	XM_054361549.1	8	1	1601850	1736745	ARHGEF10	mRNA
ARHGEF10	XM_054361555.1	8	1	1601850	1730775	ARHGEF10	mRNA
ARHGEF10	NM_001438091.1	8	1	1602426	1736745	ARHGEF10	mRNA
ARHGEF10	NM_001308152.2	8	1	1602426	1736745	ARHGEF10	mRNA
ARHGEF10	NM_001438094.1	8	1	1602426	1736745	ARHGEF10	mRNA
ARHGEF10	NM_014629.4	8	1	1602426	1736745	ARHGEF10	mRNA
ARHGEF10	NM_001438093.1	8	1	1602426	1736745	ARHGEF10	mRNA
ARHGEF10	XM_054361551.1	8	1	1602426	1736745	ARHGEF10	mRNA
ARHGEF10	NM_001308153.3	8	1	1602426	1736610	ARHGEF10	mRNA
ARHGEF10	XM_054361539.1	8	1	1604892	1736745	ARHGEF10	mRNA
ARHGEF10	XM_054361540.1	8	1	1615373	1736745	ARHGEF10	mRNA
ARHGEF10	XM_054361538.1	8	1	1621313	1736745	ARHGEF10	mRNA
ARHGEF10	XR_008487897.1	8	1	1623061	1736745	ARHGEF10	transcript
ARHGEF10	XM_054361546.1	8	1	1623061	1736745	ARHGEF10	mRNA
ARHGEF10	XM_054361544.1	8	1	1623061	1736745	ARHGEF10	mRNA
ARHGEF10	XM_054361543.1	8	1	1623061	1736745	ARHGEF10	mRNA
ARHGEF10	XM_054361553.1	8	1	1623061	1730775	ARHGEF10	mRNA
ARHGEF10	XM_054361554.1	8	1	1623061	1730775	ARHGEF10	mRNA
ARHGEF10	XM_054361556.1	8	1	1656241	1736745	ARHGEF10	mRNA
LOC100131395	XR_007078618.1	8	-1	1712048	1720849	LOC100131395	lnc_RNA
KBTBD11	XM_054361640.1	8	1	1749730	1785512	KBTBD11	mRNA
KBTBD11-AS1	NR_136275.1	8	-1	1749972	1752138	KBTBD11-AS1	lnc_RNA
KBTBD11-AS1	NR_136274.1	8	-1	1749972	1752138	KBTBD11-AS1	lnc_RNA
KBTBD11-OT1	NR_126346.1	8	1	1750190	1755237	KBTBD11-OT1	lnc_RNA
KBTBD11	NM_014867.3	8	1	1752470	1785512	KBTBD11	mRNA
MYOM2	NM_003970.4	8	1	1823634	1924189	MYOM2	mRNA
MIR7160	NR_106983.1	8	1	1855073	1855124	MIR7160	primary_transcript
MIR7160	unassigned_transcript_1521	8	1	1855073	1855093	MIR7160	miRNA
MIR7160	unassigned_transcript_1522	8	1	1855104	1855124	MIR7160	miRNA
LOC105377781	XR_007078619.1	8	1	1935384	1979970	LOC105377781	lnc_RNA
LOC105377781	XR_007078620.1	8	1	1962748	1979970	LOC105377781	lnc_RNA
LOC105377781	XR_007078621.1	8	1	1963383	1979970	LOC105377781	lnc_RNA
LOC105377782	XR_007078622.1	8	1	1981629	1989632	LOC105377782	lnc_RNA
LOC105377783	XR_007078623.1	8	1	2027583	2038407	LOC105377783	lnc_RNA
LOC105377783	XR_007078624.1	8	1	2035824	2038407	LOC105377783	lnc_RNA
LOC105377784	XR_007079496.1	8	-1	2219730	2229017	LOC105377784	lnc_RNA
LOC105377784	XR_007079495.1	8	-1	2219730	2223910	LOC105377784	lnc_RNA
LINC03021	NR_125425.1	8	-1	2283639	2482124	LINC03021	lnc_RNA
LINC03021	NR_125423.1	8	-1	2343552	2376932	LINC03021	lnc_RNA
LOC107986865	XR_007078626.1	8	1	2414653	2420000	LOC107986865	lnc_RNA
LINC03021	NR_125426.1	8	-1	2450144	2482124	LINC03021	lnc_RNA
LOC105377785	NR_168443.1	8	1	2480629	2778167	LOC105377785	lnc_RNA
LOC105377785	NR_168445.1	8	1	2480629	2778167	LOC105377785	lnc_RNA
LOC105377785	NR_168442.1	8	1	2480629	2778167	LOC105377785	lnc_RNA
LOC105377785	NR_168444.1	8	1	2480629	2778167	LOC105377785	lnc_RNA
LOC105377785	NR_168441.1	8	1	2480629	2778167	LOC105377785	lnc_RNA
LOC124901871	XR_007078630.1	8	-1	2654885	2677546	LOC124901871	lnc_RNA
CSMD1	XM_054361009.1	8	-1	2689262	4747707	CSMD1	mRNA
CSMD1	NM_033225.6	8	-1	2689262	4747707	CSMD1	mRNA
CSMD1	XM_054361011.1	8	-1	2689262	3126936	CSMD1	mRNA
CSMD1	XM_054361012.1	8	-1	2689262	3038922	CSMD1	mRNA
CSMD1	XM_054361010.1	8	-1	2709912	4747707	CSMD1	mRNA
LOC105377791	XR_007078627.1	8	1	3163635	3180992	LOC105377791	lnc_RNA
LOC105377790	XR_007078629.1	8	1	3615618	3623494	LOC105377790	lnc_RNA
LOC105377789	XR_007078628.1	8	1	4280975	4290907	LOC105377789	lnc_RNA
LOC107986907	XR_007078576.1	8	-1	4866056	4899718	LOC107986907	lnc_RNA
LOC124900260	XR_007079537.1	8	-1	4882184	4882317	LOC124900260	snoRNA
LOC105377793	XR_007079443.1	8	1	5287744	5299318	LOC105377793	lnc_RNA
LOC105377794	XR_007078625.1	8	-1	5348560	5350568	LOC105377794	lnc_RNA
LOC124906797	XR_007079531.1	8	-1	5611974	5632140	LOC124906797	lnc_RNA
LOC124906797	XR_007079530.1	8	-1	5611974	5616318	LOC124906797	lnc_RNA
LOC105377795	XR_007078573.1	8	-1	5645101	5757634	LOC105377795	lnc_RNA
LOC105377795	XR_007078571.1	8	-1	5645101	5757628	LOC105377795	lnc_RNA
LOC105377795	XR_007078572.1	8	-1	5645101	5757528	LOC105377795	lnc_RNA
LOC105377796	NR_188123.1	8	-1	5786084	5798039	LOC105377796	lnc_RNA
LOC105377796	NR_188122.1	8	-1	5786084	5798039	LOC105377796	lnc_RNA
LOC105377797	XR_007078632.1	8	-1	5811503	5819559	LOC105377797	lnc_RNA
LOC105377797	XR_007078634.1	8	-1	5811610	5819559	LOC105377797	lnc_RNA
LOC105377797	XR_007078633.1	8	-1	5811610	5819559	LOC105377797	lnc_RNA
MCPH1-DT	NR_040040.1	8	-1	6158131	6161128	MCPH1-DT	lnc_RNA
MCPH1	NR_136159.2	8	1	6161207	6201895	MCPH1	transcript
MCPH1	NM_001322042.2	8	1	6161207	6402976	MCPH1	mRNA
MCPH1	NM_024596.5	8	1	6161207	6402976	MCPH1	mRNA
MCPH1	XM_054361230.1	8	1	6161207	6402976	MCPH1	mRNA
MCPH1	XM_054361228.1	8	1	6161207	6402976	MCPH1	mRNA
MCPH1	NM_001363980.2	8	1	6161207	6402976	MCPH1	mRNA
MCPH1	XM_054361225.1	8	1	6161207	6397270	MCPH1	mRNA
MCPH1	NM_001363979.1	8	1	6161207	6393859	MCPH1	mRNA
MCPH1	XM_054361224.1	8	1	6161207	6381624	MCPH1	mRNA
MCPH1	XM_054361226.1	8	1	6161207	6381624	MCPH1	mRNA
MCPH1	NM_001410917.1	8	1	6161207	6381065	MCPH1	mRNA
MCPH1	XM_054361227.1	8	1	6161207	6316828	MCPH1	mRNA
MCPH1	XM_054361229.1	8	1	6161207	6316828	MCPH1	mRNA
MCPH1	NM_001410916.1	8	1	6161207	6300140	MCPH1	mRNA
MCPH1	XM_054361231.1	8	1	6161207	6267992	MCPH1	mRNA
MCPH1	NM_001172574.2	8	1	6161207	6201895	MCPH1	mRNA
MCPH1	NM_001172575.2	8	1	6161207	6201895	MCPH1	mRNA
MCPH1	NM_001322043.2	8	1	6161207	6201895	MCPH1	mRNA
MCPH1	NM_001322045.2	8	1	6161690	6201895	MCPH1	mRNA
ANGPT2	NM_001386335.1	8	-1	6254102	6317682	ANGPT2	mRNA
ANGPT2	NM_001118888.2	8	-1	6254102	6317682	ANGPT2	mRNA
ANGPT2	NM_001386337.1	8	-1	6254102	6317682	ANGPT2	mRNA
ANGPT2	NM_001118887.2	8	-1	6254102	6317682	ANGPT2	mRNA
ANGPT2	NM_001386336.1	8	-1	6254102	6317682	ANGPT2	mRNA
ANGPT2	NM_001147.3	8	-1	6254102	6317682	ANGPT2	mRNA
MCPH1-AS1	NR_125386.1	8	-1	6370060	6463606	MCPH1-AS1	lnc_RNA
MIR8055	NR_107022.1	8	-1	6376589	6376685	MIR8055	primary_transcript
MIR8055	unassigned_transcript_1523	8	-1	6376599	6376621	MIR8055	miRNA
AGPAT5	XM_054360769.1	8	1	6464039	6516588	AGPAT5	mRNA
AGPAT5	NM_018361.5	8	1	6464039	6516588	AGPAT5	mRNA
AGPAT5	XM_054360768.1	8	1	6464039	6516588	AGPAT5	mRNA
AGPAT5	XM_054360770.1	8	1	6464039	6510260	AGPAT5	mRNA
MIR4659A	NR_039803.1	8	1	6500238	6500318	MIR4659A	primary_transcript
MIR4659B	NR_039807.1	8	-1	6500242	6500314	MIR4659B	primary_transcript
MIR4659B	unassigned_transcript_1526	8	-1	6500249	6500270	MIR4659B	miRNA
MIR4659A	unassigned_transcript_1524	8	1	6500251	6500272	MIR4659A	miRNA
MIR4659A	unassigned_transcript_1525	8	1	6500286	6500307	MIR4659A	miRNA
MIR4659B	unassigned_transcript_1527	8	-1	6500287	6500305	MIR4659B	miRNA
LOC124901872	XM_047445242.1	8	1	6535956	6544119	LOC124901872	mRNA
LOC107986909	XR_007078635.1	8	-1	6560251	6563139	LOC107986909	lnc_RNA
XKR5	XM_054360449.1	8	-1	6563754	6590758	XKR5	mRNA
XKR5	NM_207411.5	8	-1	6563754	6590758	XKR5	mRNA
XKR5	NM_001289973.2	8	-1	6563754	6590758	XKR5	mRNA
XKR5	XM_054360448.1	8	-1	6563754	6590750	XKR5	mRNA
XKR5	XM_054360447.1	8	-1	6563754	6590750	XKR5	mRNA
XKR5	XM_054360450.1	8	-1	6563754	6573965	XKR5	mRNA
GS1-24F4.2	NR_045217.1	8	1	6590788	6597686	GS1-24F4.2	lnc_RNA
DEFB1	NM_005218.4	8	-1	6625781	6633102	DEFB1	mRNA
DEFA6	NM_001926.4	8	-1	6679697	6681075	DEFA6	mRNA
DEFA4	NM_001925.3	8	-1	6690512	6692998	DEFA4	mRNA
DEFA8P	NR_073407.1	8	-1	6705395	6706268	DEFA8P	transcript
DEFA9P	NR_073408.1	8	-1	6713955	6714827	DEFA9P	transcript
DEFA10P	NR_029386.1	8	-1	6722806	6723778	DEFA10P	transcript
LOC124901873	XR_007078637.1	8	1	6728551	6733206	LOC124901873	lnc_RNA
LOC124901873	XR_007078636.1	8	1	6729976	6733206	LOC124901873	lnc_RNA
DEFA1	NM_004084.4	8	-1	6732309	6734752	DEFA1	mRNA
DEFA1	XM_054359868.1	8	-1	6732309	6734752	DEFA1	mRNA
DEFT1P	NR_036686.1	8	-1	6741845	6744387	DEFT1P	transcript
LOC124901874	XR_007078638.1	8	1	6749087	6752316	LOC124901874	lnc_RNA
DEFA1B	NM_001042500.2	8	-1	6751419	6753858	DEFA1B	mRNA
DEFA1B	NM_001302265.2	8	-1	6751419	6753858	DEFA1B	mRNA
DEFT1P2	NR_036687.1	8	-1	6760954	6763495	DEFT1P2	transcript
LOC124901875	XR_007078639.1	8	1	6768215	6771433	LOC124901875	lnc_RNA
DEFA3	NM_005217.4	8	-1	6770536	6772968	DEFA3	mRNA
DEFA3	XM_054359869.1	8	-1	6770536	6772968	DEFA3	mRNA
DEFA11P	NR_073421.2	8	-1	6783272	6784160	DEFA11P	transcript
DEFA5	NM_021010.3	8	-1	6809926	6811358	DEFA5	mRNA
LOC105377799	XR_007078673.1	8	1	6826329	6827916	LOC105377799	lnc_RNA
LOC124906727	XR_007078670.1	8	1	6866589	6873594	LOC124906727	lnc_RNA
LOC105377803	XR_007078666.1	8	1	6893117	6943977	LOC105377803	lnc_RNA
LOC105377803	XR_007078667.1	8	1	6893117	6943977	LOC105377803	lnc_RNA
LOC101928095	NR_168401.1	8	-1	6961579	6974227	LOC101928095	lnc_RNA
FAM90A15	NM_001423538.1	8	1	7002916	7005926	FAM90A15	mRNA
LINC00965	NR_027000.1	8	-1	7006631	7009528	LINC00965	lnc_RNA
FAM90A3	NM_001423528.1	8	1	7010562	7013572	FAM90A3	mRNA
ZNF705G	XM_054359517.1	8	-1	7020087	7110521	ZNF705G	mRNA
ZNF705G	XM_054359518.1	8	-1	7022858	7110521	ZNF705G	mRNA
FAM90A11	NM_001423539.1	8	1	7023994	7027004	FAM90A11	mRNA
FAM66B	NR_027423.2	8	-1	7027724	7618755	FAM66B	lnc_RNA
DEFB109B	NR_172880.1	8	1	7038512	7049075	DEFB109B	transcript
DEFB109B	NM_001037380.2	8	1	7041700	7049075	DEFB109B	mRNA
ZNF705G	XM_054359519.1	8	-1	7052251	7110521	ZNF705G	mRNA
ZNF705G	XR_008487791.1	8	-1	7053314	7110521	ZNF705G	transcript
ZNF705G	XR_008487789.1	8	-1	7053314	7110521	ZNF705G	transcript
ZNF705G	XR_008487790.1	8	-1	7053314	7110521	ZNF705G	transcript
ZNF705G	XR_007078653.1	8	-1	7053314	7083884	ZNF705G	transcript
ZNF705G	XR_007078654.1	8	-1	7053314	7083884	ZNF705G	transcript
ZNF705G	XM_054359516.1	8	-1	7053314	7110521	ZNF705G	mRNA
ZNF705G	XM_054359521.1	8	-1	7053314	7110521	ZNF705G	mRNA
ZNF705G	XM_054359520.1	8	-1	7053314	7110521	ZNF705G	mRNA
ZNF705G	XM_054359523.1	8	-1	7053314	7110521	ZNF705G	mRNA
ZNF705G	XM_054359522.1	8	-1	7053314	7110521	ZNF705G	mRNA
ZNF705G	XR_008487792.1	8	-1	7053849	7110521	ZNF705G	transcript
USP17L1	NM_001256873.1	8	1	7061366	7062958	USP17L1	mRNA
USP17L4	NM_001256874.1	8	1	7066094	7067686	USP17L4	mRNA
ZNF705G	XR_008487788.1	8	-1	7075455	7110521	ZNF705G	transcript
ZNF705G	NM_001164457.3	8	-1	7084498	7114544	ZNF705G	mRNA
DEFB4B	NM_001205266.2	8	-1	7143841	7145853	DEFB4B	mRNA
DEFB103B	NM_018661.4	8	-1	7157879	7159340	DEFB103B	mRNA
SPAG11B	NM_058202.4	8	-1	7176751	7192550	SPAG11B	mRNA
SPAG11B	NM_058200.4	8	-1	7176751	7192550	SPAG11B	mRNA
SPAG11B	NM_058201.4	8	-1	7179607	7192550	SPAG11B	mRNA
SPAG11B	NM_016512.5	8	-1	7179607	7192550	SPAG11B	mRNA
SPAG11B	NM_058207.4	8	-1	7179607	7181371	SPAG11B	mRNA
SPAG11B	NM_058206.5	8	-1	7179607	7181371	SPAG11B	mRNA
SPAG11B	NM_058203.4	8	-1	7190273	7192550	SPAG11B	mRNA
DEFB104B	NM_001040702.1	8	-1	7199315	7204090	DEFB104B	mRNA
DEFB106B	NM_001040704.2	8	-1	7211498	7215418	DEFB106B	mRNA
DEFB105B	NM_001040703.3	8	1	7216697	7218608	DEFB105B	mRNA
DEFB107B	NM_001040705.2	8	1	7224926	7228864	DEFB107B	mRNA
LOC105377801	XR_007078674.1	8	1	7239898	7240379	LOC105377801	lnc_RNA
PRR23D1	XM_054359515.1	8	1	7256555	7262014	PRR23D1	mRNA
PRR23D1	NM_001282479.1	8	1	7259191	7262014	PRR23D1	mRNA
LOC124906726	XR_007078660.1	8	1	7271041	7297536	LOC124906726	lnc_RNA
LOC124906726	XR_007078664.1	8	1	7272213	7297536	LOC124906726	lnc_RNA
LOC124906726	XR_007078659.1	8	1	7272214	7303648	LOC124906726	lnc_RNA
LOC124906726	XR_007078658.1	8	1	7272214	7297536	LOC124906726	lnc_RNA
LOC124906726	XR_007078661.1	8	1	7272214	7297536	LOC124906726	lnc_RNA
LOC124906726	XR_007078663.1	8	1	7272214	7290195	LOC124906726	lnc_RNA
FAM90A7	NM_001397387.1	8	-1	7276261	7279271	FAM90A7	mRNA
LOC124906726	XR_007078662.1	8	1	7279334	7297536	LOC124906726	lnc_RNA
LOC128966594	NM_001421901.1	8	-1	7283912	7286922	LOC128966594	mRNA
LOC124906726	XR_007078665.1	8	1	7286470	7297536	LOC124906726	lnc_RNA
LOC124906716	NM_001421777.1	8	-1	7291563	7294573	LOC124906716	mRNA
LOC128966609	NM_001421789.1	8	-1	7299216	7302226	LOC128966609	mRNA
LOC124906725	XR_007078655.1	8	1	7303713	7343849	LOC124906725	lnc_RNA
LOC124906717	NM_001421779.1	8	-1	7306870	7309880	LOC124906717	mRNA
LOC124906725	XR_007078656.1	8	1	7310086	7343849	LOC124906725	lnc_RNA
LOC124906721	NM_001421780.1	8	-1	7322170	7325180	LOC124906721	mRNA
LOC124906725	XR_007078657.1	8	1	7325673	7343849	LOC124906725	lnc_RNA
FAM90A22	NM_001397382.1	8	-1	7329821	7332831	FAM90A22	mRNA
FAM90A23	NM_001397380.1	8	-1	7337472	7340482	FAM90A23	mRNA
LOC124906718	XR_007078643.1	8	1	7368373	7496988	LOC124906718	transcript
LOC124906718	XR_007078644.1	8	1	7368373	7472545	LOC124906718	transcript
LOC124906718	XR_007078642.1	8	1	7368373	7469529	LOC124906718	transcript
LOC124906718	XR_007078652.1	8	1	7368373	7468723	LOC124906718	transcript
LOC124906718	XR_007078646.1	8	1	7368373	7396088	LOC124906718	transcript
LOC124906718	XR_007078651.1	8	1	7368373	7396088	LOC124906718	transcript
LOC124906718	XM_047445257.1	8	1	7368373	7458068	LOC124906718	mRNA
LOC124906718	XM_047445256.1	8	1	7368373	7396088	LOC124906718	mRNA
LOC124906718	XM_047445248.1	8	1	7368373	7381124	LOC124906718	mRNA
LOC124906718	XM_047445259.1	8	1	7368373	7371506	LOC124906718	mRNA
LOC124906718	XM_047445260.1	8	1	7368373	7371506	LOC124906718	mRNA
LOC124906718	XM_047445258.1	8	1	7369567	7381124	LOC124906718	mRNA
LOC124906718	XR_007078647.1	8	1	7371546	7496988	LOC124906718	transcript
LOC124906718	XR_007078650.1	8	1	7371546	7496988	LOC124906718	transcript
LOC124906718	XR_007078649.1	8	1	7371546	7496988	LOC124906718	transcript
LOC124906718	XR_007078641.1	8	1	7372653	7471211	LOC124906718	transcript
LOC124906718	XR_007078640.1	8	1	7372653	7381124	LOC124906718	transcript
LOC124906718	XM_047445254.1	8	1	7372653	7467487	LOC124906718	mRNA
LOC124906718	XM_047445251.1	8	1	7372653	7458068	LOC124906718	mRNA
LOC124906718	XM_047445250.1	8	1	7372653	7438177	LOC124906718	mRNA
LOC124906718	XM_047445252.1	8	1	7372653	7438177	LOC124906718	mRNA
LOC124906718	XM_047445255.1	8	1	7372653	7396088	LOC124906718	mRNA
LOC124906718	XM_047445249.1	8	1	7372653	7396088	LOC124906718	mRNA
LOC124906718	XM_047445253.1	8	1	7372653	7381124	LOC124906718	mRNA
LOC124906718	XM_047445247.1	8	1	7372653	7381124	LOC124906718	mRNA
LOC124906718	XR_007078648.1	8	1	7447570	7496988	LOC124906718	transcript
LOC124906718	XR_007078645.1	8	1	7447570	7469529	LOC124906718	transcript
FAM85A	NR_146925.1	8	-1	7532074	7548832	FAM85A	lnc_RNA
FAM86B1	NR_003494.3	8	1	7540464	7552404	FAM86B1	transcript
FAM86B1	NM_001083537.4	8	1	7540515	7552404	FAM86B1	mRNA
FAM90A2P	NR_046354.1	8	1	7557244	7561057	FAM90A2P	transcript
FAM66D	NR_027425.1	8	-1	7583309	7618744	FAM66D	lnc_RNA
USP17L2	NM_201402.3	8	1	7595654	7598068	USP17L2	mRNA
USP17L7	NM_001256869.2	8	1	7600384	7602066	USP17L7	mRNA
LOC392196	NR_003275.2	8	1	7605189	7606628	LOC392196	transcript
ZNF705D	NM_001039615.3	8	-1	7619010	7645174	ZNF705D	mRNA
ZNF705D	XM_054361175.1	8	-1	7619010	7626495	ZNF705D	mRNA
DEFB130B	NM_001195257.1	8	1	7662435	7669789	DEFB130B	mRNA
LOC105379246	XR_007078671.1	8	-1	7687646	7690697	LOC105379246	lnc_RNA
LOC105379246	XR_007078672.1	8	-1	7687646	7690394	LOC105379246	lnc_RNA
LOC105379245	XR_007078668.1	8	-1	7733711	7738160	LOC105379245	lnc_RNA
DEFB134	NM_001302695.2	8	1	7739516	7747095	DEFB134	mRNA
DEFB134	XM_054360960.1	8	1	7739678	7747095	DEFB134	mRNA
DEFB134	XM_054360959.1	8	1	7743733	7747095	DEFB134	mRNA
DEFB135	NM_001033017.3	8	-1	7755679	7758013	DEFB135	mRNA
DEFB136	NM_001033018.2	8	1	7765666	7766328	DEFB136	mRNA
LOC105379244	XR_007078669.1	8	-1	7791713	7797707	LOC105379244	lnc_RNA
CTSB	NM_001384714.1	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_001384725.1	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_001384727.1	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_001384723.1	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_001384724.1	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_147780.4	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_001384726.1	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_147782.4	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_001317237.2	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_147781.4	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_147783.4	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_001384728.1	8	1	7872212	7897789	CTSB	mRNA
CTSB	NM_001908.5	8	1	7872212	7897789	CTSB	mRNA
